,model,k,mutations,kept,lost,diff_abs,diff_rel
0,CNN_onehot,0,0,0.9929011464118958,0.9929011464118958,0.0,0.0
1,CNN_onehot,0,1,0.9888688325881958,0.9903019666671752,-0.0014331340789793812,-0.001449266102591551
2,CNN_onehot,0,2,0.9825457334518432,0.9828431010246276,-0.00029736757278442383,-0.0003026501084482103
3,CNN_onehot,0,3,0.975991427898407,0.9739419221878052,0.0020495057106018066,0.002099921835394536
4,CNN_onehot,0,4,0.9588993191719056,0.9599674940109252,-0.0010681748390195533,-0.0011139593257214475
5,CNN_onehot,0,5,0.9378907680511476,0.935746967792511,0.0021438002586365856,0.002285767523963589
6,CNN_onehot,0,6,0.9049642086029052,0.9045947790145874,0.00036942958831776007,0.00040822563456743843
7,CNN_onehot,0,7,0.8643133640289307,0.8738729357719421,-0.009559571743011475,-0.011060307685687443
8,CNN_onehot,0,8,0.825118362903595,0.8224073648452759,0.002710998058319092,0.003285586868748247
9,CNN_onehot,0,9,0.7664886713027954,0.7733250260353088,-0.006836354732513428,-0.008919055151713762
10,CNN_onehot,0,10,0.7154983878135681,0.7054187655448914,0.010079622268676758,0.014087554130594482
11,CNN_onehot,0,11,0.6291533708572388,0.6420477032661438,-0.01289433240890503,-0.02049473626968923
12,CNN_onehot,0,12,0.5595357418060303,0.5706069469451904,-0.011071205139160156,-0.01978641275609183
13,CNN_onehot,0,13,0.4944852292537689,0.4864739179611206,0.008011311292648315,0.01620131566869698
14,CNN_onehot,0,14,0.4007790982723236,0.4057428538799286,-0.0049637556076049805,-0.012385265671295498
15,CNN_onehot,0,15,0.33291763067245483,0.33577752113342285,-0.0028598904609680176,-0.008590384520012817
16,CNN_onehot,0,16,0.2750758230686188,0.2512814104557037,0.023794412612915095,0.08650128661790635
17,CNN_onehot,0,17,0.2087436020374298,0.1960560530424118,0.012687548995018005,0.060780540678525785
18,CNN_onehot,0,18,0.15199555456638336,0.1437152922153473,0.008280262351036072,0.054477003453543116
19,CNN_onehot,0,19,0.11453253030776978,0.09895370900630952,0.015578821301460252,0.13602093012000283
20,CNN_onehot_pretrained,0,0,0.9925810098648072,0.9925810098648072,0.0,0.0
21,CNN_onehot_pretrained,0,1,0.9822028875350952,0.9830220341682434,-0.0008191466331481934,-0.0008339892333282251
22,CNN_onehot_pretrained,0,2,0.9666811227798462,0.9593555927276612,0.007325530052184948,0.007578021210468244
23,CNN_onehot_pretrained,0,3,0.951686441898346,0.925245761871338,0.026440680027007946,0.027782974373645852
24,CNN_onehot_pretrained,0,4,0.9229623675346376,0.8902743458747864,0.032688021659851185,0.03541641870747725
25,CNN_onehot_pretrained,0,5,0.8785943984985352,0.8246591687202454,0.053935229778289795,0.061388087461588525
26,CNN_onehot_pretrained,0,6,0.8351458311080933,0.7570328116416931,0.07811301946640015,0.09353219109380906
27,CNN_onehot_pretrained,0,7,0.7943649291992188,0.6770018339157104,0.1173630952835083,0.14774455790969943
28,CNN_onehot_pretrained,0,8,0.7417130470275879,0.5814532637596129,0.16025978326797496,0.21606709482894415
29,CNN_onehot_pretrained,0,9,0.6739764213562012,0.4973691999912262,0.17660722136497498,0.2620376852495806
30,CNN_onehot_pretrained,0,10,0.6161956191062927,0.3952336609363556,0.22096195816993713,0.3585906022675269
31,CNN_onehot_pretrained,0,11,0.5397650599479675,0.31240689754486084,0.2273581624031067,0.42121689467084744
32,CNN_onehot_pretrained,0,12,0.4731075465679169,0.2369026392698288,0.23620490729808813,0.4992626074379892
33,CNN_onehot_pretrained,0,13,0.4167018830776215,0.16662801802158356,0.25007386505603796,0.6001265538064661
34,CNN_onehot_pretrained,0,14,0.3425464332103729,0.11859924346208572,0.2239471897482872,0.6537717752581336
35,CNN_onehot_pretrained,0,15,0.2932164967060089,0.08455020189285277,0.20866629481315613,0.711645821968788
36,CNN_onehot_pretrained,0,16,0.2341956198215485,0.04749517515301704,0.18670044466853145,0.7971987042746264
37,CNN_onehot_pretrained,0,17,0.1871975213289261,0.02916943095624447,0.15802809037268162,0.8441783269929592
38,CNN_onehot_pretrained,0,18,0.1564139574766159,0.02284026704728604,0.13357369042932987,0.8539755184526887
39,CNN_onehot_pretrained,0,19,0.11417713761329652,0.013770515099167824,0.1004066225141287,0.8793934110889449
40,CNN_matrix,0,0,0.9550087451934814,0.9550087451934814,0.0,0.0
41,CNN_matrix,0,1,0.945274531841278,0.9468565583229064,-0.001582026481628418,-0.0016736158950001467
42,CNN_matrix,0,2,0.930433988571167,0.9265415668487548,0.0038924217224122204,0.004183447477439706
43,CNN_matrix,0,3,0.9085612893104552,0.8983074426651001,0.010253846645355114,0.011285806214721306
44,CNN_matrix,0,4,0.8762577176094055,0.8616552948951721,0.014602422714233398,0.016664529647820392
45,CNN_matrix,0,5,0.8316556811332703,0.812824547290802,0.01883113384246826,0.022642944994745506
46,CNN_matrix,0,6,0.7789475917816162,0.7516810297966003,0.02726656198501587,0.03500436007851504
47,CNN_matrix,0,7,0.7327545285224915,0.6873360276222229,0.045418500900268555,0.06198324149814449
48,CNN_matrix,0,8,0.6704079508781433,0.6099722981452942,0.06043565273284912,0.09014757753646363
49,CNN_matrix,0,9,0.5991075038909912,0.5344780683517456,0.0646294355392456,0.10787619103332924
50,CNN_matrix,0,10,0.5488929152488708,0.44936251640319824,0.09953039884567261,0.1813293560193704
51,CNN_matrix,0,11,0.4837124645709992,0.38356629014015203,0.10014617443084717,0.2070365801296149
52,CNN_matrix,0,12,0.42738911509513855,0.3087275326251984,0.11866158246994013,0.2776429681498219
53,CNN_matrix,0,13,0.371581494808197,0.2443400025367737,0.1272414922714233,0.34243226331037513
54,CNN_matrix,0,14,0.31760871410369873,0.1914089471101761,0.12619976699352264,0.3973435280252374
55,CNN_matrix,0,15,0.2692885398864746,0.1398199051618576,0.129468634724617,0.48078033613757865
56,CNN_matrix,0,16,0.2323782444000244,0.09924080222845078,0.1331374421715736,0.5729341940564193
57,CNN_matrix,0,17,0.19710861146450048,0.07782173901796341,0.11928687244653707,0.6051834648940277
58,CNN_matrix,0,18,0.16148436069488525,0.05804147571325303,0.10344288498163223,0.6405752516002536
59,CNN_matrix,0,19,0.13283240795135498,0.04403849318623543,0.08879391476511955,0.6684657466846274
60,CNN_matrix_pretrained,0,0,0.9925849437713624,0.9925849437713624,0.0,0.0
61,CNN_matrix_pretrained,0,1,0.9876114726066588,0.9656316041946412,0.0219798684120176,0.022255582303033483
62,CNN_matrix_pretrained,0,2,0.98178231716156,0.8685638904571533,0.11321842670440663,0.11531927671271724
63,CNN_matrix_pretrained,0,3,0.9722468852996826,0.7168230414390564,0.2554238438606262,0.26271500348586363
64,CNN_matrix_pretrained,0,4,0.9633498787879944,0.5204523205757141,0.4428975582122803,0.4597473544809043
65,CNN_matrix_pretrained,0,5,0.950069785118103,0.35422179102897644,0.5958479940891266,0.6271623447271895
66,CNN_matrix_pretrained,0,6,0.9400794506072998,0.22626641392707825,0.7138130366802216,0.7593113924776165
67,CNN_matrix_pretrained,0,7,0.9296187758445741,0.13878364861011505,0.790835127234459,0.8507090732068876
68,CNN_matrix_pretrained,0,8,0.9114249348640442,0.08029002696275711,0.8311349079012871,0.9119071424409364
69,CNN_matrix_pretrained,0,9,0.8967811465263367,0.0486435815691948,0.8481375649571419,0.945757577801881
70,CNN_matrix_pretrained,0,10,0.8898084759712219,0.029754700139164925,0.860053775832057,0.9665605566336196
71,CNN_matrix_pretrained,0,11,0.8837496042251587,0.01723324880003929,0.8665163554251194,0.9804998511822262
72,CNN_matrix_pretrained,0,12,0.8675528168678284,0.009536719880998136,0.8580160969868302,0.9890073322389419
73,CNN_matrix_pretrained,0,13,0.858171284198761,0.007224463857710362,0.8509468203410506,0.9915815595432612
74,CNN_matrix_pretrained,0,14,0.8375795483589172,0.006174571812152863,0.8314049765467644,0.9926280771489099
75,CNN_matrix_pretrained,0,15,0.8229575753211975,0.0031842794269323353,0.8197732958942652,0.9961306882366451
76,CNN_matrix_pretrained,0,16,0.8118542432785034,0.0023973295465111732,0.8094569137319922,0.9970470936546072
77,CNN_matrix_pretrained,0,17,0.7976887822151184,0.003086327807977796,0.7946024544071406,0.9961309123598212
78,CNN_matrix_pretrained,0,18,0.7874612212181091,0.0018774913623929024,0.7855837298557162,0.9976157665777006
79,CNN_matrix_pretrained,0,19,0.7750771045684814,0.0014949318720027804,0.7735821726964787,0.9980712475401592
80,LSTM_onehot,0,0,0.9982849359512328,0.9982849359512328,0.0,0.0
81,LSTM_onehot,0,1,0.993977963924408,0.9944708943367004,-0.0004929304122924805,-0.0004959168414018222
82,LSTM_onehot,0,2,0.9866978526115416,0.9870281815528872,-0.0003303289413455479,-0.00033478226436933767
83,LSTM_onehot,0,3,0.9779467582702636,0.9709789752960204,0.006967782974243164,0.007124910344370239
84,LSTM_onehot,0,4,0.9542464017868042,0.9506112337112428,0.0036351680755614124,0.003809464797304596
85,LSTM_onehot,0,5,0.9202731847763062,0.9245378375053406,-0.004264652729034424,-0.00463411604247832
86,LSTM_onehot,0,6,0.8840907216072083,0.8925697207450867,-0.008478999137878418,-0.009590643732199977
87,LSTM_onehot,0,7,0.847339928150177,0.8521474599838257,-0.004807531833648682,-0.005673675550901924
88,LSTM_onehot,0,8,0.8022860288619995,0.8019036650657654,0.00038236379623413086,0.00047659286398948897
89,LSTM_onehot,0,9,0.7456288933753967,0.7567266821861267,-0.01109778881072998,-0.014883796630373647
90,LSTM_onehot,0,10,0.6952891349792479,0.6958011388778687,-0.0005120038986207165,-0.00073638990293734
91,LSTM_onehot,0,11,0.6164653301239014,0.6450355052947998,-0.028570175170898438,-0.046345145095436635
92,LSTM_onehot,0,12,0.5626516342163086,0.5833723545074463,-0.020720720291137695,-0.03682690857194193
93,LSTM_onehot,0,13,0.5034602880477905,0.5018627047538757,0.001597583293914795,0.0031732061730420646
94,LSTM_onehot,0,14,0.4322169423103333,0.4368336796760559,-0.004616737365722601,-0.010681527986951878
95,LSTM_onehot,0,15,0.3709754943847656,0.3789951503276825,-0.00801965594291687,-0.021617751210809333
96,LSTM_onehot,0,16,0.3071169555187225,0.30582353472709656,0.001293420791625921,0.004211492619941248
97,LSTM_onehot,0,17,0.2617602348327637,0.25441834330558777,0.007341891527175959,0.028048154571173267
98,LSTM_onehot,0,18,0.2095465213060379,0.20442263782024386,0.00512388348579404,0.0244522479011271
99,LSTM_onehot,0,19,0.15968047082424164,0.14702126383781433,0.012659206986427307,0.07927836711078551
100,LSTM_onehot_pretrained,0,0,0.9780136346817015,0.9780136346817015,0.0,0.0
101,LSTM_onehot_pretrained,0,1,0.9654432535171508,0.9634751677513124,0.001968085765838401,0.0020385307563842714
102,LSTM_onehot_pretrained,0,2,0.9500439763069152,0.938904345035553,0.011139631271362194,0.011725384876040246
103,LSTM_onehot_pretrained,0,3,0.9306289553642272,0.9040699005126952,0.026559054851531982,0.028538822801980612
104,LSTM_onehot_pretrained,0,4,0.9082115292549132,0.8633933663368225,0.04481816291809071,0.0493477141331371
105,LSTM_onehot_pretrained,0,5,0.8647281527519226,0.8014610409736633,0.06326711177825928,0.07316416330024311
106,LSTM_onehot_pretrained,0,6,0.8326485753059387,0.7452260851860046,0.08742249011993408,0.10499326211879068
107,LSTM_onehot_pretrained,0,7,0.7995238304138184,0.6702699065208435,0.12925392389297485,0.1616636289953678
108,LSTM_onehot_pretrained,0,8,0.7613601684570312,0.5770728588104248,0.18428730964660645,0.2420501062198751
109,LSTM_onehot_pretrained,0,9,0.7070297598838806,0.5076615810394287,0.1993681788444519,0.28197989696670656
110,LSTM_onehot_pretrained,0,10,0.6641732454299927,0.4122268557548523,0.2519463896751404,0.37933835999676213
111,LSTM_onehot_pretrained,0,11,0.6009247899055481,0.334314227104187,0.2666105628013611,0.44366710656630803
112,LSTM_onehot_pretrained,0,12,0.5557407736778259,0.2616734802722931,0.29406729340553284,0.5291447151869579
113,LSTM_onehot_pretrained,0,13,0.5048258304595947,0.18574568629264832,0.3190801441669464,0.6320598608760868
114,LSTM_onehot_pretrained,0,14,0.4447517693042755,0.13351690769195554,0.31123486161231995,0.6997945440423636
115,LSTM_onehot_pretrained,0,15,0.3989015221595764,0.0995320975780487,0.2993694245815277,0.750484538040364
116,LSTM_onehot_pretrained,0,16,0.34587591886520386,0.06048094481229783,0.28539497405290604,0.8251368727527149
117,LSTM_onehot_pretrained,0,17,0.30032798647880554,0.03473477438092232,0.2655932120978832,0.8843438642260082
118,LSTM_onehot_pretrained,0,18,0.257948637008667,0.026632869616150856,0.23131576739251614,0.8967512682951063
119,LSTM_onehot_pretrained,0,19,0.21332553029060364,0.015309624373912813,0.19801590591669083,0.9282335107614301
120,CNN_onehot,1,0,0.991041660308838,0.991041660308838,0.0,0.0
121,CNN_onehot,1,1,0.9870014786720276,0.9876933693885804,-0.0006918907165528454,-0.0007010027152987153
122,CNN_onehot,1,2,0.9776133894920348,0.9789700508117676,-0.001356661319732777,-0.0013877278424323514
123,CNN_onehot,1,3,0.96375173330307,0.9657661914825441,-0.002014458179474099,-0.0020902252207317673
124,CNN_onehot,1,4,0.9411470890045166,0.9458085298538208,-0.004661440849304199,-0.004952935522793522
125,CNN_onehot,1,5,0.913137912750244,0.9182201623916626,-0.005082249641418568,-0.005565697766410249
126,CNN_onehot,1,6,0.880097508430481,0.8871231675148009,-0.007025659084319957,-0.007982818968376826
127,CNN_onehot,1,7,0.8357996940612793,0.8418254256248474,-0.006025731563568115,-0.007209540283854565
128,CNN_onehot,1,8,0.7864794135093689,0.80098956823349,-0.014510154724121094,-0.018449503540563184
129,CNN_onehot,1,9,0.7233842611312866,0.737746000289917,-0.014361739158630371,-0.019853541098848737
130,CNN_onehot,1,10,0.6667342185974121,0.662225604057312,0.004508614540100098,0.006762236606941752
131,CNN_onehot,1,11,0.5942130088806152,0.599578320980072,-0.005365312099456787,-0.009029274046968405
132,CNN_onehot,1,12,0.5319183468818665,0.5380083322525024,-0.006089985370635986,-0.011449098167671368
133,CNN_onehot,1,13,0.456479549407959,0.4576586484909058,-0.0011790990829468329,-0.0025830271793689796
134,CNN_onehot,1,14,0.3815769553184509,0.3803331255912781,0.0012438297271728516,0.003259708716253029
135,CNN_onehot,1,15,0.3261030912399292,0.3200781047344208,0.006024986505508423,0.01847571110902335
136,CNN_onehot,1,16,0.2561558783054352,0.2501157820224762,0.006040096282958984,0.02357976839304421
137,CNN_onehot,1,17,0.20241254568099976,0.1916894018650055,0.010723143815994263,0.05297667582766252
138,CNN_onehot,1,18,0.15534117817878726,0.13670971989631653,0.01863145828247073,0.11993895308961267
139,CNN_onehot,1,19,0.11594893038272858,0.09535425156354904,0.020594678819179535,0.17761853215204182
140,CNN_onehot_pretrained,1,0,0.9953864812850952,0.9953864812850952,0.0,0.0
141,CNN_onehot_pretrained,1,1,0.9886683225631714,0.9879639148712158,0.0007044076919555664,0.000712481300229495
142,CNN_onehot_pretrained,1,2,0.9776694178581238,0.974332630634308,0.003336787223815807,0.0034130015349421727
143,CNN_onehot_pretrained,1,3,0.9631059765815736,0.9545894265174866,0.008516550064087025,0.008842796401612452
144,CNN_onehot_pretrained,1,4,0.9405184388160706,0.9245227575302124,0.015995681285858154,0.017007302170485517
145,CNN_onehot_pretrained,1,5,0.9144859910011292,0.8811905980110168,0.033295392990112305,0.03640886062525939
146,CNN_onehot_pretrained,1,6,0.8806177973747253,0.8267998099327087,0.0538179874420166,0.061113899358447465
147,CNN_onehot_pretrained,1,7,0.8380929827690125,0.7582417726516724,0.07985121011734009,0.09527726846431306
148,CNN_onehot_pretrained,1,8,0.7725179195404053,0.6821744441986084,0.09034347534179688,0.11694676985039387
149,CNN_onehot_pretrained,1,9,0.7170532941818237,0.5861619114875793,0.13089138269424438,0.18254066156072102
150,CNN_onehot_pretrained,1,10,0.6506562829017639,0.48727270960807795,0.16338357329368597,0.2511058105287729
151,CNN_onehot_pretrained,1,11,0.5836485624313354,0.3957333266735077,0.18791523575782776,0.3219664158428137
152,CNN_onehot_pretrained,1,12,0.5096264481544495,0.31406697630882263,0.19555947184562683,0.3837310103386937
153,CNN_onehot_pretrained,1,13,0.4413680136203766,0.2375501096248627,0.2038179039955139,0.4617867577753809
154,CNN_onehot_pretrained,1,14,0.3746569156646729,0.16615431010723114,0.20850260555744177,0.556516100036591
155,CNN_onehot_pretrained,1,15,0.31567302346229553,0.11830101907253265,0.19737200438976288,0.6252419108385969
156,CNN_onehot_pretrained,1,16,0.2471623420715332,0.08155442774295807,0.16560791432857513,0.6700370005421183
157,CNN_onehot_pretrained,1,17,0.200582042336464,0.04948601126670837,0.15109603106975564,0.7532879280205023
158,CNN_onehot_pretrained,1,18,0.151174396276474,0.0322391577064991,0.1189352385699749,0.7867419450609957
159,CNN_onehot_pretrained,1,19,0.11570732295513153,0.019689703360199932,0.0960176195949316,0.829831830368808
160,CNN_matrix,1,0,0.8585080504417419,0.8585080504417419,0.0,0.0
161,CNN_matrix,1,1,0.8531399369239807,0.8535526394844055,-0.0004127025604248047,-0.0004837454473327618
162,CNN_matrix,1,2,0.8433455228805542,0.841192364692688,0.002153158187866211,0.0025531150986748408
163,CNN_matrix,1,3,0.8297078013420105,0.8281697630882263,0.0015380382537841797,0.0018537107296043853
164,CNN_matrix,1,4,0.8042877316474915,0.8030117750167847,0.0012759566307067871,0.0015864429861351947
165,CNN_matrix,1,5,0.777948260307312,0.7715188264846802,0.006429433822631836,0.008264603381325175
166,CNN_matrix,1,6,0.7487902641296387,0.7270517945289612,0.02173846960067749,0.029031453321505696
167,CNN_matrix,1,7,0.7053607702255249,0.680307924747467,0.02505284547805786,0.0355177754924586
168,CNN_matrix,1,8,0.6589409708976746,0.6266385316848755,0.03230243921279907,0.04902174950328786
169,CNN_matrix,1,9,0.6089030504226685,0.5669506788253784,0.04195237159729004,0.06889827792481729
170,CNN_matrix,1,10,0.5569807291030884,0.4973706901073456,0.0596100389957428,0.10702352142727345
171,CNN_matrix,1,11,0.5096181631088257,0.41816189885139465,0.09145626425743103,0.17946037028884532
172,CNN_matrix,1,12,0.4737294316291809,0.3608799874782562,0.11284944415092468,0.23821497381496737
173,CNN_matrix,1,13,0.4165645241737366,0.30415791273117065,0.11240661144256592,0.269842017069328
174,CNN_matrix,1,14,0.3748075067996979,0.2432629764080048,0.1315445303916931,0.35096557034006326
175,CNN_matrix,1,15,0.3266861140727997,0.19483599066734314,0.13185012340545654,0.4035987993541552
176,CNN_matrix,1,16,0.2941378653049469,0.15888002514839172,0.13525784015655518,0.45984504584721475
177,CNN_matrix,1,17,0.2545889616012573,0.11938680708408354,0.13520215451717377,0.53106055214181
178,CNN_matrix,1,18,0.2237284481525421,0.09549069404602052,0.12823775410652155,0.5731848370891428
179,CNN_matrix,1,19,0.19964729249477384,0.07177165895700455,0.1278756335377693,0.6405077271013664
180,CNN_matrix_pretrained,1,0,0.9945230484008788,0.9945230484008788,0.0,0.0
181,CNN_matrix_pretrained,1,1,0.9928149580955504,0.9819530248641968,0.010861933231353649,0.010940541480347288
