,model,k,mutations,kept,lost
0,CNN_onehot,0,0,0.9929011464118958,0.9929011464118958
1,CNN_onehot,0,1,0.9888688325881958,0.9903019666671752
2,CNN_onehot,0,2,0.9825457334518432,0.9828431010246276
3,CNN_onehot,0,3,0.975991427898407,0.9739419221878052
4,CNN_onehot,0,4,0.9588993191719056,0.9599674940109252
5,CNN_onehot,0,5,0.9378907680511476,0.935746967792511
6,CNN_onehot,0,6,0.9049642086029052,0.9045947790145874
7,CNN_onehot,0,7,0.8643133640289307,0.8738729357719421
8,CNN_onehot,0,8,0.825118362903595,0.8224073648452759
9,CNN_onehot,0,9,0.7664886713027954,0.7733250260353088
10,CNN_onehot,0,10,0.7154983878135681,0.7054187655448914
11,CNN_onehot,0,11,0.6291533708572388,0.6420477032661438
12,CNN_onehot,0,12,0.5595357418060303,0.5706069469451904
13,CNN_onehot,0,13,0.4944852292537689,0.4864739179611206
14,CNN_onehot,0,14,0.4007790982723236,0.4057428538799286
15,CNN_onehot,0,15,0.33291763067245483,0.33577752113342285
16,CNN_onehot,0,16,0.2750758230686188,0.2512814104557037
17,CNN_onehot,0,17,0.2087436020374298,0.1960560530424118
18,CNN_onehot,0,18,0.15199555456638336,0.1437152922153473
19,CNN_onehot,0,19,0.11453253030776978,0.09895370900630952
20,CNN_onehot_pretrained,0,0,0.9925810098648072,0.9925810098648072
21,CNN_onehot_pretrained,0,1,0.9822028875350952,0.9830220341682434
22,CNN_onehot_pretrained,0,2,0.9666811227798462,0.9593555927276612
23,CNN_onehot_pretrained,0,3,0.951686441898346,0.925245761871338
24,CNN_onehot_pretrained,0,4,0.9229623675346376,0.8902743458747864
25,CNN_onehot_pretrained,0,5,0.8785943984985352,0.8246591687202454
26,CNN_onehot_pretrained,0,6,0.8351458311080933,0.7570328116416931
27,CNN_onehot_pretrained,0,7,0.7943649291992188,0.6770018339157104
28,CNN_onehot_pretrained,0,8,0.7417130470275879,0.5814532637596129
29,CNN_onehot_pretrained,0,9,0.6739764213562012,0.4973691999912262
30,CNN_onehot_pretrained,0,10,0.6161956191062927,0.3952336609363556
31,CNN_onehot_pretrained,0,11,0.5397650599479675,0.31240689754486084
32,CNN_onehot_pretrained,0,12,0.4731075465679169,0.2369026392698288
33,CNN_onehot_pretrained,0,13,0.4167018830776215,0.16662801802158356
34,CNN_onehot_pretrained,0,14,0.3425464332103729,0.11859924346208572
35,CNN_onehot_pretrained,0,15,0.2932164967060089,0.08455020189285277
36,CNN_onehot_pretrained,0,16,0.2341956198215485,0.04749517515301704
37,CNN_onehot_pretrained,0,17,0.1871975213289261,0.02916943095624447
