,PPV,model,model_k
0,0.5889977869111603,CNN_onehot,CNN_onehot_0
1,0.5905785646538096,CNN_onehot,CNN_onehot_1
2,0.5814100537464433,CNN_onehot,CNN_onehot_2
3,0.5997470755611761,CNN_onehot,CNN_onehot_3
4,0.5807777426493835,CNN_onehot,CNN_onehot_4
5,0.5969016756244072,CNN_onehot,CNN_onehot_5
6,0.6032247865950048,CNN_onehot,CNN_onehot_6
7,0.5931078090420487,CNN_onehot,CNN_onehot_7
8,0.6006955422067657,CNN_onehot,CNN_onehot_8
9,0.6006955422067657,CNN_onehot,CNN_onehot_9
10,0.5959532089788175,CNN_onehot_pretrained,CNN_onehot_pretrained_0
11,0.5896300980082201,CNN_onehot_pretrained,CNN_onehot_pretrained_1
12,0.5987986089155864,CNN_onehot_pretrained,CNN_onehot_pretrained_2
13,0.5956370534302877,CNN_onehot_pretrained,CNN_onehot_pretrained_3
14,0.5915270312993993,CNN_onehot_pretrained,CNN_onehot_pretrained_4
15,0.5788808093582042,CNN_onehot_pretrained,CNN_onehot_pretrained_5
16,0.5994309200126462,CNN_onehot_pretrained,CNN_onehot_pretrained_6
17,0.6082832753714827,CNN_onehot_pretrained,CNN_onehot_pretrained_7
18,0.5880493202655707,CNN_onehot_pretrained,CNN_onehot_pretrained_8
19,0.5858362314258615,CNN_onehot_pretrained,CNN_onehot_pretrained_9
20,0.6184002529244388,CNN_matrix,CNN_matrix_0
21,0.6582358520392033,CNN_matrix,CNN_matrix_1
22,0.6664558963009801,CNN_matrix,CNN_matrix_2
23,0.6756244072083465,CNN_matrix,CNN_matrix_3
24,0.6882706291495416,CNN_matrix,CNN_matrix_4
25,0.6550742965539045,CNN_matrix,CNN_matrix_5
26,0.6250395194435663,CNN_matrix,CNN_matrix_6
27,0.6215618084097376,CNN_matrix,CNN_matrix_7
28,0.661713563073032,CNN_matrix,CNN_matrix_8
29,0.6398988302244705,CNN_matrix,CNN_matrix_9
30,0.7698387606702498,CNN_matrix_pretrained,CNN_matrix_pretrained_0
31,0.7505532722099273,CNN_matrix_pretrained,CNN_matrix_pretrained_1
32,0.7600379386658236,CNN_matrix_pretrained,CNN_matrix_pretrained_2
33,0.7726841606070186,CNN_matrix_pretrained,CNN_matrix_pretrained_3
34,0.7761618716408473,CNN_matrix_pretrained,CNN_matrix_pretrained_4
35,0.7600379386658236,CNN_matrix_pretrained,CNN_matrix_pretrained_5
36,0.7594056275687638,CNN_matrix_pretrained,CNN_matrix_pretrained_6
37,0.753714827695226,CNN_matrix_pretrained,CNN_matrix_pretrained_7
38,0.7552956054378754,CNN_matrix_pretrained,CNN_matrix_pretrained_8
39,0.753714827695226,CNN_matrix_pretrained,CNN_matrix_pretrained_9
40,0.5804615871008536,LSTM_onehot,LSTM_onehot_0
41,0.571925387290547,LSTM_onehot,LSTM_onehot_1
42,0.574454631678786,LSTM_onehot,LSTM_onehot_2
43,0.5886816313626304,LSTM_onehot,LSTM_onehot_3
44,0.5807777426493835,LSTM_onehot,LSTM_onehot_4
45,0.5908947202023396,LSTM_onehot,LSTM_onehot_5
46,0.5997470755611761,LSTM_onehot,LSTM_onehot_6
47,0.5833069870376225,LSTM_onehot,LSTM_onehot_7
48,0.594688586784698,LSTM_onehot,LSTM_onehot_8
49,0.5902624091052798,LSTM_onehot,LSTM_onehot_9
50,0.5791969649067341,LSTM_onehot_pretrained,LSTM_onehot_pretrained_0
51,0.5532722099272842,LSTM_onehot_pretrained,LSTM_onehot_pretrained_1
52,0.5728738539361365,LSTM_onehot_pretrained,LSTM_onehot_pretrained_2
53,0.571609231742017,LSTM_onehot_pretrained,LSTM_onehot_pretrained_3
54,0.579513120455264,LSTM_onehot_pretrained,LSTM_onehot_pretrained_4
55,0.5706607650964275,LSTM_onehot_pretrained,LSTM_onehot_pretrained_5
56,0.5652861207714195,LSTM_onehot_pretrained,LSTM_onehot_pretrained_6
57,0.5545368321214037,LSTM_onehot_pretrained,LSTM_onehot_pretrained_7
58,0.5728738539361365,LSTM_onehot_pretrained,LSTM_onehot_pretrained_8
59,0.5703446095478976,LSTM_onehot_pretrained,LSTM_onehot_pretrained_9
60,0.6250395194435663,ARNold,ARNold
