,model,k,mutations,kept,lost
0,CNN_onehot,0,0,0.9232188952205482,0.9232188952205482
1,CNN_onehot,1,0,0.9294411428633056,0.9294411421537266
2,CNN_onehot,2,0,0.8200925872752479,0.8200925861065295
3,CNN_onehot,3,0,0.8744659130563858,0.8744659130563858
4,CNN_onehot,4,0,0.8333109989365999,0.8333109989365999
5,CNN_onehot,5,0,0.8451315804344156,0.8451315812442614
6,CNN_onehot,6,0,0.8986434917496418,0.8986434917496418
7,CNN_onehot,7,0,0.8885782153007731,0.8885782153007731
8,CNN_onehot,8,0,0.8771218307071713,0.8771218325133727
9,CNN_onehot,9,0,0.8927612797782309,0.8927612804261077
10,CNN_onehot,0,1,0.9078009913311637,0.9100721172093812
11,CNN_onehot,1,1,0.9092429714843756,0.9127089387086768
12,CNN_onehot,2,1,0.8063731981928345,0.8119049195955003
13,CNN_onehot,3,1,0.8546852468663055,0.8568393698511406
14,CNN_onehot,4,1,0.8228272094516784,0.8238448360948064
15,CNN_onehot,5,1,0.8420808682461147,0.8356202896873373
16,CNN_onehot,6,1,0.8707332210868971,0.8769915015780531
17,CNN_onehot,7,1,0.8740398045849044,0.8795407597656887
18,CNN_onehot,8,1,0.8540354355984691,0.8595262744435759
19,CNN_onehot,9,1,0.8782580773184157,0.8779616901300091
20,CNN_onehot,0,2,0.8913070456638905,0.9034363712033918
21,CNN_onehot,1,2,0.8892796490601973,0.8890472602057603
22,CNN_onehot,2,2,0.7961970473937934,0.8022727864557038
23,CNN_onehot,3,2,0.8301498123026716,0.8413282073696482
24,CNN_onehot,4,2,0.8102934563902359,0.8164558828048778
25,CNN_onehot,5,2,0.8260962004125442,0.8295884453138147
26,CNN_onehot,6,2,0.8432485903790187,0.8550528435270205
27,CNN_onehot,7,2,0.8644634558975829,0.8702290339170128
28,CNN_onehot,8,2,0.8403402640976588,0.8409654027518976
29,CNN_onehot,9,2,0.8538989555579948,0.8608692370992883
30,CNN_onehot,0,3,0.8876500621701227,0.8948022234604518
31,CNN_onehot,1,3,0.8711984098615896,0.8688056323757717
32,CNN_onehot,2,3,0.7834951063692571,0.7929075752285619
33,CNN_onehot,3,3,0.8130796517575746,0.8198604698777544
34,CNN_onehot,4,3,0.7898800648622027,0.8072188957056905
35,CNN_onehot,5,3,0.8094587604940423,0.8206738729191863
36,CNN_onehot,6,3,0.8257390453703835,0.8424727210688228
37,CNN_onehot,7,3,0.8391490388419863,0.8586476147812201
38,CNN_onehot,8,3,0.8206954704036291,0.8316017019976344
39,CNN_onehot,9,3,0.8298853585435806,0.8508090137888717
40,CNN_onehot,0,4,0.8656058860499732,0.8712341238761997
41,CNN_onehot,1,4,0.8562723706523143,0.8558742077952909
42,CNN_onehot,2,4,0.7699264902847283,0.7734072993650581
43,CNN_onehot,3,4,0.8075302675343728,0.8166076490345101
44,CNN_onehot,4,4,0.7784541655659348,0.7920370071935348
45,CNN_onehot,5,4,0.8068508398581158,0.8079252335463685
46,CNN_onehot,6,4,0.8111527640004079,0.8237665026984263
47,CNN_onehot,7,4,0.8296518852794403,0.8518402678578779
48,CNN_onehot,8,4,0.8037915367386018,0.8186111413718512
49,CNN_onehot,9,4,0.8086730697993939,0.8238034596905495
50,CNN_onehot,0,5,0.8435829982937624,0.8676283379990184
51,CNN_onehot,1,5,0.8510923235363902,0.8543432733801201
52,CNN_onehot,2,5,0.7644816128734923,0.7772439198234142
53,CNN_onehot,3,5,0.7866587583552432,0.7961145051727224
54,CNN_onehot,4,5,0.7723179813532852,0.7859199213835538
55,CNN_onehot,5,5,0.7958865354597277,0.8005010377140899
56,CNN_onehot,6,5,0.8240575660356736,0.8369502500417719
57,CNN_onehot,7,5,0.8215698034301693,0.8469262788407017
58,CNN_onehot,8,5,0.8164675124110309,0.8242073204392498
59,CNN_onehot,9,5,0.8297873451322731,0.8394608531132459
60,CNN_onehot,0,6,0.8510758425192668,0.8554268518968239
