,model,k,mutations,section
0,CNN_onehot,0,base,0.9232188952205482
1,CNN_onehot,0,pad_left,0.9000701688630607
2,CNN_onehot,0,stretch_left,0.879372943536542
3,CNN_onehot,0,stem_left,0.9086850175891058
4,CNN_onehot,0,loop,0.9313563044500072
5,CNN_onehot,0,stem_right,0.8968532548242626
6,CNN_onehot,0,strech_right,0.42972549903089696
7,CNN_onehot,0,pad_right,0.915977841007146
8,CNN_onehot,1,base,0.9294411428633056
9,CNN_onehot,1,pad_left,0.9024907217337008
10,CNN_onehot,1,stretch_left,0.9017606046760366
11,CNN_onehot,1,stem_left,0.9110362412958656
12,CNN_onehot,1,loop,0.9256931860806488
13,CNN_onehot,1,stem_right,0.8792271920250699
14,CNN_onehot,1,strech_right,0.4078229194515318
15,CNN_onehot,1,pad_right,0.9228986985430802
16,CNN_onehot,2,base,0.8200925863987091
17,CNN_onehot,2,pad_left,0.7877523915635215
18,CNN_onehot,2,stretch_left,0.7752514492355141
19,CNN_onehot,2,stem_left,0.8087390006197239
20,CNN_onehot,2,loop,0.8258483820028749
21,CNN_onehot,2,stem_right,0.7923531933937198
22,CNN_onehot,2,strech_right,0.40191872559877395
23,CNN_onehot,2,pad_right,0.8130850185025361
24,CNN_onehot,3,base,0.8744659130563858
25,CNN_onehot,3,pad_left,0.8480721852595444
26,CNN_onehot,3,stretch_left,0.8174683085441479
27,CNN_onehot,3,stem_left,0.8583903868022569
28,CNN_onehot,3,loop,0.8810115613962691
29,CNN_onehot,3,stem_right,0.8309539310659722
30,CNN_onehot,3,strech_right,0.3406287722648616
31,CNN_onehot,3,pad_right,0.8645113258559475
32,CNN_onehot,4,base,0.8333109989365999
33,CNN_onehot,4,pad_left,0.8085333467058257
34,CNN_onehot,4,stretch_left,0.7832939084209766
35,CNN_onehot,4,stem_left,0.8236672265547599
36,CNN_onehot,4,loop,0.8365197931304046
37,CNN_onehot,4,stem_right,0.8010492624107299
38,CNN_onehot,4,strech_right,0.4161370944304405
39,CNN_onehot,4,pad_right,0.8240105591899326
40,CNN_onehot,5,base,0.8451315812442614
41,CNN_onehot,5,pad_left,0.8274593292533056
42,CNN_onehot,5,stretch_left,0.8121481980379347
43,CNN_onehot,5,stem_left,0.8340759499545168
44,CNN_onehot,5,loop,0.8546681685184223
45,CNN_onehot,5,stem_right,0.8280637836826128
46,CNN_onehot,5,strech_right,0.4088187091815137
47,CNN_onehot,5,pad_right,0.8376390104357531
48,CNN_onehot,6,base,0.8986434917496418
49,CNN_onehot,6,pad_left,0.8715162276433894
50,CNN_onehot,6,stretch_left,0.8606850655776145
51,CNN_onehot,6,stem_left,0.8821300774579033
52,CNN_onehot,6,loop,0.9049749863911488
53,CNN_onehot,6,stem_right,0.8347955345793704
54,CNN_onehot,6,strech_right,0.4105537317599767
55,CNN_onehot,6,pad_right,0.8873571862923949
56,CNN_onehot,7,base,0.8885782147732983
57,CNN_onehot,7,pad_left,0.8579876572926664
58,CNN_onehot,7,stretch_left,0.8529018120823708
59,CNN_onehot,7,stem_left,0.8774849924739659
60,CNN_onehot,7,loop,0.9003386282705452
61,CNN_onehot,7,stem_right,0.8633099632370657
62,CNN_onehot,7,strech_right,0.3736591733200888
63,CNN_onehot,7,pad_right,0.8722614186329651
64,CNN_onehot,8,base,0.8771218313092385
65,CNN_onehot,8,pad_left,0.8432143121826077
66,CNN_onehot,8,stretch_left,0.828671650328871
67,CNN_onehot,8,stem_left,0.8550491712401035
68,CNN_onehot,8,loop,0.8822508935051459
69,CNN_onehot,8,stem_right,0.8415932392444374
70,CNN_onehot,8,strech_right,0.35413336297748016
71,CNN_onehot,8,pad_right,0.8656272862288437
72,CNN_onehot,9,base,0.8927612810739842
73,CNN_onehot,9,pad_left,0.8640510198005571
74,CNN_onehot,9,stretch_left,0.8310653948272322
75,CNN_onehot,9,stem_left,0.868834973587587
76,CNN_onehot,9,loop,0.9011773329383383
77,CNN_onehot,9,stem_right,0.8615324826107995
78,CNN_onehot,9,strech_right,0.38318590401719066
79,CNN_onehot,9,pad_right,0.8756943440294244
80,CNN_onehot_pretrained,0,base,0.9557245912090424
81,CNN_onehot_pretrained,0,pad_left,0.9259826098451904
82,CNN_onehot_pretrained,0,stretch_left,0.9281969455641604
83,CNN_onehot_pretrained,0,stem_left,0.8968296695459304
84,CNN_onehot_pretrained,0,loop,0.9587853507168832
85,CNN_onehot_pretrained,0,stem_right,0.8645734851391682
86,CNN_onehot_pretrained,0,strech_right,0.4803978915364633
87,CNN_onehot_pretrained,0,pad_right,0.9459498730733472
88,CNN_onehot_pretrained,1,base,0.9173482480192824
89,CNN_onehot_pretrained,1,pad_left,0.8813411712746269
90,CNN_onehot_pretrained,1,stretch_left,0.8838460855437295
91,CNN_onehot_pretrained,1,stem_left,0.844227025218101
92,CNN_onehot_pretrained,1,loop,0.9239035141018648
93,CNN_onehot_pretrained,1,stem_right,0.8014504521748879
94,CNN_onehot_pretrained,1,strech_right,0.4648358883785217
