start,stop,center,length,max_score
9902.0,9911.0,9907.0,10.0,0.9896464
10067.0,10067.0,10067.0,1.0,0.5535467
10187.0,10187.0,10187.0,1.0,0.61898965
10415.0,10415.0,10415.0,1.0,0.6069825
10514.0,10514.0,10514.0,1.0,0.7386619
10544.0,10550.0,10547.0,7.0,0.97120976
10616.0,10622.0,10619.0,7.0,0.9761849
16160.0,16160.0,16160.0,1.0,0.57802814
16166.0,16166.0,16166.0,1.0,0.6945971
16220.0,16220.0,16220.0,1.0,0.5172457
16505.0,16508.0,16507.0,4.0,0.97668856
16589.0,16589.0,16589.0,1.0,0.9646386
16841.0,16841.0,16841.0,1.0,0.6995818
16847.0,16847.0,16847.0,1.0,0.8943239
16877.0,16877.0,16877.0,1.0,0.9841106
17033.0,17033.0,17033.0,1.0,0.94639343
17039.0,17039.0,17039.0,1.0,0.9666731
17117.0,17123.0,17120.0,7.0,0.9274089
20765.0,20765.0,20765.0,1.0,0.88085335
20771.0,20777.0,20774.0,7.0,0.9826789
20810.0,20810.0,20810.0,1.0,0.9769934
20816.0,20816.0,20816.0,1.0,0.54055125
20888.0,20891.0,20890.0,4.0,0.8428273
21125.0,21128.0,21127.0,4.0,0.94103575
21176.0,21176.0,21176.0,1.0,0.9202474
21182.0,21182.0,21182.0,1.0,0.758986
50270.0,50270.0,50270.0,1.0,0.6647245
50336.0,50342.0,50339.0,7.0,0.6663237
51137.0,51137.0,51137.0,1.0,0.54754823
51623.0,51623.0,51623.0,1.0,0.60193455
51647.0,51647.0,51647.0,1.0,0.97145534
52013.0,52016.0,52015.0,4.0,0.8574223
52385.0,52385.0,52385.0,1.0,0.96546125
52391.0,52391.0,52391.0,1.0,0.95182663
52793.0,52793.0,52793.0,1.0,0.6628528
53270.0,53273.0,53272.0,4.0,0.8697986
53372.0,53372.0,53372.0,1.0,0.99131423
54023.0,54023.0,54023.0,1.0,0.5739988
54590.0,54590.0,54590.0,1.0,0.7129779
56030.0,56030.0,56030.0,1.0,0.9556083
56189.0,56192.0,56191.0,4.0,0.6068651
56225.0,56225.0,56225.0,1.0,0.86896676
56231.0,56231.0,56231.0,1.0,0.79325545
56693.0,56696.0,56695.0,4.0,0.9620014
56978.0,56978.0,56978.0,1.0,0.74490464
57173.0,57173.0,57173.0,1.0,0.5428206
59621.0,59627.0,59624.0,7.0,0.98940444
59891.0,59891.0,59891.0,1.0,0.71560544
59963.0,59963.0,59963.0,1.0,0.863201
60092.0,60092.0,60092.0,1.0,0.56410885
60272.0,60272.0,60272.0,1.0,0.6844751
60278.0,60278.0,60278.0,1.0,0.64610803
60506.0,60506.0,60506.0,1.0,0.783059
60767.0,60767.0,60767.0,1.0,0.84325135
60827.0,60830.0,60829.0,4.0,0.6124927
61685.0,61685.0,61685.0,1.0,0.8917539
61853.0,61856.0,61855.0,4.0,0.9670553
61892.0,61892.0,61892.0,1.0,0.8501507
62132.0,62132.0,62132.0,1.0,0.85244846
62138.0,62138.0,62138.0,1.0,0.93316185
62675.0,62675.0,62675.0,1.0,0.6842913
62993.0,62993.0,62993.0,1.0,0.61731446
63065.0,63065.0,63065.0,1.0,0.64351827
63500.0,63503.0,63502.0,4.0,0.6645105
67517.0,67517.0,67517.0,1.0,0.9574831
67568.0,67568.0,67568.0,1.0,0.96599025
67658.0,67658.0,67658.0,1.0,0.5232026
78665.0,78665.0,78665.0,1.0,0.6678482
78713.0,78713.0,78713.0,1.0,0.5310876
78782.0,78782.0,78782.0,1.0,0.8396615
78824.0,78833.0,78829.0,10.0,0.98969704
79697.0,79697.0,79697.0,1.0,0.54195213
79718.0,79718.0,79718.0,1.0,0.88135266
83582.0,83588.0,83585.0,7.0,0.9933785
83879.0,83882.0,83881.0,4.0,0.91294235
111350.0,111350.0,111350.0,1.0,0.64670336
111488.0,111488.0,111488.0,1.0,0.878486
111560.0,111560.0,111560.0,1.0,0.9781405
112034.0,112034.0,112034.0,1.0,0.75149184
112112.0,112112.0,112112.0,1.0,0.5410533
112274.0,112274.0,112274.0,1.0,0.52304465
112541.0,112541.0,112541.0,1.0,0.5816287
112547.0,112547.0,112547.0,1.0,0.6603149
113129.0,113129.0,113129.0,1.0,0.975042
113168.0,113174.0,113171.0,7.0,0.8765366
113348.0,113348.0,113348.0,1.0,0.66433334
117632.0,117632.0,117632.0,1.0,0.7979393
