,index_range,frame_len,nt_ref,dist_CDS,prediction
0,"(83, 87)",15,"[287, 299]",32,1.0
1,"(131, 131)",3,"[431, 431]",176,0.8269277
2,"(134, 134)",3,"[440, 440]",185,0.9776209000000001
3,"(158, 158)",3,"[512, 512]",257,0.85378534
4,"(206, 206)",3,"[656, 656]",401,0.9051113000000002
5,"(309, 309)",3,"[965, 965]",710,0.61258626
6,"(339, 339)",3,"[1055, 1055]",800,0.97916096
7,"(354, 354)",3,"[1100, 1100]",845,0.8292574
8,"(357, 358)",6,"[1109, 1112]",854,0.9072312
9,"(432, 432)",3,"[1334, 1334]",1079,0.8703209999999999
10,"(708, 708)",3,"[2162, 2162]",-637,0.9531476000000001
11,"(736, 736)",3,"[2246, 2246]",-553,0.96850306
12,"(757, 757)",3,"[2309, 2309]",-490,0.9521940999999999
13,"(806, 806)",3,"[2456, 2456]",-343,0.9301292999999999
14,"(876, 877)",6,"[2666, 2669]",-130,0.9909723
15,"(902, 902)",3,"[2744, 2744]",-55,0.81123984
16,"(933, 933)",3,"[2837, 2837]",38,0.9407465
17,"(1043, 1043)",3,"[3167, 3167]",368,0.8171851
18,"(1085, 1086)",6,"[3293, 3296]",-437,0.9267251
19,"(1210, 1212)",9,"[3668, 3674]",-59,0.99502397
20,"(1290, 1291)",6,"[3908, 3911]",175,0.99467444
21,"(1441, 1441)",3,"[4361, 4361]",628,0.98557407
22,"(1635, 1635)",3,"[4943, 4943]",-77,0.8921737
23,"(1637, 1637)",3,"[4949, 4949]",-71,0.91591597
24,"(1649, 1649)",3,"[4985, 4985]",-35,0.8243056999999999
25,"(1667, 1669)",9,"[5039, 5045]",19,0.97957623
26,"(1673, 1674)",6,"[5057, 5060]",37,0.6400491
27,"(1708, 1710)",9,"[5162, 5168]",142,0.9995598
28,"(1735, 1735)",3,"[5243, 5243]",223,0.99095297
29,"(1737, 1739)",9,"[5249, 5255]",229,0.92993385
30,"(1798, 1798)",3,"[5432, 5432]",-98,0.66678905
31,"(1873, 1873)",3,"[5657, 5657]",20,0.86758256
32,"(1928, 1928)",3,"[5822, 5822]",139,0.98540294
33,"(1935, 1935)",3,"[5843, 5843]",160,0.5933893
34,"(1953, 1953)",3,"[5897, 5897]",214,0.7638093
35,"(1985, 1985)",3,"[5993, 5993]",310,0.5814666000000001
36,"(2257, 2257)",3,"[6809, 6809]",280,0.8885205
37,"(2291, 2291)",3,"[6911, 6911]",382,0.82695055
38,"(2337, 2337)",3,"[7049, 7049]",520,0.5408837
39,"(2474, 2475)",6,"[7460, 7463]",931,0.9965072
40,"(2587, 2588)",6,"[7799, 7802]",1270,0.98815817
41,"(2641, 2641)",3,"[7961, 7961]",-1230,0.70866954
42,"(2676, 2676)",3,"[8066, 8066]",-1125,0.99680495
43,"(2737, 2737)",3,"[8249, 8249]",-942,0.9983115
44,"(2885, 2887)",9,"[8693, 8699]",-492,0.9935375
45,"(2899, 2899)",3,"[8735, 8735]",-456,0.8463366
46,"(2932, 2934)",9,"[8834, 8840]",-351,0.9999726000000001
47,"(3049, 3049)",3,"[9185, 9185]",-6,0.5198393
48,"(3058, 3058)",3,"[9212, 9212]",21,0.82787585
49,"(3060, 3060)",3,"[9218, 9218]",27,0.8899944
50,"(3091, 3091)",3,"[9311, 9311]",120,0.63469946
51,"(3105, 3105)",3,"[9353, 9353]",162,0.8950744
52,"(3194, 3195)",6,"[9620, 9623]",-270,0.9864746999999999
53,"(3291, 3291)",3,"[9911, 9911]",-17,0.99992096
54,"(3309, 3309)",3,"[9965, 9965]",37,0.90584576
55,"(3364, 3364)",3,"[10130, 10130]",202,0.96655285
56,"(3421, 3424)",12,"[10301, 10310]",-333,0.99960214
57,"(3474, 3474)",3,"[10460, 10460]",-183,0.8273091999999999
58,"(3606, 3606)",3,"[10856, 10856]",213,0.8588450000000001
59,"(3610, 3610)",3,"[10868, 10868]",225,0.6300688
60,"(3635, 3636)",6,"[10943, 10946]",300,0.99834156
61,"(3732, 3733)",6,"[11234, 11237]",-78,0.99114627
62,"(3735, 3735)",3,"[11243, 11243]",-72,0.93695575
63,"(3768, 3771)",12,"[11342, 11351]",27,0.89609045
64,"(3823, 3823)",3,"[11507, 11507]",125,0.7341871
65,"(3839, 3840)",6,"[11555, 11558]",173,0.8837187
66,"(3918, 3918)",3,"[11792, 11792]",410,0.570896
67,"(3941, 3943)",9,"[11861, 11867]",479,0.99933296
68,"(4019, 4020)",6,"[12095, 12098]",713,0.99925405
69,"(4069, 4069)",3,"[12245, 12245]",863,0.57417667
70,"(4074, 4074)",3,"[12260, 12260]",878,0.8625086999999999
71,"(4217, 4217)",3,"[12689, 12689]",1307,0.6262273
72,"(4235, 4235)",3,"[12743, 12743]",-1336,0.907061
73,"(4368, 4368)",3,"[13142, 13142]",-937,0.91306704
74,"(4542, 4542)",3,"[13664, 13664]",-415,0.9753787
75,"(4685, 4685)",3,"[14093, 14093]",14,0.5031107
76,"(5167, 5167)",3,"[15539, 15539]",241,0.7357083000000001
77,"(5220, 5220)",3,"[15698, 15698]",400,0.57441074
78,"(5376, 5378)",9,"[16166, 16172]",-385,0.99990356
79,"(5417, 5417)",3,"[16289, 16289]",-268,0.97693706
80,"(5471, 5472)",6,"[16451, 16454]",-103,0.99067557
81,"(5477, 5477)",3,"[16469, 16469]",-88,0.97034854
82,"(5520, 5520)",3,"[16598, 16598]",41,0.81615335
83,"(5560, 5560)",3,"[16718, 16718]",-13,0.8217476999999999
84,"(5565, 5565)",3,"[16733, 16733]",2,0.99206126
85,"(5590, 5590)",3,"[16808, 16808]",57,0.98843956
86,"(5614, 5616)",9,"[16880, 16886]",-120,0.99785256
87,"(5618, 5618)",3,"[16892, 16892]",-114,0.94381183
88,"(5669, 5669)",3,"[17045, 17045]",39,0.8294492
89,"(5674, 5674)",3,"[17060, 17060]",54,0.73728466
90,"(5695, 5696)",6,"[17123, 17126]",117,0.9951681
91,"(5719, 5719)",3,"[17195, 17195]",189,0.52828014
92,"(5829, 5829)",3,"[17525, 17525]",519,0.7930393
93,"(5865, 5865)",3,"[17633, 17633]",627,0.6719573
94,"(5884, 5885)",6,"[17690, 17693]",684,0.9936699000000001
95,"(6179, 6179)",3,"[18575, 18575]",-80,0.99879384
96,"(6214, 6214)",3,"[18680, 18680]",25,0.9996582
97,"(6250, 6252)",9,"[18788, 18794]",133,0.9999652
98,"(6315, 6315)",3,"[18983, 18983]",328,0.60219586
99,"(6346, 6346)",3,"[19076, 19076]",421,0.6927951999999999
100,"(6349, 6349)",3,"[19085, 19085]",430,0.77109116
101,"(6410, 6410)",3,"[19268, 19268]",-352,0.5510517
102,"(6415, 6415)",3,"[19283, 19283]",-337,0.88279957
103,"(6547, 6547)",3,"[19679, 19679]",59,0.6172352
104,"(6589, 6589)",3,"[19805, 19805]",-6,0.99708706
105,"(6592, 6593)",6,"[19814, 19817]",3,0.97054523
106,"(6706, 6706)",3,"[20156, 20156]",-77,0.5695051999999999
107,"(6708, 6708)",3,"[20162, 20162]",-71,0.5545179
108,"(6733, 6733)",3,"[20237, 20237]",4,0.9255620999999999
109,"(6799, 6799)",3,"[20435, 20435]",202,0.9730155
110,"(6840, 6841)",6,"[20558, 20561]",-254,0.97471017
111,"(6886, 6886)",3,"[20696, 20696]",-119,0.6154791000000001
112,"(6913, 6913)",3,"[20777, 20777]",-38,0.9581765999999999
113,"(6915, 6915)",3,"[20783, 20783]",-32,0.97739613
114,"(6939, 6939)",3,"[20855, 20855]",40,0.80427444
115,"(6941, 6941)",3,"[20861, 20861]",46,0.52360845
116,"(6955, 6957)",9,"[20903, 20909]",88,0.9494617
117,"(6975, 6975)",3,"[20963, 20963]",148,0.617012
118,"(7006, 7006)",3,"[21056, 21056]",241,0.6273401
119,"(7025, 7025)",3,"[21113, 21113]",-286,0.7615838
120,"(7031, 7032)",6,"[21131, 21134]",-265,0.9983032
121,"(7049, 7049)",3,"[21185, 21185]",-214,0.84751433
122,"(7079, 7079)",3,"[21275, 21275]",-124,0.9741322
123,"(7090, 7090)",3,"[21308, 21308]",-91,0.99743336
124,"(7111, 7111)",3,"[21371, 21371]",-28,0.6485996
125,"(7137, 7137)",3,"[21449, 21449]",50,0.99534273
126,"(7171, 7172)",6,"[21551, 21554]",152,0.992502
127,"(7255, 7255)",3,"[21803, 21803]",404,0.88326865
128,"(7376, 7376)",3,"[22166, 22166]",-182,0.54775214
129,"(7423, 7425)",9,"[22307, 22313]",-35,0.98482174
130,"(7492, 7492)",3,"[22514, 22514]",166,0.6784984000000001
131,"(7509, 7509)",3,"[22565, 22565]",217,0.5286036
132,"(7532, 7532)",3,"[22634, 22634]",286,0.8688084
133,"(7682, 7682)",3,"[23084, 23084]",736,0.7953344
134,"(8016, 8016)",3,"[24086, 24086]",-1121,0.79405606
135,"(8018, 8018)",3,"[24092, 24092]",-1115,0.9362043
136,"(8100, 8100)",3,"[24338, 24338]",-869,0.63611573
137,"(8428, 8428)",3,"[25322, 25322]",115,0.8972818000000001
138,"(8442, 8443)",6,"[25364, 25367]",157,0.9354536
139,"(8560, 8560)",3,"[25718, 25718]",17,0.97887224
140,"(8632, 8634)",9,"[25934, 25940]",171,0.7080448
141,"(8663, 8663)",3,"[26027, 26027]",-248,0.93989784
142,"(8690, 8690)",3,"[26108, 26108]",-167,0.5934696999999999
143,"(8725, 8727)",9,"[26213, 26219]",-56,0.9855321
144,"(8753, 8754)",6,"[26297, 26300]",22,0.9544809000000001
145,"(8810, 8811)",6,"[26468, 26471]",193,0.8091119999999999
146,"(8823, 8823)",3,"[26507, 26507]",232,0.5617225
147,"(8856, 8856)",3,"[26606, 26606]",331,0.88740647
148,"(8858, 8858)",3,"[26612, 26612]",337,0.65726924
149,"(8904, 8904)",3,"[26750, 26750]",475,0.9938518
150,"(9076, 9078)",9,"[27266, 27272]",39,0.99651814
151,"(9103, 9103)",3,"[27347, 27347]",120,0.75279
152,"(9128, 9128)",3,"[27422, 27422]",195,0.8932974
153,"(9136, 9136)",3,"[27446, 27446]",219,0.9359646999999999
154,"(9149, 9149)",3,"[27485, 27485]",258,0.5754902
155,"(9275, 9275)",3,"[27863, 27863]",-344,0.66161346
156,"(9326, 9326)",3,"[28016, 28016]",-191,0.6175096999999999
157,"(9515, 9515)",3,"[28583, 28583]",376,0.8833194999999999
158,"(9567, 9567)",3,"[28739, 28739]",-456,0.6368839
159,"(9646, 9646)",3,"[28976, 28976]",-219,0.6747503
160,"(9728, 9728)",3,"[29222, 29222]",27,0.8447607
161,"(9736, 9737)",6,"[29246, 29249]",51,0.949961
162,"(9740, 9741)",6,"[29258, 29261]",63,0.9508036
163,"(9743, 9743)",3,"[29267, 29267]",72,0.6470044
164,"(9762, 9764)",9,"[29324, 29330]",129,0.9997569
165,"(9843, 9843)",3,"[29567, 29567]",372,0.55510676
166,"(9867, 9867)",3,"[29639, 29639]",444,0.96127385
167,"(10062, 10065)",12,"[30224, 30233]",-566,0.99993956
168,"(10301, 10301)",3,"[30941, 30941]",142,0.6095918
169,"(10378, 10378)",3,"[31172, 31172]",373,0.62278557
170,"(10488, 10490)",9,"[31502, 31508]",703,0.81912947
171,"(10828, 10828)",3,"[32522, 32522]",-1516,0.5073389
172,"(10973, 10973)",3,"[32957, 32957]",-1081,0.59086007
173,"(11047, 11048)",6,"[33179, 33182]",-856,0.9604584
174,"(11106, 11107)",6,"[33356, 33359]",-679,0.9986896000000001
175,"(11290, 11290)",3,"[33908, 33908]",-130,0.83337504
176,"(11354, 11356)",9,"[34100, 34106]",62,0.99972636
177,"(11398, 11398)",3,"[34232, 34232]",194,0.99170166
178,"(11480, 11480)",3,"[34478, 34478]",-217,0.6904769000000001
179,"(11522, 11523)",6,"[34604, 34607]",-88,0.6887128
180,"(11591, 11593)",9,"[34811, 34817]",30,0.98429084
181,"(11617, 11617)",3,"[34889, 34889]",108,0.9900131
182,"(11774, 11774)",3,"[35360, 35360]",-17,0.96700054
183,"(11827, 11827)",3,"[35519, 35519]",142,0.6682115
184,"(11839, 11839)",3,"[35555, 35555]",178,0.7016792
185,"(11964, 11964)",3,"[35930, 35930]",-341,0.9983992
186,"(11971, 11971)",3,"[35951, 35951]",-320,0.9773221
187,"(12008, 12008)",3,"[36062, 36062]",-209,0.75526834
188,"(12010, 12010)",3,"[36068, 36068]",-203,0.78072214
189,"(12038, 12039)",6,"[36152, 36155]",-116,0.9821009
190,"(12062, 12062)",3,"[36224, 36224]",-47,0.66597325
191,"(12073, 12073)",3,"[36257, 36257]",-14,0.93376327
192,"(12091, 12092)",6,"[36311, 36314]",40,0.72877854
193,"(12100, 12100)",3,"[36338, 36338]",67,0.5356409000000001
194,"(12106, 12106)",3,"[36356, 36356]",85,0.54072523
195,"(12136, 12136)",3,"[36446, 36446]",175,0.55229324
196,"(12208, 12208)",3,"[36662, 36662]",391,0.5683172
197,"(12217, 12217)",3,"[36689, 36689]",418,0.9569622999999999
198,"(12234, 12235)",6,"[36740, 36743]",469,0.9337982
199,"(12307, 12307)",3,"[36959, 36959]",688,0.94752717
200,"(12410, 12410)",3,"[37268, 37268]",-630,0.8610806999999999
201,"(12483, 12484)",6,"[37487, 37490]",-408,0.9989046
202,"(12591, 12591)",3,"[37811, 37811]",-87,0.6777107
203,"(12599, 12599)",3,"[37835, 37835]",-63,0.8163176
204,"(12659, 12661)",9,"[38015, 38021]",117,0.9992654000000001
205,"(12793, 12795)",9,"[38417, 38423]",519,0.9960233000000001
206,"(12979, 12979)",3,"[38975, 38975]",-210,0.8362506
207,"(13139, 13139)",3,"[39455, 39455]",211,0.9971552
208,"(13141, 13141)",3,"[39461, 39461]",217,0.60359997
209,"(13213, 13213)",3,"[39677, 39677]",433,0.99505925
210,"(13252, 13252)",3,"[39794, 39794]",550,0.6399052
211,"(13321, 13321)",3,"[40001, 40001]",-416,0.52764755
212,"(13337, 13338)",6,"[40049, 40052]",-365,0.7881365
213,"(13389, 13389)",3,"[40205, 40205]",-212,0.8730872
214,"(13455, 13455)",3,"[40403, 40403]",-14,0.9827891
215,"(13489, 13489)",3,"[40505, 40505]",88,0.6200201
216,"(13519, 13519)",3,"[40595, 40595]",178,0.6281394
217,"(13580, 13580)",3,"[40778, 40778]",361,0.8842412000000001
