start,stop,center,length,max_score
287.0,299.0,293.0,13.0,0.9830496
1514.0,1514.0,1514.0,1.0,0.61924905
2243.0,2246.0,2245.0,4.0,0.91304207
3005.0,3005.0,3005.0,1.0,0.85539365
3671.0,3674.0,3673.0,4.0,0.9071928
3809.0,3812.0,3811.0,4.0,0.92815506
4394.0,4394.0,4394.0,1.0,0.60813904
5039.0,5048.0,5044.0,10.0,0.9287626
5057.0,5063.0,5060.0,7.0,0.9422268
8066.0,8066.0,8066.0,1.0,0.50603426
8831.0,8843.0,8837.0,13.0,0.97139174
9908.0,9908.0,9908.0,1.0,0.5250322
12743.0,12746.0,12745.0,4.0,0.7457928
13424.0,13427.0,13426.0,4.0,0.5520459
13664.0,13664.0,13664.0,1.0,0.7586614
17522.0,17528.0,17525.0,7.0,0.6962308
17687.0,17693.0,17690.0,7.0,0.9602464
17765.0,17765.0,17765.0,1.0,0.81409645
18098.0,18104.0,18101.0,7.0,0.6809627
18179.0,18185.0,18182.0,7.0,0.9384211
18488.0,18494.0,18491.0,7.0,0.86180234
18680.0,18683.0,18682.0,4.0,0.8289162
18788.0,18794.0,18791.0,7.0,0.915374
21446.0,21452.0,21449.0,7.0,0.79991
21551.0,21551.0,21551.0,1.0,0.5432537
21803.0,21806.0,21805.0,4.0,0.5188926
22553.0,22553.0,22553.0,1.0,0.7596929
23465.0,23465.0,23465.0,1.0,0.534839
25367.0,25367.0,25367.0,1.0,0.6329116
25664.0,25664.0,25664.0,1.0,0.5596312
25721.0,25721.0,25721.0,1.0,0.6970989
25940.0,25943.0,25942.0,4.0,0.668119
26216.0,26222.0,26219.0,7.0,0.8854771
26294.0,26294.0,26294.0,1.0,0.68277454
26300.0,26300.0,26300.0,1.0,0.5851582
26426.0,26432.0,26429.0,7.0,0.91912603
26474.0,26474.0,26474.0,1.0,0.7505683
26990.0,26993.0,26992.0,4.0,0.5863695
27251.0,27254.0,27253.0,4.0,0.7590083
27260.0,27272.0,27266.0,13.0,0.9705486
27806.0,27806.0,27806.0,1.0,0.6223269
28727.0,28727.0,28727.0,1.0,0.6402571
28733.0,28733.0,28733.0,1.0,0.5879103
29120.0,29120.0,29120.0,1.0,0.52830315
29255.0,29279.0,29267.0,25.0,0.9760634
29315.0,29333.0,29324.0,19.0,0.9667172
29369.0,29381.0,29375.0,13.0,0.95392036
29513.0,29516.0,29515.0,4.0,0.83613336
29636.0,29642.0,29639.0,7.0,0.9511598
30224.0,30230.0,30227.0,7.0,0.9041228
30854.0,30860.0,30857.0,7.0,0.94588846
32957.0,32957.0,32957.0,1.0,0.685058
34052.0,34052.0,34052.0,1.0,0.6588531
34100.0,34109.0,34105.0,10.0,0.98128635
34499.0,34499.0,34499.0,1.0,0.54142696
34817.0,34817.0,34817.0,1.0,0.76637375
47144.0,47144.0,47144.0,1.0,0.587935
47234.0,47237.0,47236.0,4.0,0.64508444
47678.0,47678.0,47678.0,1.0,0.5004821
48584.0,48587.0,48586.0,4.0,0.9054299
49655.0,49667.0,49661.0,13.0,0.9726888
49763.0,49769.0,49766.0,7.0,0.8962889
57086.0,57095.0,57091.0,10.0,0.96849054
57506.0,57518.0,57512.0,13.0,0.96021485
57716.0,57728.0,57722.0,13.0,0.9053157
57866.0,57866.0,57866.0,1.0,0.8470284
58217.0,58217.0,58217.0,1.0,0.6644385
58229.0,58229.0,58229.0,1.0,0.69162995
58292.0,58298.0,58295.0,7.0,0.947795
58349.0,58358.0,58354.0,10.0,0.8392273
67166.0,67169.0,67168.0,4.0,0.78806615
77318.0,77324.0,77321.0,7.0,0.95073384
77378.0,77387.0,77383.0,10.0,0.83576643
77570.0,77582.0,77576.0,13.0,0.98193765
77654.0,77654.0,77654.0,1.0,0.6232904
84206.0,84212.0,84209.0,7.0,0.9531167
84257.0,84263.0,84260.0,7.0,0.82739395
84563.0,84563.0,84563.0,1.0,0.5376874
84845.0,84851.0,84848.0,7.0,0.80157423
85010.0,85016.0,85013.0,7.0,0.8554314
85334.0,85352.0,85343.0,19.0,0.9632801
85391.0,85391.0,85391.0,1.0,0.68797135
85445.0,85454.0,85450.0,10.0,0.9510893
85484.0,85490.0,85487.0,7.0,0.9495852
87884.0,87890.0,87887.0,7.0,0.97300285
87986.0,87995.0,87991.0,10.0,0.96770847
88412.0,88412.0,88412.0,1.0,0.6460811
88742.0,88742.0,88742.0,1.0,0.5815101
89204.0,89216.0,89210.0,13.0,0.974572
102794.0,102794.0,102794.0,1.0,0.5500944
103229.0,103232.0,103231.0,4.0,0.69281787
105362.0,105362.0,105362.0,1.0,0.67394286
106472.0,106478.0,106475.0,7.0,0.63920605
106595.0,106595.0,106595.0,1.0,0.5788888
106871.0,106871.0,106871.0,1.0,0.5257376
107531.0,107543.0,107537.0,13.0,0.9764906
107579.0,107591.0,107585.0,13.0,0.9061241
108254.0,108266.0,108260.0,13.0,0.95952064
109223.0,109223.0,109223.0,1.0,0.5884074
111008.0,111020.0,111014.0,13.0,0.9822177
113360.0,113360.0,113360.0,1.0,0.5900794
113630.0,113639.0,113635.0,10.0,0.89624476
114371.0,114371.0,114371.0,1.0,0.52633625
114647.0,114647.0,114647.0,1.0,0.51299083
118856.0,118856.0,118856.0,1.0,0.6345617
119054.0,119054.0,119054.0,1.0,0.5849749
119429.0,119435.0,119432.0,7.0,0.73941135
119693.0,119699.0,119696.0,7.0,0.8191136
119765.0,119768.0,119767.0,4.0,0.70998526
120191.0,120200.0,120196.0,10.0,0.9713316
121901.0,121907.0,121904.0,7.0,0.8499934
123338.0,123338.0,123338.0,1.0,0.5133521
127259.0,127262.0,127261.0,4.0,0.52639973
127601.0,127613.0,127607.0,13.0,0.980699
127664.0,127667.0,127666.0,4.0,0.7384635
127730.0,127733.0,127732.0,4.0,0.68948317
128453.0,128453.0,128453.0,1.0,0.581605
129050.0,129053.0,129052.0,4.0,0.86108106
129377.0,129386.0,129382.0,10.0,0.9768003
130580.0,130580.0,130580.0,1.0,0.6169073
131159.0,131162.0,131161.0,4.0,0.934808
131441.0,131459.0,131450.0,19.0,0.96131027
132317.0,132317.0,132317.0,1.0,0.63303924
134183.0,134183.0,134183.0,1.0,0.5326169
134258.0,134270.0,134264.0,13.0,0.97985774
134687.0,134693.0,134690.0,7.0,0.76878387
134819.0,134819.0,134819.0,1.0,0.5547876
136964.0,136970.0,136967.0,7.0,0.91062737
137123.0,137123.0,137123.0,1.0,0.5018406
137771.0,137771.0,137771.0,1.0,0.8689685
141395.0,141401.0,141398.0,7.0,0.8137771
141554.0,141557.0,141556.0,4.0,0.6659872
141989.0,141998.0,141994.0,10.0,0.9503672
147314.0,147314.0,147314.0,1.0,0.6676482
147632.0,147632.0,147632.0,1.0,0.5887278
147926.0,147926.0,147926.0,1.0,0.8695505
148079.0,148082.0,148081.0,4.0,0.749012
162740.0,162743.0,162742.0,4.0,0.7531345
165713.0,165716.0,165715.0,4.0,0.8712177
166037.0,166037.0,166037.0,1.0,0.5033762
167327.0,167330.0,167329.0,4.0,0.93131745
167399.0,167399.0,167399.0,1.0,0.802182
167411.0,167411.0,167411.0,1.0,0.55181867
167552.0,167552.0,167552.0,1.0,0.5044171
167558.0,167558.0,167558.0,1.0,0.6788597
167798.0,167801.0,167800.0,4.0,0.63905394
168095.0,168095.0,168095.0,1.0,0.50525737
168104.0,168107.0,168106.0,4.0,0.8419138
169010.0,169016.0,169013.0,7.0,0.74276996
169022.0,169022.0,169022.0,1.0,0.5816425
169235.0,169244.0,169240.0,10.0,0.9260776
174962.0,174962.0,174962.0,1.0,0.6299919
174974.0,174977.0,174976.0,4.0,0.68578815
175196.0,175199.0,175198.0,4.0,0.669402
175343.0,175343.0,175343.0,1.0,0.6982955
175373.0,175373.0,175373.0,1.0,0.6384088
175475.0,175478.0,175477.0,4.0,0.51618814
175679.0,175691.0,175685.0,13.0,0.9557514
175790.0,175790.0,175790.0,1.0,0.516104
176045.0,176045.0,176045.0,1.0,0.81001097
176156.0,176162.0,176159.0,7.0,0.6073997
176735.0,176735.0,176735.0,1.0,0.80591017
176924.0,176933.0,176929.0,10.0,0.92943007
179081.0,179081.0,179081.0,1.0,0.7696931
179765.0,179765.0,179765.0,1.0,0.74074304
179846.0,179852.0,179849.0,7.0,0.90147406
179930.0,179933.0,179932.0,4.0,0.7500544
180218.0,180227.0,180223.0,10.0,0.97834194
180281.0,180281.0,180281.0,1.0,0.5368576
180317.0,180317.0,180317.0,1.0,0.58328223
180359.0,180362.0,180361.0,4.0,0.6751062
182330.0,182336.0,182333.0,7.0,0.937424
189452.0,189461.0,189457.0,10.0,0.8718339
189614.0,189617.0,189616.0,4.0,0.8479295
189800.0,189800.0,189800.0,1.0,0.60482216
190346.0,190346.0,190346.0,1.0,0.8325693
190415.0,190415.0,190415.0,1.0,0.64511675
190781.0,190790.0,190786.0,10.0,0.9768173
191267.0,191270.0,191269.0,4.0,0.7826684
191726.0,191738.0,191732.0,13.0,0.98099273
192620.0,192623.0,192622.0,4.0,0.9240094
192638.0,192638.0,192638.0,1.0,0.5143254
193469.0,193484.0,193477.0,16.0,0.979067
194642.0,194642.0,194642.0,1.0,0.72141963
194819.0,194837.0,194828.0,19.0,0.9782069
195047.0,195059.0,195053.0,13.0,0.8803832
195215.0,195215.0,195215.0,1.0,0.62795025
195497.0,195500.0,195499.0,4.0,0.8228143
195728.0,195728.0,195728.0,1.0,0.6057696
196484.0,196496.0,196490.0,13.0,0.9492692
196892.0,196895.0,196894.0,4.0,0.76259047
197381.0,197387.0,197384.0,7.0,0.7155539
197750.0,197750.0,197750.0,1.0,0.58306044
197807.0,197807.0,197807.0,1.0,0.7781213
197813.0,197813.0,197813.0,1.0,0.5918739
