,index_range,frame_len,nt_ref,dist_CDS,prediction
0,"(83, 87)",15,"[287, 299]",32,0.9508436
1,"(734, 737)",12,"[2240, 2249]",-550,0.8485024999999999
2,"(1211, 1212)",6,"[3671, 3674]",-59,0.80035454
3,"(1257, 1258)",6,"[3809, 3812]",76,0.6962911999999999
4,"(1290, 1290)",3,"[3908, 3908]",175,0.5983056999999999
5,"(1667, 1669)",9,"[5039, 5045]",19,0.78527904
6,"(1673, 1675)",9,"[5057, 5063]",37,0.75119513
7,"(1927, 1929)",9,"[5819, 5825]",136,0.77083254
8,"(2410, 2410)",3,"[7268, 7268]",739,0.67225945
9,"(2474, 2475)",6,"[7460, 7463]",931,0.74051285
10,"(2587, 2589)",9,"[7799, 7805]",1270,0.836619
11,"(2888, 2888)",3,"[8702, 8702]",-489,0.6424309
12,"(2932, 2935)",12,"[8834, 8843]",-348,0.9335646000000001
13,"(3031, 3031)",3,"[9131, 9131]",-60,0.52921134
14,"(3421, 3423)",9,"[10301, 10307]",-336,0.86158353
15,"(3733, 3736)",12,"[11237, 11246]",-69,0.8377620000000001
16,"(3769, 3771)",9,"[11345, 11351]",30,0.6004596999999999
17,"(3806, 3807)",6,"[11456, 11459]",74,0.7216543000000001
18,"(3821, 3824)",12,"[11501, 11510]",119,0.8847586999999999
19,"(3858, 3859)",6,"[11612, 11615]",230,0.5917062
20,"(3874, 3874)",3,"[11660, 11660]",278,0.6160932
21,"(3940, 3944)",15,"[11858, 11870]",476,0.93775547
22,"(4235, 4236)",6,"[12743, 12746]",-1333,0.61007774
23,"(4463, 4463)",3,"[13427, 13427]",-652,0.61038345
24,"(4542, 4542)",3,"[13664, 13664]",-415,0.6221128
25,"(4652, 4653)",6,"[13994, 13997]",-82,0.54566485
26,"(5070, 5071)",6,"[15248, 15251]",-47,0.5517051
27,"(5377, 5378)",6,"[16169, 16172]",-385,0.5756
28,"(5416, 5416)",3,"[16286, 16286]",-271,0.51391226
29,"(5672, 5672)",3,"[17054, 17054]",48,0.5182449
30,"(5692, 5697)",18,"[17114, 17129]",108,0.91058654
31,"(5718, 5718)",3,"[17192, 17192]",186,0.5034779
32,"(5735, 5735)",3,"[17243, 17243]",237,0.5277183000000001
33,"(5829, 5830)",6,"[17525, 17528]",519,0.56430644
34,"(5883, 5886)",12,"[17687, 17696]",681,0.8559732
35,"(6047, 6049)",9,"[18179, 18185]",-470,0.8071936
36,"(6150, 6152)",9,"[18488, 18494]",-161,0.73577553
37,"(6181, 6182)",6,"[18581, 18584]",-71,0.56097144
38,"(6214, 6215)",6,"[18680, 18683]",25,0.7165117
39,"(6250, 6252)",9,"[18788, 18794]",133,0.8304978999999999
40,"(6409, 6409)",3,"[19265, 19265]",-355,0.510818
41,"(6450, 6450)",3,"[19388, 19388]",-232,0.60838735
42,"(6798, 6799)",6,"[20432, 20435]",199,0.7166653000000001
43,"(6885, 6885)",3,"[20693, 20693]",-122,0.52181685
44,"(6912, 6913)",6,"[20774, 20777]",-38,0.6026600999999999
45,"(6940, 6941)",6,"[20858, 20861]",43,0.84862894
46,"(6956, 6956)",3,"[20906, 20906]",91,0.5001982
47,"(6989, 6990)",6,"[21005, 21008]",190,0.7090860999999999
48,"(7030, 7033)",12,"[21128, 21137]",-262,0.84096944
49,"(7137, 7139)",9,"[21449, 21455]",50,0.7804436
50,"(7171, 7173)",9,"[21551, 21557]",152,0.7017734
51,"(7256, 7256)",3,"[21806, 21806]",407,0.69494945
52,"(8561, 8561)",3,"[25721, 25721]",20,0.52643114
53,"(8633, 8635)",9,"[25937, 25943]",174,0.82096505
54,"(8726, 8728)",9,"[26216, 26222]",-53,0.8443876
55,"(8752, 8752)",3,"[26294, 26294]",19,0.56896544
56,"(8985, 8985)",3,"[26993, 26993]",-234,0.52359456
57,"(9076, 9077)",6,"[27266, 27269]",39,0.8205150999999999
58,"(9514, 9515)",6,"[28580, 28583]",373,0.78277534
59,"(9565, 9566)",6,"[28733, 28736]",-459,0.74140745
60,"(9694, 9694)",3,"[29120, 29120]",-75,0.51147187
61,"(9740, 9743)",12,"[29258, 29267]",63,0.9106398000000001
