,index_range,frame_len,nt_ref,dist_CDS,prediction
0,"(14, 14)",3,"[80, 80]",-175,0.7266520000000001
1,"(83, 86)",12,"[287, 296]",32,0.9999416999999999
2,"(113, 113)",3,"[377, 377]",122,0.72017837
3,"(131, 131)",3,"[431, 431]",176,0.6768598000000001
4,"(133, 134)",6,"[437, 440]",182,0.86306244
5,"(182, 182)",3,"[584, 584]",329,0.6360857
6,"(206, 206)",3,"[656, 656]",401,0.6770818000000001
7,"(338, 341)",12,"[1052, 1061]",797,0.74352336
8,"(394, 394)",3,"[1220, 1220]",965,0.66076094
9,"(708, 708)",3,"[2162, 2162]",-637,0.6622863
10,"(736, 736)",3,"[2246, 2246]",-553,0.68746126
11,"(769, 770)",6,"[2345, 2348]",-451,0.8241200000000001
12,"(806, 806)",3,"[2456, 2456]",-343,0.5113249
13,"(833, 833)",3,"[2537, 2537]",-262,0.52848744
14,"(876, 876)",3,"[2666, 2666]",-133,0.7331691999999999
15,"(901, 901)",3,"[2741, 2741]",-58,0.6024929
16,"(1066, 1066)",3,"[3236, 3236]",437,0.5104082
17,"(1084, 1084)",3,"[3290, 3290]",-443,0.55619705
18,"(1086, 1086)",3,"[3296, 3296]",-437,0.5268366999999999
19,"(1198, 1200)",9,"[3632, 3638]",-95,0.87314874
20,"(1211, 1212)",6,"[3671, 3674]",-59,0.9064877
21,"(1222, 1222)",3,"[3704, 3704]",-29,0.5730618000000001
22,"(1287, 1287)",3,"[3899, 3899]",166,0.5851857
23,"(1290, 1291)",6,"[3908, 3911]",175,0.8763046999999998
24,"(1306, 1307)",6,"[3956, 3959]",223,0.6733891
25,"(1441, 1441)",3,"[4361, 4361]",628,0.9485530999999999
26,"(1451, 1452)",6,"[4391, 4394]",-626,0.60148424
27,"(1583, 1583)",3,"[4787, 4787]",-233,0.7154457
28,"(1635, 1635)",3,"[4943, 4943]",-77,0.69262177
29,"(1647, 1649)",9,"[4979, 4985]",-35,0.74677134
30,"(1667, 1669)",9,"[5039, 5045]",19,0.88928497
31,"(1675, 1675)",3,"[5063, 5063]",43,0.8735025
32,"(1708, 1709)",6,"[5162, 5165]",142,0.9664944999999999
33,"(1738, 1738)",3,"[5252, 5252]",232,0.7031485
34,"(1913, 1913)",3,"[5777, 5777]",94,0.82783186
35,"(1926, 1926)",3,"[5816, 5816]",133,0.6926134
36,"(1928, 1928)",3,"[5822, 5822]",139,0.95593
37,"(1985, 1985)",3,"[5993, 5993]",310,0.63394666
38,"(2118, 2118)",3,"[6392, 6392]",-137,0.50562024
39,"(2257, 2257)",3,"[6809, 6809]",280,0.7307673000000001
40,"(2291, 2291)",3,"[6911, 6911]",382,0.8160857
41,"(2412, 2412)",3,"[7274, 7274]",745,0.5912388000000001
42,"(2474, 2475)",6,"[7460, 7463]",931,0.8560817
