# Supplementary Table 3. Transcription units (TU) defined by SEnd-seq. TUs were defined based on E. coli genome NC_000913.3 and the TSS and TTS detected in this work. The genes covered by each TU are listed.,,,,,
start,stop,strand,length,genes_number,genes_names
147,308,+,162,1,thrL
147,5076,+,4930,4,thrC:thrB:thrA:thrL
301,5076,+,4776,3,thrB:thrC:thrA
2580,5076,+,2497,3,thrA:thrB:thrC
3749,5076,+,1328,1,thrC
4208,5076,+,869,1,thrC
8190,9229,+,1040,1,talB
8190,9921,+,1732,2,talB:mog
9276,9921,+,646,1,mog
9891,10375,-,485,1,satP
9891,10476,-,586,1,satP
9891,10564,-,674,1,satP
12047,14142,+,2096,1,dnaK
16149,16611,-,463,0,none
16149,17053,-,905,2,mokC:hokC
17309,18696,+,1388,1,nhaA
17453,18696,+,1244,1,nhaA
17980,18696,+,717,1,nhaA
18021,18696,+,676,1,nhaA
20764,21117,-,354,1,rpsT
20764,21207,-,444,1,rpsT
21382,27282,+,5901,6,lspA:yaaY:fkpB:ileS:ispH:ribF
21833,27282,+,5450,5,fkpB:lspA:ribF:ispH:ileS
25013,27282,+,2270,4,fkpB:lspA:ispH:ileS
27262,28256,+,995,1,rihC
27262,29276,+,2015,2,rihC:dapB
28286,29276,+,991,1,dapB
28342,29276,+,935,1,dapB
29550,34117,+,4568,2,carA:carB
34171,34830,+,660,1,caiF
34193,34830,+,638,1,caiF
34235,34830,+,596,1,caiF
47214,49729,+,2516,2,kefC:kefF
50322,52034,-,1713,3,apaG:apaH:rsmA
50322,52587,-,2266,4,apaH:apaG:rsmA:pdxA
50322,53089,-,2768,4,pdxA:rsmA:apaG:apaH
53259,55358,-,2100,3,surA:pdxA:lptD
53259,57156,-,3898,3,surA:pdxA:lptD
57201,58242,+,1042,1,djlA
53259,57241,-,3983,3,pdxA:surA:lptD
57258,58242,+,985,1,djlA
59610,60595,-,986,2,rapA:rluA
59610,63356,-,3747,2,rapA:rluA
66965,67410,+,446,0,none
67348,67777,-,430,1,araA
77366,77593,+,228,2,sgrS:sgrT
78815,79156,-,342,1,leuD
78815,79676,-,862,2,leuC:leuD
83571,83735,-,165,1,leuL
84303,85362,+,1060,1,leuO
87968,89080,+,1113,1,cra
102744,107551,+,4808,5,ftsA:ftsZ:lpxC:ddlB:ftsQ
104635,107551,+,2917,3,lpxC:ftsZ:ftsA
104692,107551,+,2860,3,ftsA:ftsZ:lpxC
106507,107551,+,1045,1,lpxC
106507,111030,+,4524,3,secA:secM:lpxC
106529,107551,+,1023,1,lpxC
106529,111030,+,4502,3,secA:lpxC:secM
107667,111030,+,3364,2,secM:secA
111471,111828,-,358,1,yacG
111471,112688,-,1218,3,zapD:yacG:coaE
111471,113322,-,1852,3,coaE:yacG:zapD
113396,114526,+,1131,1,guaC
118525,120173,+,1649,2,ampE:ampD
117709,118679,-,971,1,nadC
118702,120173,+,1472,2,ampD:ampE
120138,121676,-,1539,1,aroP
120138,121916,-,1779,1,aroP
122024,122940,+,917,1,pdhR
122024,123792,+,1769,2,aceE:pdhR
122032,122940,+,909,1,pdhR
122032,123792,+,1761,2,aceE:pdhR
126731,129396,+,2666,2,lpd:aceF
127636,129396,+,1761,1,lpd
127717,129396,+,1680,1,lpd
130198,134278,+,4081,1,acnB
131519,134278,+,2760,1,acnB
131519,134786,+,3268,2,yacL:acnB
134338,134786,+,449,1,yacL
134752,136504,-,1753,2,speD:speE
134752,136550,-,1799,2,speE:speD
134752,136940,-,2189,3,speD:speE:yacC
137001,138678,+,1678,1,cueO
137042,138678,+,1637,1,cueO
138648,141263,-,2616,1,gcd
141359,142003,+,645,1,hpt
141972,142703,-,732,1,can
141972,142767,-,796,1,can
146275,146754,-,480,1,panD
147394,147943,+,550,1,yadD
147582,147943,+,362,1,yadD
147904,148854,-,951,2,panB:panC
147904,149630,-,1727,2,panB:panC
159610,160125,+,516,0,none
160096,160657,-,562,2,gluQ:dksA
160096,161078,-,983,3,gluQ:sfsA:dksA
160096,161142,-,1047,3,gluQ:dksA:sfsA
160096,161377,-,1282,3,gluQ:sfsA:dksA
160096,162053,-,1958,4,gluQ:ligT:dksA:sfsA
162076,167309,+,5234,2,mrcB:hrpB
164234,167309,+,3076,2,hrpB:mrcB
166522,167309,+,788,1,mrcB
167427,169764,+,2338,1,fhuA
169123,169764,+,642,1,fhuA
169214,169764,+,551,1,fhuA
173427,174919,-,1493,1,hemL
174932,176994,+,2063,2,clcA:erpA
173427,174992,-,1566,1,hemL
175011,176994,+,1984,2,erpA:clcA
175919,176994,+,1076,2,erpA:clcA
176413,176994,+,582,2,erpA:clcA
176560,176994,+,435,1,erpA
178420,179181,-,762,2,mtn:btuF
179197,182347,+,3151,2,degP:dgt
180836,182347,+,1512,1,degP
183648,184193,-,546,1,yaeH
183648,184226,-,579,1,yaeH
185086,185976,-,891,1,dapD
183648,185976,-,2329,3,yaeH:yaeI:dapD
185086,186064,-,979,2,glnD:dapD
189549,190799,+,1251,2,rpsB:tff
189549,191745,+,2197,3,rpsB:tsf:tff
188683,189553,-,871,1,map
189639,190799,+,1161,2,rpsB:tff
189639,191745,+,2107,3,tsf:rpsB:tff
189712,190799,+,1088,2,rpsB:tff
189712,191745,+,2034,3,tff:rpsB:tsf
189712,193489,+,3778,5,rpsB:tsf:pyrH:tff:frr
188683,189843,-,1161,1,map
191811,193489,+,1679,2,frr:pyrH
192616,193489,+,874,1,frr
192813,193489,+,677,1,frr
194783,202063,+,7281,6,cdsA:rseP:skp:bamA:lpxD:ispU
196158,202063,+,5906,5,bamA:lpxD:rseP:cdsA:skp
197025,202063,+,5039,4,bamA:lpxD:rseP:skp
197298,202063,+,4766,4,lpxD:bamA:skp:rseP
200398,202063,+,1666,2,lpxD:skp
200398,203408,+,3011,5,lpxB:lpxD:lpxA:skp:fabZ
201483,203408,+,1926,4,fabZ:lpxB:lpxD:lpxA
202072,203408,+,1337,3,lpxB:lpxA:fabZ
206438,209625,+,3188,2,dnaE:accA
207425,209625,+,2201,2,dnaE:accA
207633,209625,+,1993,2,accA:dnaE
208275,209625,+,1351,2,accA:dnaE
208325,209625,+,1301,2,dnaE:accA
208411,209625,+,1215,2,dnaE:accA
213630,214163,-,534,2,rof:yaeP
213630,214197,-,568,2,yaeP:rof
214268,216093,+,1826,3,yaeQ:arfB:nlpE
214620,216093,+,1474,3,yaeQ:nlpE:arfB
214988,216093,+,1106,2,nlpE:arfB
217019,217674,-,656,1,proS
217019,218837,-,1819,1,proS
217019,218989,-,1971,2,tsaA:proS
217019,220022,-,3004,3,tsaA:rcsF:proS
217019,220072,-,3054,3,tsaA:proS:rcsF
217019,221008,-,3990,5,rcsF:metQ:proS:tsaA:metI
220051,221008,-,958,2,metI:metQ
217019,221368,-,4350,5,metI:tsaA:proS:metQ:rcsF
220051,221368,-,1318,2,metQ:metI
217019,222714,-,5696,6,tsaA:metN:metI:rcsF:proS:metQ
220051,222714,-,2664,3,metI:metN:metQ
222805,225345,+,2541,2,gmhB:rrsH
223484,225345,+,1862,1,rrsH
223769,225345,+,1577,1,rrsH
223769,229043,+,5275,6,rrfH:alaV:rrlH:ileV:aspU:rrsH
225605,229043,+,3439,3,rrlH:rrfH:aspU
225605,230004,+,4400,4,dkgB:aspU:rrfH:rrlH
225758,229043,+,3286,3,aspU:rrlH:rrfH
225758,230004,+,4247,4,aspU:dkgB:rrlH:rrfH
225758,232585,+,6828,6,rrfH:rrlH:yafD:aspU:dkgB:yafE
229133,230004,+,872,1,dkgB
229133,232585,+,3453,3,yafD:dkgB:yafE
229895,230921,-,1027,1,yafC
231038,232585,+,1548,2,yafE:yafD
231061,232585,+,1525,2,yafD:yafE
229895,231573,-,1679,1,yafC
229895,233982,-,4088,2,mltD:yafC
232550,233982,-,1433,1,mltD
229895,234201,-,4307,3,yafC:gloB:mltD
232550,234201,-,1652,2,mltD:gloB
229895,234947,-,5053,3,mltD:gloB:yafC
232550,234947,-,2398,2,gloB:mltD
235936,237068,+,1133,2,dnaQ:aspV
236020,237068,+,1049,2,aspV:dnaQ
229895,236040,-,6146,4,yafC:rnhA:gloB:mltD
232550,236040,-,3491,3,mltD:gloB:rnhA
235486,236040,-,555,1,rnhA
229895,236578,-,6684,4,gloB:mltD:yafC:rnhA
232550,236578,-,4029,3,gloB:mltD:rnhA
235486,236578,-,1093,1,rnhA
239352,240216,-,865,1,yafV
240280,240855,+,576,1,ivy
240300,240855,+,556,1,ivy
240318,240855,+,538,1,ivy
240333,240855,+,523,1,ivy
240826,241793,-,968,1,fadE
240826,241946,-,1121,1,fadE
240826,243277,-,2452,1,fadE
239352,243347,-,3996,2,yafV:fadE
240826,243347,-,2522,1,fadE
240826,243365,-,2540,1,fadE
240826,245884,-,5059,2,yafK:fadE
246130,246532,-,403,2,dinJ:yafQ
240826,246532,-,5707,4,yafK:yafQ:dinJ:fadE
240826,246854,-,6029,4,fadE:dinJ:yafQ:yafK
246130,246854,-,725,2,dinJ:yafQ
247622,248340,+,719,1,rayT
247989,248340,+,352,1,rayT
254209,255807,-,1599,1,pepD
255824,256470,+,647,1,gpt
255917,256470,+,554,1,gpt
255917,259041,+,3125,2,gpt:frsA
256501,259041,+,2541,1,frsA
257792,259041,+,1250,0,none
257809,259041,+,1233,0,none
260236,262823,+,2588,2,proA:proB
260348,262823,+,2476,2,proA:proB
261443,262823,+,1381,2,proA:proB
264248,265598,+,1351,0,none
264807,265598,+,792,0,none
265562,266071,-,510,1,ykfB
265562,266223,-,662,2,ykfB:yafY
265562,266763,-,1202,2,yafY:ykfB
282221,285220,+,3000,2,yagE:yagF
284538,285220,+,683,1,yagF
291526,292317,+,792,0,none
291887,292317,+,431,0,none
292285,292945,-,661,1,yagK
302958,303649,+,692,1,yagU
312285,312803,-,519,2,ykgO:ykgM
318633,320033,-,1401,1,rclA
321483,324603,+,3121,3,ykgE:ykgG:ykgF
323772,324603,+,832,1,ykgG
323941,324603,+,663,1,ykgG
325477,329361,-,3885,3,betB:betA:betI
329420,331542,+,2123,1,betT
331097,331542,+,446,1,betT
332042,333521,+,1480,1,yahA
341181,342572,+,1392,1,yahJ
342817,344012,+,1196,1,yahK
345511,346327,-,817,1,yahN
346431,346857,+,427,1,yahO
356004,357596,+,1593,2,codA:codB
374882,377525,+,2644,2,yaiL:mhpT
375613,377525,+,1913,2,mhpT:yaiL
376141,377525,+,1385,2,mhpT:yaiL
376741,377525,+,785,1,yaiL
378387,379900,-,1514,2,frmA:frmR
380034,380445,-,412,1,yaiO
380034,380584,-,551,1,yaiO
380034,380834,-,801,1,yaiO
388690,389754,-,1065,1,hemB
388690,389779,-,1090,1,hemB
392773,394490,+,1718,0,none
393223,394490,+,1268,0,none
393703,394490,+,788,0,none
395081,396320,-,1240,1,ampH
395081,396363,-,1283,1,ampH
396380,399050,+,2671,2,sbmA:yaiW
395081,396433,-,1353,1,ampH
396554,399050,+,2497,2,yaiW:sbmA
397837,399050,+,1214,2,sbmA:yaiW
399789,400951,-,1163,1,ddlA
399789,400993,-,1205,1,ddlA
401318,401848,+,531,2,iraP:phoA
401362,401848,+,487,2,iraP:phoA
403230,403649,+,420,1,psiF
404780,405686,-,907,1,proC
405741,407206,+,1466,3,aroL:yaiA:yaiI
405741,408495,+,2755,5,aroL:yaiE:aroM:yaiA:yaiI
405741,409093,+,3353,5,yaiA:yaiI:aroL:yaiE:aroM
406277,407206,+,930,2,aroL:yaiA
406277,408495,+,2219,4,aroL:yaiE:aroM:yaiA
406277,409093,+,2817,4,yaiA:aroM:aroL:yaiE
406353,407206,+,854,2,yaiA:aroL
406353,408495,+,2143,4,yaiA:aroL:yaiE:aroM
406353,409093,+,2741,4,yaiE:aroL:aroM:yaiA
406953,407206,+,254,1,yaiA
406953,408495,+,1543,3,aroM:yaiE:yaiA
406953,409093,+,2141,3,aroM:yaiE:yaiA
407278,408495,+,1218,2,aroM:yaiE
407344,408495,+,1152,2,yaiE:aroM
407344,409093,+,1750,2,aroM:yaiE
