,index_range,frame_len,nt_ref,dist_CDS,prediction
0,"(83, 87)",15,"[287, 299]",32,1.0
1,"(131, 131)",3,"[431, 431]",176,0.859225
2,"(182, 182)",3,"[584, 584]",329,0.63261783
3,"(222, 222)",3,"[704, 704]",449,0.8478150999999999
4,"(338, 338)",3,"[1052, 1052]",797,0.76228803
5,"(340, 340)",3,"[1058, 1058]",803,0.889107
6,"(354, 354)",3,"[1100, 1100]",845,0.65313625
7,"(430, 430)",3,"[1328, 1328]",1073,0.6050257
8,"(432, 432)",3,"[1334, 1334]",1079,0.95310926
9,"(498, 498)",3,"[1532, 1532]",-1267,0.5174906
10,"(549, 549)",3,"[1685, 1685]",-1114,0.9191312
11,"(708, 708)",3,"[2162, 2162]",-637,0.5761508000000001
12,"(731, 731)",3,"[2231, 2231]",-568,0.66876274
13,"(736, 736)",3,"[2246, 2246]",-553,0.52427834
14,"(766, 766)",3,"[2336, 2336]",-463,0.87188065
15,"(770, 771)",6,"[2348, 2351]",-448,0.98816395
16,"(809, 810)",6,"[2465, 2468]",-331,0.5340299
17,"(876, 876)",3,"[2666, 2666]",-133,0.9880344000000001
18,"(889, 889)",3,"[2705, 2705]",-94,0.81354254
19,"(900, 900)",3,"[2738, 2738]",-61,0.59349495
20,"(903, 903)",3,"[2747, 2747]",-52,0.8474943000000001
21,"(1014, 1014)",3,"[3080, 3080]",281,0.6260785
22,"(1066, 1066)",3,"[3236, 3236]",437,0.88587683
23,"(1085, 1086)",6,"[3293, 3296]",-437,0.8187371999999999
24,"(1180, 1180)",3,"[3578, 3578]",-155,0.9052348
25,"(1199, 1199)",3,"[3635, 3635]",-98,0.79163694
26,"(1210, 1212)",9,"[3668, 3674]",-59,0.9967488000000001
27,"(1256, 1256)",3,"[3806, 3806]",73,0.6749159
28,"(1258, 1258)",3,"[3812, 3812]",79,0.9229883
29,"(1291, 1291)",3,"[3911, 3911]",178,0.87556636
30,"(1306, 1307)",6,"[3956, 3959]",223,0.93551767
31,"(1321, 1321)",3,"[4001, 4001]",268,0.7391206
32,"(1368, 1368)",3,"[4142, 4142]",409,0.6538135
33,"(1414, 1414)",3,"[4280, 4280]",547,0.61428416
34,"(1423, 1423)",3,"[4307, 4307]",574,0.644048
35,"(1441, 1441)",3,"[4361, 4361]",628,0.5871998
36,"(1635, 1635)",3,"[4943, 4943]",-77,0.97472554
37,"(1649, 1649)",3,"[4985, 4985]",-35,0.7137959
38,"(1667, 1670)",12,"[5039, 5048]",19,0.99939203
39,"(1672, 1674)",9,"[5054, 5060]",34,0.97165596
40,"(1708, 1709)",6,"[5162, 5165]",142,0.7144789
41,"(1735, 1735)",3,"[5243, 5243]",223,0.98162764
42,"(1873, 1873)",3,"[5657, 5657]",20,0.5532991999999999
43,"(1894, 1894)",3,"[5720, 5720]",37,0.54377854
44,"(1913, 1913)",3,"[5777, 5777]",94,0.5963261999999999
45,"(1928, 1928)",3,"[5822, 5822]",139,0.9995944
46,"(1932, 1933)",6,"[5834, 5837]",151,0.8159967
47,"(1981, 1981)",3,"[5981, 5981]",298,0.5027261
48,"(2081, 2082)",6,"[6281, 6284]",-245,0.9078367
49,"(2119, 2119)",3,"[6395, 6395]",-134,0.7770977
50,"(2193, 2193)",3,"[6617, 6617]",88,0.5805031
51,"(2257, 2257)",3,"[6809, 6809]",280,0.77663773
52,"(2587, 2589)",9,"[7799, 7805]",1270,0.8453226999999999
53,"(2641, 2641)",3,"[7961, 7961]",-1230,0.8055647
54,"(2651, 2651)",3,"[7991, 7991]",-1200,0.5471301
55,"(2675, 2676)",6,"[8063, 8066]",-1125,0.7239449
56,"(2737, 2737)",3,"[8249, 8249]",-942,0.8997174000000001
57,"(2857, 2857)",3,"[8609, 8609]",-582,0.76753175
58,"(2870, 2870)",3,"[8648, 8648]",-543,0.71676403
59,"(2885, 2888)",12,"[8693, 8702]",-489,0.9895639
60,"(2899, 2901)",9,"[8735, 8741]",-450,0.9819749
61,"(2907, 2907)",3,"[8759, 8759]",-432,0.5749326
62,"(2931, 2934)",12,"[8831, 8840]",-351,0.9992269
63,"(3060, 3060)",3,"[9218, 9218]",27,0.6064689
64,"(3091, 3091)",3,"[9311, 9311]",120,0.8539631
65,"(3191, 3191)",3,"[9611, 9611]",-282,0.75560534
66,"(3194, 3195)",6,"[9620, 9623]",-270,0.8355005999999999
67,"(3206, 3207)",6,"[9656, 9659]",-234,0.88426477
68,"(3212, 3212)",3,"[9674, 9674]",-219,0.85313165
69,"(3291, 3291)",3,"[9911, 9911]",-17,0.85350245
70,"(3309, 3309)",3,"[9965, 9965]",37,0.55257916
71,"(3421, 3424)",12,"[10301, 10310]",-333,0.9988657
72,"(3606, 3606)",3,"[10856, 10856]",213,0.96918887
73,"(3609, 3610)",6,"[10865, 10868]",222,0.89825976
74,"(3635, 3637)",9,"[10943, 10949]",300,0.8563155000000001
75,"(3693, 3693)",3,"[11117, 11117]",-198,0.59458303
76,"(3717, 3717)",3,"[11189, 11189]",-126,0.75781596
77,"(3732, 3733)",6,"[11234, 11237]",-78,0.88674325
78,"(3735, 3735)",3,"[11243, 11243]",-72,0.96812004
79,"(3766, 3766)",3,"[11336, 11336]",21,0.80177206
80,"(3769, 3771)",9,"[11345, 11351]",30,0.9390519
81,"(3805, 3805)",3,"[11453, 11453]",71,0.6440244
82,"(3823, 3824)",6,"[11507, 11510]",125,0.98817086
83,"(3839, 3839)",3,"[11555, 11555]",173,0.6932255999999999
84,"(3937, 3937)",3,"[11849, 11849]",467,0.8179814000000001
85,"(3939, 3944)",18,"[11855, 11870]",473,0.9998611
86,"(3997, 3997)",3,"[12029, 12029]",647,0.65972006
87,"(4050, 4050)",3,"[12188, 12188]",806,0.7840099
88,"(4072, 4074)",9,"[12254, 12260]",872,0.9880679
89,"(4127, 4127)",3,"[12419, 12419]",1037,0.68397737
90,"(4155, 4155)",3,"[12503, 12503]",1121,0.75700086
91,"(4216, 4216)",3,"[12686, 12686]",1304,0.8323523000000002
92,"(4235, 4235)",3,"[12743, 12743]",-1336,0.8251934999999999
93,"(4368, 4368)",3,"[13142, 13142]",-937,0.7631760999999999
94,"(4418, 4418)",3,"[13292, 13292]",-787,0.8010326
95,"(4508, 4508)",3,"[13562, 13562]",-517,0.8185409
96,"(4542, 4543)",6,"[13664, 13667]",-412,0.84891206
97,"(4696, 4697)",6,"[14126, 14129]",47,0.85013825
98,"(4797, 4798)",6,"[14429, 14432]",350,0.5996205
99,"(4949, 4949)",3,"[14885, 14885]",-413,0.5423511
100,"(5070, 5071)",6,"[15248, 15251]",-47,0.9851856999999999
101,"(5116, 5116)",3,"[15386, 15386]",88,0.75742686
102,"(5122, 5122)",3,"[15404, 15404]",106,0.9483488000000001
103,"(5167, 5167)",3,"[15539, 15539]",241,0.574922
104,"(5185, 5185)",3,"[15593, 15593]",295,0.7634781999999999
105,"(5214, 5214)",3,"[15680, 15680]",382,0.83668476
106,"(5346, 5346)",3,"[16076, 16076]",-481,0.99437284
107,"(5376, 5377)",6,"[16166, 16169]",-388,0.9995159
108,"(5471, 5471)",3,"[16451, 16451]",-106,0.81758255
109,"(5477, 5477)",3,"[16469, 16469]",-88,0.64060026
110,"(5565, 5565)",3,"[16733, 16733]",2,0.6865241999999999
111,"(5585, 5585)",3,"[16793, 16793]",42,0.9474691999999999
112,"(5590, 5590)",3,"[16808, 16808]",57,0.6668754
113,"(5604, 5604)",3,"[16850, 16850]",99,0.9230918
114,"(5614, 5616)",9,"[16880, 16886]",-120,0.9891788
115,"(5671, 5672)",6,"[17051, 17054]",45,0.8769200999999999
116,"(5695, 5697)",9,"[17123, 17129]",117,0.9987997
117,"(5717, 5718)",6,"[17189, 17192]",183,0.8552064
118,"(5829, 5830)",6,"[17525, 17528]",519,0.8063509
119,"(5880, 5880)",3,"[17678, 17678]",672,0.9648626
120,"(5884, 5886)",9,"[17690, 17696]",684,0.9901923
121,"(5908, 5908)",3,"[17762, 17762]",756,0.81000805
122,"(5943, 5943)",3,"[17867, 17867]",-788,0.7234067
123,"(5945, 5945)",3,"[17873, 17873]",-782,0.7053089
124,"(6019, 6019)",3,"[18095, 18095]",-560,0.9844446
125,"(6021, 6021)",3,"[18101, 18101]",-554,0.8624223
126,"(6023, 6023)",3,"[18107, 18107]",-548,0.7828088000000001
127,"(6042, 6042)",3,"[18164, 18164]",-491,0.52268296
128,"(6046, 6049)",12,"[18176, 18185]",-470,0.9522758
129,"(6121, 6121)",3,"[18401, 18401]",-254,0.9219704
130,"(6153, 6153)",3,"[18497, 18497]",-158,0.83839446
131,"(6179, 6179)",3,"[18575, 18575]",-80,0.95340174
132,"(6212, 6214)",9,"[18674, 18680]",19,0.9932226000000001
133,"(6225, 6225)",3,"[18713, 18713]",58,0.57053524
134,"(6251, 6252)",6,"[18791, 18794]",136,0.95315
135,"(6314, 6314)",3,"[18980, 18980]",325,0.89313453
136,"(6349, 6349)",3,"[19085, 19085]",430,0.861773
137,"(6412, 6412)",3,"[19274, 19274]",-346,0.6047509
138,"(6415, 6415)",3,"[19283, 19283]",-337,0.8919362
139,"(6427, 6427)",3,"[19319, 19319]",-301,0.6430564000000001
140,"(6510, 6510)",3,"[19568, 19568]",-52,0.5561431
141,"(6533, 6533)",3,"[19637, 19637]",17,0.9786485999999999
142,"(6589, 6589)",3,"[19805, 19805]",-6,0.9236363999999999
143,"(6592, 6593)",6,"[19814, 19817]",3,0.9655659
144,"(6729, 6729)",3,"[20225, 20225]",-8,0.8131644
145,"(6731, 6734)",12,"[20231, 20240]",1,0.96610785
146,"(6797, 6799)",9,"[20429, 20435]",196,0.92854065
147,"(6886, 6886)",3,"[20696, 20696]",-119,0.9318257999999999
148,"(6915, 6915)",3,"[20783, 20783]",-32,0.5980805
149,"(6918, 6918)",3,"[20792, 20792]",-23,0.71294445
150,"(6938, 6938)",3,"[20852, 20852]",37,0.8529139000000001
151,"(6940, 6941)",6,"[20858, 20861]",43,0.96428627
152,"(6956, 6956)",3,"[20906, 20906]",91,0.65092564
153,"(6989, 6989)",3,"[21005, 21005]",190,0.9434834999999999
154,"(7030, 7033)",12,"[21128, 21137]",-262,0.9872154000000001
155,"(7049, 7049)",3,"[21185, 21185]",-214,0.84666973
156,"(7060, 7060)",3,"[21218, 21218]",-181,0.50348216
157,"(7079, 7080)",6,"[21275, 21278]",-121,0.8724896999999999
158,"(7089, 7090)",6,"[21305, 21308]",-91,0.7378415
159,"(7111, 7111)",3,"[21371, 21371]",-28,0.63251615
160,"(7137, 7138)",6,"[21449, 21452]",50,0.99121195
161,"(7170, 7171)",6,"[21548, 21551]",149,0.8667438000000001
162,"(7173, 7173)",3,"[21557, 21557]",158,0.8161514
163,"(7254, 7257)",12,"[21800, 21809]",401,0.9898341
164,"(7286, 7286)",3,"[21896, 21896]",-452,0.6049905
165,"(7293, 7293)",3,"[21917, 21917]",-431,0.621514
166,"(7375, 7377)",9,"[22163, 22169]",-179,0.8623784999999999
167,"(7423, 7423)",3,"[22307, 22307]",-41,0.6624802
168,"(7505, 7505)",3,"[22553, 22553]",205,0.67622125
169,"(7509, 7509)",3,"[22565, 22565]",217,0.66803575
170,"(7747, 7747)",3,"[23279, 23279]",931,0.69766605
171,"(7788, 7788)",3,"[23402, 23402]",1054,0.57895046
172,"(7853, 7853)",3,"[23597, 23597]",1249,0.8295949
173,"(7920, 7920)",3,"[23798, 23798]",-1409,0.8757919
174,"(8014, 8014)",3,"[24080, 24080]",-1127,0.8439392
175,"(8018, 8018)",3,"[24092, 24092]",-1115,0.7852304
176,"(8045, 8045)",3,"[24173, 24173]",-1034,0.6363897
177,"(8212, 8212)",3,"[24674, 24674]",-533,0.51820254
178,"(8222, 8222)",3,"[24704, 24704]",-503,0.88742113
179,"(8428, 8428)",3,"[25322, 25322]",115,0.7314221
180,"(8442, 8443)",6,"[25364, 25367]",157,0.9143184999999999
181,"(8455, 8455)",3,"[25403, 25403]",196,0.75074613
182,"(8533, 8533)",3,"[25637, 25637]",-64,0.56168425
183,"(8538, 8538)",3,"[25652, 25652]",-49,0.6266258000000001
184,"(8540, 8540)",3,"[25658, 25658]",-43,0.9113245999999999
185,"(8542, 8542)",3,"[25664, 25664]",-37,0.7693228
186,"(8560, 8560)",3,"[25718, 25718]",17,0.59660256
187,"(8632, 8634)",9,"[25934, 25940]",171,0.9960129000000001
188,"(8663, 8663)",3,"[26027, 26027]",-248,0.55320305
189,"(8725, 8728)",12,"[26213, 26222]",-53,0.99865603
190,"(8750, 8750)",3,"[26288, 26288]",13,0.70913893
191,"(8753, 8754)",6,"[26297, 26300]",22,0.8271915999999999
192,"(8774, 8774)",3,"[26360, 26360]",85,0.9459613000000001
193,"(8811, 8812)",6,"[26471, 26474]",196,0.9849486
194,"(8823, 8823)",3,"[26507, 26507]",232,0.5723921999999999
195,"(8854, 8856)",9,"[26600, 26606]",325,0.98423463
196,"(8957, 8957)",3,"[26909, 26909]",-318,0.6363879
197,"(8983, 8984)",6,"[26987, 26990]",-237,0.8831471
198,"(9012, 9012)",3,"[27074, 27074]",-153,0.83281046
199,"(9076, 9078)",9,"[27266, 27272]",39,0.9994848
200,"(9103, 9103)",3,"[27347, 27347]",120,0.88840777
201,"(9128, 9128)",3,"[27422, 27422]",195,0.54291916
202,"(9134, 9134)",3,"[27440, 27440]",213,0.68763244
203,"(9183, 9183)",3,"[27587, 27587]",360,0.6556569
204,"(9185, 9186)",6,"[27593, 27596]",366,0.9674883
205,"(9254, 9254)",3,"[27800, 27800]",-407,0.6664296
