,index_range,frame_len,nt_ref,dist_CDS,prediction
0,"(7, 9)",9,"[59, 65]",-190,0.76861197
1,"(82, 85)",12,"[284, 293]",29,0.9994915999999999
2,"(131, 132)",6,"[431, 434]",176,0.6137729999999999
3,"(145, 145)",3,"[473, 473]",218,0.67006
4,"(158, 158)",3,"[512, 512]",257,0.70140433
5,"(301, 301)",3,"[941, 941]",686,0.5332054
6,"(387, 387)",3,"[1199, 1199]",944,0.5389009
7,"(430, 430)",3,"[1328, 1328]",1073,0.53231424
8,"(548, 549)",6,"[1682, 1685]",-1114,0.81373227
9,"(598, 598)",3,"[1832, 1832]",-967,0.67271477
10,"(681, 683)",9,"[2081, 2087]",-712,0.9323336
11,"(722, 722)",3,"[2204, 2204]",-595,0.5458192
12,"(874, 875)",6,"[2660, 2663]",-136,0.8951200999999999
13,"(1082, 1084)",9,"[3284, 3290]",-443,0.8592860999999999
14,"(1198, 1198)",3,"[3632, 3632]",-101,0.7281451999999999
15,"(1307, 1307)",3,"[3959, 3959]",226,0.53525454
16,"(1403, 1403)",3,"[4247, 4247]",514,0.5057403
17,"(1580, 1581)",6,"[4778, 4781]",-239,0.6076446
18,"(1633, 1634)",6,"[4937, 4940]",-80,0.77317023
19,"(1737, 1738)",6,"[5249, 5252]",229,0.87601393
20,"(1925, 1927)",9,"[5813, 5819]",130,0.94989
21,"(2081, 2081)",3,"[6281, 6281]",-248,0.54432267
22,"(2139, 2139)",3,"[6455, 6455]",-74,0.50286096
23,"(2193, 2194)",6,"[6617, 6620]",88,0.5521522
24,"(2291, 2291)",3,"[6911, 6911]",382,0.5144568
25,"(2407, 2409)",9,"[7259, 7265]",730,0.8073535
26,"(2471, 2476)",18,"[7451, 7466]",922,0.9796050999999999
27,"(2586, 2587)",6,"[7796, 7799]",1267,0.77834696
28,"(2639, 2640)",6,"[7955, 7958]",-1233,0.8950471999999999
29,"(2885, 2885)",3,"[8693, 8693]",-498,0.88822734
30,"(2930, 2932)",9,"[8828, 8834]",-357,0.8938878
31,"(3047, 3049)",9,"[9179, 9185]",-6,0.7830670999999999
32,"(3288, 3292)",15,"[9902, 9914]",9,0.9957261999999999
33,"(3765, 3765)",3,"[11333, 11333]",18,0.7050218
34,"(3939, 3941)",9,"[11855, 11861]",473,0.9434104999999999
35,"(4017, 4019)",9,"[12089, 12095]",707,0.72307664
36,"(4154, 4154)",3,"[12500, 12500]",1118,0.5157484
37,"(4168, 4170)",9,"[12542, 12548]",1160,0.971203
38,"(4199, 4199)",3,"[12635, 12635]",1253,0.7243699
39,"(4214, 4214)",3,"[12680, 12680]",1298,0.6095944999999999
40,"(4216, 4216)",3,"[12686, 12686]",1304,0.5691795999999999
41,"(4315, 4316)",6,"[12983, 12986]",-1093,0.69267917
42,"(4508, 4508)",3,"[13562, 13562]",-517,0.61825967
43,"(4536, 4536)",3,"[13646, 13646]",-433,0.5153306
44,"(4682, 4684)",9,"[14084, 14090]",5,0.9391398000000001
45,"(5092, 5094)",9,"[15314, 15320]",16,0.78002363
46,"(5258, 5258)",3,"[15812, 15812]",514,0.52201754
47,"(5374, 5377)",12,"[16160, 16169]",-388,0.9971867
48,"(5398, 5398)",3,"[16232, 16232]",-325,0.6399729999999999
49,"(5400, 5400)",3,"[16238, 16238]",-319,0.8130696
50,"(5517, 5518)",6,"[16589, 16592]",32,0.72800475
51,"(5520, 5520)",3,"[16598, 16598]",41,0.5753316999999999
52,"(5583, 5583)",3,"[16787, 16787]",36,0.61824876
53,"(5613, 5614)",6,"[16877, 16880]",126,0.6583591999999999
54,"(5693, 5694)",6,"[17117, 17120]",111,0.9826130999999999
55,"(5732, 5733)",6,"[17234, 17237]",228,0.6453757
56,"(5773, 5773)",3,"[17357, 17357]",351,0.68488127
57,"(5819, 5823)",15,"[17495, 17507]",489,0.8989321
58,"(5879, 5879)",3,"[17675, 17675]",669,0.6615713000000001
59,"(5883, 5884)",6,"[17687, 17690]",681,0.6655765
60,"(6248, 6248)",3,"[18782, 18782]",127,0.8536809999999999
61,"(6250, 6251)",6,"[18788, 18791]",133,0.6433829000000001
62,"(6411, 6413)",9,"[19271, 19277]",-343,0.8883779
63,"(6447, 6447)",3,"[19379, 19379]",-241,0.5686929000000001
64,"(6449, 6449)",3,"[19385, 19385]",-235,0.5779014
65,"(6532, 6533)",6,"[19634, 19637]",14,0.67438436
66,"(6574, 6575)",6,"[19760, 19763]",-33,0.51265234
67,"(6587, 6587)",3,"[19799, 19799]",3,0.6604333
68,"(6852, 6852)",3,"[20594, 20594]",-221,0.51265204
69,"(6911, 6917)",21,"[20771, 20789]",-26,0.9567322
70,"(7029, 7029)",3,"[21125, 21125]",-274,0.9475843
71,"(7047, 7047)",3,"[21179, 21179]",-220,0.61341846
72,"(7078, 7078)",3,"[21272, 21272]",-127,0.58095825
73,"(7137, 7137)",3,"[21449, 21449]",50,0.75563216
74,"(7194, 7194)",3,"[21620, 21620]",221,0.5755140000000001
75,"(7267, 7267)",3,"[21839, 21839]",440,0.78834677
76,"(7406, 7406)",3,"[22256, 22256]",-92,0.538767
77,"(7502, 7504)",9,"[22544, 22550]",196,0.94407016
78,"(7618, 7618)",3,"[22892, 22892]",544,0.50383085
79,"(8555, 8561)",21,"[25703, 25721]",2,0.9928986999999999
80,"(8597, 8598)",6,"[25829, 25832]",66,0.5595551999999999
81,"(8855, 8856)",6,"[26603, 26606]",328,0.6520439
82,"(8908, 8909)",6,"[26762, 26765]",-462,0.73161435
83,"(8915, 8915)",3,"[26783, 26783]",-444,0.5410305000000001
84,"(9075, 9075)",3,"[27263, 27263]",36,0.8634752
85,"(9183, 9184)",6,"[27587, 27590]",360,0.64043266
86,"(9455, 9455)",3,"[28403, 28403]",196,0.5403716
87,"(9613, 9614)",6,"[28877, 28880]",-315,0.7483828
88,"(9724, 9724)",3,"[29210, 29210]",15,0.5162314
89,"(9732, 9732)",3,"[29234, 29234]",39,0.70260084
90,"(9740, 9740)",3,"[29258, 29258]",63,0.8952636999999999
91,"(9822, 9825)",12,"[29504, 29513]",309,0.95910364
92,"(9865, 9865)",3,"[29633, 29633]",438,0.5941484
93,"(10019, 10019)",3,"[30095, 30095]",-704,0.5574034000000001
94,"(10021, 10021)",3,"[30101, 30101]",-698,0.6472658
95,"(10037, 10037)",3,"[30149, 30149]",-650,0.6184321999999999
96,"(10060, 10064)",15,"[30218, 30230]",-569,0.979282
97,"(10271, 10273)",9,"[30851, 30857]",52,0.921301
98,"(10342, 10345)",12,"[31064, 31073]",265,0.8879712
99,"(10389, 10391)",9,"[31205, 31211]",406,0.8866537
100,"(10487, 10487)",3,"[31499, 31499]",700,0.8578754999999999
101,"(10489, 10489)",3,"[31505, 31505]",706,0.5138855
102,"(10951, 10953)",9,"[32891, 32897]",-1141,0.7116142
103,"(11046, 11048)",9,"[33176, 33182]",-856,0.7496480999999999
104,"(11104, 11104)",3,"[33350, 33350]",-688,0.60142803
105,"(11353, 11354)",6,"[34097, 34100]",59,0.98582745
106,"(11526, 11526)",3,"[34616, 34616]",-79,0.84345603
107,"(11614, 11615)",6,"[34880, 34883]",99,0.58131313
108,"(11929, 11929)",3,"[35825, 35825]",-446,0.6441278
109,"(11931, 11931)",3,"[35831, 35831]",-440,0.6525842
110,"(12056, 12056)",3,"[36206, 36206]",-65,0.6130118
111,"(12185, 12189)",15,"[36593, 36605]",322,0.9269671
112,"(12232, 12233)",6,"[36734, 36737]",463,0.79332167
113,"(12253, 12253)",3,"[36797, 36797]",526,0.61310434
114,"(12304, 12305)",6,"[36950, 36953]",679,0.8964707000000001
115,"(12308, 12308)",3,"[36962, 36962]",691,0.6729536
116,"(12407, 12409)",9,"[37259, 37265]",-633,0.59559935
117,"(12447, 12449)",9,"[37379, 37385]",-513,0.9280559000000002
118,"(12791, 12791)",3,"[38411, 38411]",513,0.56166613
119,"(13486, 13487)",6,"[40496, 40499]",79,0.5442116
120,"(13557, 13557)",3,"[40709, 40709]",292,0.5725174
121,"(13677, 13677)",3,"[41069, 41069]",652,0.6353814
122,"(13879, 13879)",3,"[41675, 41675]",1258,0.6213653
123,"(13952, 13953)",6,"[41894, 41897]",-1276,0.8341794
124,"(14046, 14050)",15,"[42176, 42188]",-985,0.9805714
125,"(14109, 14109)",3,"[42365, 42365]",-808,0.6987858
126,"(14325, 14326)",6,"[43013, 43016]",-157,0.85539585
127,"(14624, 14624)",3,"[43910, 43910]",-219,0.6481132
128,"(14670, 14673)",12,"[44048, 44057]",-72,0.974683
129,"(14946, 14948)",9,"[44876, 44882]",-584,0.99579155
130,"(15123, 15123)",3,"[45407, 45407]",-59,0.584316
131,"(15256, 15258)",9,"[45806, 45812]",56,0.9272803
132,"(15260, 15261)",6,"[45818, 45821]",68,0.5899587
133,"(15317, 15317)",3,"[45989, 45989]",239,0.60188663
134,"(15484, 15485)",6,"[46490, 46493]",-645,0.81339204
135,"(15539, 15539)",3,"[46655, 46655]",-483,0.50149065
136,"(15625, 15625)",3,"[46913, 46913]",-225,0.67690283
137,"(15660, 15660)",3,"[47018, 47018]",-120,0.73420465
138,"(15730, 15732)",9,"[47228, 47234]",90,0.9818839
139,"(15763, 15766)",12,"[47327, 47336]",189,0.69661695
140,"(15892, 15892)",3,"[47714, 47714]",-62,0.8347921
141,"(16236, 16236)",3,"[48746, 48746]",-885,0.7971453000000001
142,"(16311, 16312)",6,"[48971, 48974]",-657,0.6516090999999999
143,"(16388, 16389)",6,"[49202, 49205]",-426,0.6187382
144,"(16476, 16476)",3,"[49466, 49466]",-165,0.6753555
145,"(16536, 16536)",3,"[49646, 49646]",15,0.7526683000000001
146,"(16574, 16574)",3,"[49760, 49760]",129,0.5587465
147,"(16764, 16765)",6,"[50330, 50333]",28,0.6209177
148,"(16856, 16856)",3,"[50606, 50606]",226,0.5175478
149,"(16859, 16859)",3,"[50615, 50615]",235,0.6824108
150,"(16917, 16918)",6,"[50789, 50792]",409,0.7897010999999999
151,"(17056, 17056)",3,"[51206, 51206]",-23,0.5668245
152,"(17085, 17085)",3,"[51293, 51293]",64,0.55842793
153,"(17612, 17612)",3,"[52874, 52874]",447,0.5576263000000001
154,"(17777, 17777)",3,"[53369, 53369]",-47,0.50403804
155,"(17880, 17880)",3,"[53678, 53678]",262,0.5616861
156,"(18716, 18717)",6,"[56186, 56189]",1431,0.8165557
157,"(18743, 18743)",3,"[56267, 56267]",1512,0.6116973000000001
158,"(18803, 18803)",3,"[56447, 56447]",1692,0.7060664000000001
159,"(18820, 18820)",3,"[56498, 56498]",-1681,0.67236274
160,"(19179, 19179)",3,"[57575, 57575]",-604,0.7691775
161,"(19221, 19221)",3,"[57701, 57701]",-478,0.6041468000000001
162,"(19225, 19225)",3,"[57713, 57713]",-466,0.8202079
163,"(19343, 19343)",3,"[58067, 58067]",-112,0.5638707
164,"(19451, 19456)",18,"[58391, 58406]",212,0.9993749
165,"(19584, 19584)",3,"[58790, 58790]",-334,0.51371026
166,"(19657, 19657)",3,"[59009, 59009]",-115,0.6518010000000001
167,"(19713, 19714)",6,"[59177, 59180]",53,0.9612275
168,"(19719, 19719)",3,"[59195, 59195]",71,0.57056075
169,"(19754, 19754)",3,"[59300, 59300]",21,0.6542679
170,"(19812, 19812)",3,"[59474, 59474]",195,0.5457084
171,"(19861, 19864)",12,"[59621, 59630]",-57,0.9778585999999999
172,"(19884, 19884)",3,"[59690, 59690]",3,0.5681050999999999
173,"(20090, 20092)",9,"[60308, 60314]",-44,0.9330261000000001
174,"(20237, 20237)",3,"[60749, 60749]",391,0.5149256
175,"(20264, 20265)",6,"[60830, 60833]",472,0.69270885
176,"(20770, 20770)",3,"[62348, 62348]",-1081,0.54539526
177,"(20978, 20979)",6,"[62972, 62975]",-454,0.57840884
178,"(21048, 21050)",9,"[63182, 63188]",-241,0.6732227
179,"(21091, 21092)",6,"[63311, 63314]",-115,0.66682386
180,"(21134, 21135)",6,"[63440, 63443]",11,0.7635074000000001
181,"(21153, 21153)",3,"[63497, 63497]",68,0.59999055
182,"(21319, 21319)",3,"[63995, 63995]",566,0.5136724
183,"(21632, 21632)",3,"[64934, 64934]",-921,0.7233672
184,"(21634, 21634)",3,"[64940, 64940]",-915,0.5528274000000001
185,"(21765, 21765)",3,"[65333, 65333]",-522,0.5676366
186,"(21922, 21925)",12,"[65804, 65813]",-42,0.98636836
187,"(22008, 22008)",3,"[66062, 66062]",207,0.6346299
188,"(22068, 22068)",3,"[66242, 66242]",-352,0.5712404000000001
189,"(22137, 22138)",6,"[66449, 66452]",-142,0.53472877
190,"(22389, 22389)",3,"[67205, 67205]",370,0.5882653
191,"(22440, 22440)",3,"[67358, 67358]",523,0.52113533
192,"(23119, 23121)",9,"[69395, 69401]",1047,0.781605
193,"(23190, 23190)",3,"[69608, 69608]",1260,0.645001
194,"(23202, 23202)",3,"[69644, 69644]",1296,0.5699227
195,"(23358, 23359)",6,"[70112, 70115]",-1150,0.6898791
196,"(23455, 23455)",3,"[70403, 70403]",-862,0.51742345
197,"(23501, 23501)",3,"[70541, 70541]",-724,0.85085064
198,"(23512, 23514)",9,"[70574, 70580]",-685,0.67053515
199,"(23719, 23722)",12,"[71195, 71204]",-61,0.97106284
200,"(23868, 23869)",6,"[71642, 71645]",377,0.93032277
