start,stop,center,length,max_score
9902.0,9911.0,9907.0,10.0,0.99930155
10124.0,10124.0,10124.0,1.0,0.7629025
10514.0,10517.0,10516.0,4.0,0.77234584
10586.0,10586.0,10586.0,1.0,0.9304004
16160.0,16169.0,16165.0,10.0,0.99917716
16229.0,16232.0,16231.0,4.0,0.79739
16238.0,16238.0,16238.0,1.0,0.58188385
16286.0,16286.0,16286.0,1.0,0.68618953
16448.0,16448.0,16448.0,1.0,0.91239023
16652.0,16652.0,16652.0,1.0,0.7036109
16790.0,16796.0,16793.0,7.0,0.8878886
20771.0,20780.0,20776.0,10.0,0.998514
20786.0,20789.0,20788.0,4.0,0.9869811
21014.0,21014.0,21014.0,1.0,0.6683739
21122.0,21131.0,21127.0,10.0,0.9429034
21176.0,21176.0,21176.0,1.0,0.8546193
21182.0,21182.0,21182.0,1.0,0.9486548
50330.0,50336.0,50333.0,7.0,0.9084181
50489.0,50492.0,50491.0,4.0,0.9258151
50780.0,50780.0,50780.0,1.0,0.77997833
51107.0,51107.0,51107.0,1.0,0.74443287
51530.0,51530.0,51530.0,1.0,0.864564
53039.0,53039.0,53039.0,1.0,0.87589675
53327.0,53327.0,53327.0,1.0,0.76216435
53372.0,53372.0,53372.0,1.0,0.96220255
53921.0,53921.0,53921.0,1.0,0.58606285
55259.0,55259.0,55259.0,1.0,0.7285334
56264.0,56267.0,56266.0,4.0,0.98234653
56444.0,56444.0,56444.0,1.0,0.98699284
59621.0,59630.0,59626.0,10.0,0.9988104
59828.0,59828.0,59828.0,1.0,0.70468414
60311.0,60314.0,60313.0,4.0,0.9654876
61862.0,61862.0,61862.0,1.0,0.5286056
62063.0,62063.0,62063.0,1.0,0.5720248
62591.0,62591.0,62591.0,1.0,0.61216754
63182.0,63182.0,63182.0,1.0,0.536314
63308.0,63311.0,63310.0,4.0,0.90495235
63443.0,63443.0,63443.0,1.0,0.8328555
63494.0,63497.0,63496.0,4.0,0.6913258
67358.0,67358.0,67358.0,1.0,0.5030175
78827.0,78830.0,78829.0,4.0,0.9508044
79337.0,79337.0,79337.0,1.0,0.91016877
83426.0,83426.0,83426.0,1.0,0.9044347
83528.0,83528.0,83528.0,1.0,0.7266009
83582.0,83591.0,83587.0,10.0,0.99973375
83702.0,83705.0,83704.0,4.0,0.76839525
83792.0,83798.0,83795.0,7.0,0.99472034
83804.0,83804.0,83804.0,1.0,0.64988697
111347.0,111350.0,111349.0,4.0,0.98352605
