,index_range,frame_len,nt_ref,dist_CDS,prediction
0,"(8, 9)",6,"[62, 65]",-190,0.9223004000000001
1,"(65, 68)",12,"[233, 242]",-13,0.81965166
2,"(82, 85)",12,"[284, 293]",29,0.97467786
3,"(132, 134)",9,"[434, 440]",179,0.8926895
4,"(144, 146)",9,"[470, 476]",215,0.9099261000000001
5,"(203, 203)",3,"[647, 647]",392,0.70491034
6,"(682, 682)",3,"[2084, 2084]",-715,0.8369274999999999
7,"(874, 877)",12,"[2660, 2669]",-130,0.9522118
8,"(1012, 1012)",3,"[3074, 3074]",275,0.5346024
9,"(1084, 1085)",6,"[3290, 3293]",-440,0.7685595000000001
10,"(1198, 1198)",3,"[3632, 3632]",-101,0.68789464
11,"(1667, 1667)",3,"[5039, 5039]",19,0.6912278000000001
12,"(1671, 1671)",3,"[5051, 5051]",31,0.7180843000000001
13,"(1681, 1681)",3,"[5081, 5081]",61,0.73199314
14,"(1683, 1683)",3,"[5087, 5087]",67,0.5277469
15,"(1737, 1738)",6,"[5249, 5252]",229,0.8133712
16,"(1912, 1912)",3,"[5774, 5774]",91,0.70638055
17,"(1998, 1998)",3,"[6032, 6032]",349,0.6102449000000001
18,"(2004, 2004)",3,"[6050, 6050]",367,0.8085171
19,"(2064, 2064)",3,"[6230, 6230]",-299,0.7948359
20,"(2297, 2297)",3,"[6929, 6929]",400,0.53724885
21,"(2408, 2409)",6,"[7262, 7265]",733,0.7890182
22,"(2472, 2475)",12,"[7454, 7463]",925,0.93887734
23,"(2496, 2496)",3,"[7526, 7526]",997,0.64992875
24,"(2498, 2498)",3,"[7532, 7532]",1003,0.74501526
25,"(2552, 2552)",3,"[7694, 7694]",1165,0.59669447
26,"(2629, 2629)",3,"[7925, 7925]",-1266,0.846541
27,"(2639, 2641)",9,"[7955, 7961]",-1230,0.95774996
28,"(2884, 2886)",9,"[8690, 8696]",-495,0.90981305
29,"(2930, 2931)",6,"[8828, 8831]",-360,0.84545535
30,"(3288, 3292)",15,"[9902, 9914]",9,0.9726345
31,"(3294, 3294)",3,"[9920, 9920]",-8,0.525162
32,"(3382, 3383)",6,"[10184, 10187]",256,0.85228306
33,"(3502, 3502)",3,"[10544, 10544]",-99,0.7698344
34,"(3528, 3534)",21,"[10622, 10640]",-3,0.88916117
35,"(3872, 3872)",3,"[11654, 11654]",272,0.5230935999999999
36,"(3940, 3941)",6,"[11858, 11861]",476,0.8188255999999999
37,"(3954, 3954)",3,"[11900, 11900]",518,0.57212144
38,"(3967, 3967)",3,"[11939, 11939]",557,0.89374846
39,"(3991, 3991)",3,"[12011, 12011]",629,0.7503955
40,"(4016, 4018)",9,"[12086, 12092]",704,0.7055554
41,"(4168, 4171)",12,"[12542, 12551]",1160,0.94772387
42,"(4215, 4215)",3,"[12683, 12683]",1301,0.6779878
43,"(4461, 4461)",3,"[13421, 13421]",-658,0.61539173
44,"(4463, 4463)",3,"[13427, 13427]",-652,0.61506194
45,"(4682, 4682)",3,"[14084, 14084]",5,0.9128709
46,"(4684, 4685)",6,"[14090, 14093]",11,0.8280764000000002
47,"(4700, 4703)",12,"[14138, 14147]",59,0.84538156
48,"(4746, 4746)",3,"[14276, 14276]",197,0.6745941
49,"(5091, 5095)",15,"[15311, 15323]",13,0.9692478999999999
50,"(5374, 5377)",12,"[16160, 16169]",-388,0.9714246999999999
51,"(5400, 5400)",3,"[16238, 16238]",-319,0.55477864
52,"(5489, 5489)",3,"[16505, 16505]",-52,0.5403597
53,"(5497, 5499)",9,"[16529, 16535]",-22,0.79528433
54,"(5517, 5517)",3,"[16589, 16589]",32,0.9162783999999999
55,"(5745, 5745)",3,"[17273, 17273]",267,0.9421392
56,"(5812, 5812)",3,"[17474, 17474]",468,0.500417
57,"(5818, 5821)",12,"[17492, 17501]",486,0.9567540000000001
58,"(5882, 5883)",6,"[17684, 17687]",678,0.7910727
59,"(6408, 6413)",18,"[19262, 19277]",-343,0.94763595
60,"(6576, 6576)",3,"[19766, 19766]",-30,0.57797307
61,"(6703, 6703)",3,"[20147, 20147]",-86,0.53310573
62,"(6810, 6811)",6,"[20468, 20471]",235,0.74980813
63,"(6834, 6834)",3,"[20540, 20540]",-275,0.5137924
64,"(6837, 6837)",3,"[20549, 20549]",-266,0.5200498
65,"(6909, 6914)",18,"[20765, 20780]",-35,0.9600128000000001
66,"(7030, 7031)",6,"[21128, 21131]",-268,0.8602409
67,"(7078, 7078)",3,"[21272, 21272]",-127,0.7540845
68,"(7193, 7193)",3,"[21617, 21617]",218,0.8771909
69,"(7461, 7461)",3,"[22421, 22421]",73,0.72994906
70,"(7501, 7505)",15,"[22541, 22553]",193,0.9513483
71,"(7679, 7679)",3,"[23075, 23075]",727,0.70971584
72,"(7752, 7752)",3,"[23294, 23294]",946,0.5001074000000001
73,"(8211, 8211)",3,"[24671, 24671]",-536,0.8879209000000001
74,"(8556, 8560)",15,"[25706, 25718]",5,0.9603658000000002
75,"(8630, 8632)",9,"[25928, 25934]",165,0.86552495
76,"(8725, 8725)",3,"[26213, 26213]",-62,0.78811514
77,"(8833, 8834)",6,"[26537, 26540]",262,0.6470075
78,"(8977, 8978)",6,"[26969, 26972]",-255,0.62163204
79,"(9074, 9075)",6,"[27260, 27263]",33,0.9204889999999999
80,"(9183, 9185)",9,"[27587, 27593]",360,0.7158501
81,"(9734, 9735)",6,"[29240, 29243]",45,0.8159015000000001
82,"(9738, 9741)",12,"[29252, 29261]",57,0.96178323
83,"(9761, 9762)",6,"[29321, 29324]",126,0.87089944
84,"(9774, 9776)",9,"[29360, 29366]",165,0.95053303
85,"(9810, 9810)",3,"[29468, 29468]",273,0.67163676
86,"(9822, 9825)",12,"[29504, 29513]",309,0.96331424
87,"(9864, 9864)",3,"[29630, 29630]",435,0.5452838000000001
88,"(9931, 9931)",3,"[29831, 29831]",636,0.75148445
89,"(10060, 10062)",9,"[30218, 30224]",-575,0.9633314000000001
90,"(10182, 10182)",3,"[30584, 30584]",-215,0.67028093
91,"(10204, 10204)",3,"[30650, 30650]",-149,0.590909
92,"(10270, 10273)",12,"[30848, 30857]",49,0.94582236
93,"(10343, 10344)",6,"[31067, 31070]",268,0.93678355
94,"(10416, 10416)",3,"[31286, 31286]",487,0.7446833
95,"(10418, 10418)",3,"[31292, 31292]",493,0.6728736999999999
96,"(10452, 10452)",3,"[31394, 31394]",595,0.768189
97,"(10956, 10956)",3,"[32906, 32906]",-1132,0.6442145
98,"(10969, 10971)",9,"[32945, 32951]",-1087,0.91281587
99,"(11277, 11280)",12,"[33869, 33878]",-160,0.89485747
100,"(11352, 11353)",6,"[34094, 34097]",56,0.9634874
101,"(11363, 11363)",3,"[34127, 34127]",89,0.6923226
102,"(11366, 11366)",3,"[34136, 34136]",98,0.51463246
103,"(11400, 11400)",3,"[34238, 34238]",200,0.6106563
104,"(11510, 11510)",3,"[34568, 34568]",-127,0.68107903
105,"(11525, 11525)",3,"[34613, 34613]",-82,0.63706166
106,"(11692, 11696)",15,"[35114, 35126]",-251,0.93645495
107,"(11753, 11753)",3,"[35297, 35297]",-80,0.559412
108,"(12007, 12008)",6,"[36059, 36062]",-209,0.5914451000000001
109,"(12048, 12048)",3,"[36182, 36182]",-89,0.57823575
110,"(12051, 12052)",6,"[36191, 36194]",-77,0.9405785
111,"(12088, 12090)",9,"[36302, 36308]",31,0.85689527
112,"(12118, 12118)",3,"[36392, 36392]",121,0.77501833
113,"(12147, 12148)",6,"[36479, 36482]",208,0.6322645
114,"(12184, 12187)",12,"[36590, 36599]",319,0.9499313
115,"(12253, 12255)",9,"[36797, 36803]",526,0.7926880000000001
116,"(12295, 12296)",6,"[36923, 36926]",652,0.8633494
117,"(12305, 12307)",9,"[36953, 36959]",682,0.8508462
118,"(12409, 12410)",6,"[37265, 37268]",-630,0.72988075
119,"(12523, 12523)",3,"[37607, 37607]",-291,0.722572
120,"(12545, 12545)",3,"[37673, 37673]",-225,0.6249058000000001
121,"(12946, 12946)",3,"[38876, 38876]",-309,0.5183607
122,"(13270, 13270)",3,"[39848, 39848]",-569,0.6055887
123,"(13387, 13388)",6,"[40199, 40202]",-215,0.91421527
124,"(13450, 13453)",12,"[40388, 40397]",-20,0.9182918999999999
125,"(13557, 13558)",6,"[40709, 40712]",292,0.75742203
126,"(13677, 13677)",3,"[41069, 41069]",652,0.8514296
127,"(13696, 13696)",3,"[41126, 41126]",709,0.5137636999999999
128,"(13951, 13955)",15,"[41891, 41903]",-1270,0.9727634000000001
129,"(13965, 13965)",3,"[41933, 41933]",-1240,0.68593323
130,"(13974, 13975)",6,"[41960, 41963]",-1210,0.79380774
131,"(13994, 13996)",9,"[42020, 42026]",-1147,0.8195619000000001
132,"(14059, 14059)",3,"[42215, 42215]",-958,0.8495974000000001
133,"(14061, 14061)",3,"[42221, 42221]",-952,0.7999524
134,"(14063, 14063)",3,"[42227, 42227]",-946,0.52838737
135,"(14065, 14065)",3,"[42233, 42233]",-940,0.5770723000000001
136,"(14292, 14292)",3,"[42914, 42914]",-259,0.6055746999999999
137,"(14294, 14294)",3,"[42920, 42920]",-253,0.602087
138,"(14311, 14311)",3,"[42971, 42971]",-202,0.8817259
139,"(14325, 14326)",6,"[43013, 43016]",-157,0.8057026999999999
140,"(14669, 14672)",12,"[44045, 44054]",-75,0.92832774
141,"(14946, 14948)",9,"[44876, 44882]",-584,0.9631844
142,"(15147, 15147)",3,"[45479, 45479]",13,0.52228606
143,"(15275, 15275)",3,"[45863, 45863]",113,0.5972172
144,"(15455, 15455)",3,"[46403, 46403]",653,0.52703655
145,"(15457, 15457)",3,"[46409, 46409]",659,0.55232686
146,"(15622, 15622)",3,"[46904, 46904]",-234,0.51587063
147,"(15732, 15732)",3,"[47234, 47234]",96,0.78632635
148,"(16235, 16235)",3,"[48743, 48743]",-888,0.7827527
149,"(16311, 16312)",6,"[48971, 48974]",-657,0.8362424999999999
150,"(16398, 16398)",3,"[49232, 49232]",-399,0.5265068
151,"(16574, 16574)",3,"[49760, 49760]",129,0.8110191999999999
152,"(16634, 16636)",9,"[49940, 49946]",309,0.91804665
153,"(16721, 16722)",6,"[50201, 50204]",-98,0.9397959000000001
154,"(16896, 16896)",3,"[50726, 50726]",346,0.803535
155,"(16915, 16917)",9,"[50783, 50789]",403,0.7958331
156,"(17548, 17548)",3,"[52682, 52682]",255,0.56523883
157,"(17648, 17649)",6,"[52982, 52985]",-431,0.8364078000000001
158,"(17778, 17778)",3,"[53372, 53372]",-44,0.8801222
159,"(18228, 18231)",12,"[54722, 54731]",-24,0.9260046000000001
160,"(18821, 18821)",3,"[56501, 56501]",-1678,0.5057267
161,"(18846, 18846)",3,"[56576, 56576]",-1603,0.6230511
162,"(19272, 19272)",3,"[57854, 57854]",-325,0.8494174000000001
163,"(19395, 19395)",3,"[58223, 58223]",44,0.90029466
164,"(19451, 19455)",15,"[58391, 58403]",212,0.9667777
165,"(19714, 19719)",18,"[59180, 59195]",56,0.96192145
166,"(19861, 19861)",3,"[59621, 59621]",-66,0.8381303
167,"(19863, 19864)",6,"[59627, 59630]",-57,0.9454568000000001
168,"(20091, 20093)",9,"[60311, 60317]",-41,0.8376046
169,"(20264, 20264)",3,"[60830, 60830]",472,0.73943144
170,"(20675, 20675)",3,"[62063, 62063]",-1366,0.50180584
171,"(20978, 20979)",6,"[62972, 62975]",-454,0.8301199
172,"(21092, 21092)",3,"[63314, 63314]",-115,0.79352796
173,"(21134, 21134)",3,"[63440, 63440]",11,0.6863975999999999
174,"(21150, 21151)",6,"[63488, 63491]",59,0.5772141
175,"(21155, 21156)",6,"[63503, 63506]",74,0.9108558000000001
176,"(21479, 21479)",3,"[64475, 64475]",1046,0.81964433
177,"(21548, 21549)",6,"[64682, 64685]",-1170,0.81304383
178,"(21631, 21631)",3,"[64931, 64931]",-924,0.5354666
179,"(21652, 21652)",3,"[64994, 64994]",-861,0.7453774000000001
180,"(21728, 21728)",3,"[65222, 65222]",-633,0.71583426
181,"(21765, 21765)",3,"[65333, 65333]",-522,0.721542
182,"(21837, 21837)",3,"[65549, 65549]",-306,0.56557137
183,"(21899, 21899)",3,"[65735, 65735]",-120,0.62957186
184,"(21922, 21925)",12,"[65804, 65813]",-42,0.9727066999999999
185,"(22440, 22441)",6,"[67358, 67361]",523,0.8049126
186,"(22457, 22457)",3,"[67409, 67409]",574,0.62516737
187,"(23119, 23119)",3,"[69395, 69395]",1047,0.7214583999999999
188,"(23342, 23343)",6,"[70064, 70067]",-1198,0.8299448
189,"(23345, 23345)",3,"[70073, 70073]",-1192,0.6370081
190,"(23457, 23457)",3,"[70409, 70409]",-856,0.64432186
191,"(23459, 23459)",3,"[70415, 70415]",-850,0.70785916
192,"(23500, 23502)",9,"[70538, 70544]",-721,0.9050916999999999
193,"(23511, 23512)",6,"[70571, 70574]",-691,0.8390494000000001
194,"(23719, 23721)",9,"[71195, 71201]",-64,0.9496726999999999
195,"(23723, 23723)",3,"[71207, 71207]",-58,0.824867
196,"(23785, 23785)",3,"[71393, 71393]",128,0.55881673
197,"(23882, 23882)",3,"[71684, 71684]",419,0.74215883
198,"(24181, 24184)",12,"[72581, 72590]",-321,0.9532363000000001
