start,stop,center,length,max_score
9764.0,9764.0,9764.0,1.0,0.6331263
9902.0,9911.0,9907.0,10.0,0.99997926
9956.0,9959.0,9958.0,4.0,0.9987594
10121.0,10124.0,10123.0,4.0,0.86451536
10178.0,10178.0,10178.0,1.0,0.50375694
10304.0,10304.0,10304.0,1.0,0.7326645
10466.0,10466.0,10466.0,1.0,0.76497924
10514.0,10514.0,10514.0,1.0,0.6002944
16160.0,16169.0,16165.0,10.0,0.9999989
16232.0,16232.0,16232.0,1.0,0.5830848
16238.0,16238.0,16238.0,1.0,0.99936515
16445.0,16445.0,16445.0,1.0,0.799259
16451.0,16451.0,16451.0,1.0,0.58882046
16589.0,16589.0,16589.0,1.0,0.9994235
16787.0,16790.0,16789.0,4.0,0.6933044
16877.0,16883.0,16880.0,7.0,0.7536853
17120.0,17120.0,17120.0,1.0,0.9408734
20774.0,20786.0,20780.0,13.0,0.9995215
21125.0,21125.0,21125.0,1.0,0.9912231
21131.0,21131.0,21131.0,1.0,0.7330988
21182.0,21182.0,21182.0,1.0,0.9205973
50330.0,50333.0,50332.0,4.0,0.9997924
50786.0,50789.0,50788.0,4.0,0.93884885
51281.0,51281.0,51281.0,1.0,0.9376384
51536.0,51536.0,51536.0,1.0,0.8691315
51905.0,51908.0,51907.0,4.0,0.99168676
52118.0,52118.0,52118.0,1.0,0.5021727
52868.0,52868.0,52868.0,1.0,0.5524682
53039.0,53039.0,53039.0,1.0,0.62251914
53270.0,53273.0,53272.0,4.0,0.9056619
53324.0,53324.0,53324.0,1.0,0.5030928
53372.0,53372.0,53372.0,1.0,0.571973
53729.0,53729.0,53729.0,1.0,0.88394684
53852.0,53852.0,53852.0,1.0,0.8622739
54533.0,54533.0,54533.0,1.0,0.9355889
54728.0,54731.0,54730.0,4.0,0.61555344
55547.0,55547.0,55547.0,1.0,0.7785313
56186.0,56195.0,56191.0,10.0,0.9340369
56267.0,56267.0,56267.0,1.0,0.99840385
56441.0,56447.0,56444.0,7.0,0.96544236
56459.0,56459.0,56459.0,1.0,0.5296678
56495.0,56498.0,56497.0,4.0,0.6899619
57101.0,57101.0,57101.0,1.0,0.93425244
57305.0,57305.0,57305.0,1.0,0.77046317
59621.0,59630.0,59626.0,10.0,0.999054
60311.0,60311.0,60311.0,1.0,0.998607
61325.0,61325.0,61325.0,1.0,0.66738397
61496.0,61496.0,61496.0,1.0,0.8345838
61535.0,61535.0,61535.0,1.0,0.586848
61622.0,61625.0,61624.0,4.0,0.92283326
61859.0,61859.0,61859.0,1.0,0.56612355
62063.0,62063.0,62063.0,1.0,0.66800207
62204.0,62204.0,62204.0,1.0,0.830817
62519.0,62519.0,62519.0,1.0,0.91141224
62591.0,62591.0,62591.0,1.0,0.8958335
62663.0,62663.0,62663.0,1.0,0.8767082
62972.0,62972.0,62972.0,1.0,0.5710323
63185.0,63185.0,63185.0,1.0,0.92529726
63266.0,63266.0,63266.0,1.0,0.95338696
63314.0,63314.0,63314.0,1.0,0.52504164
63386.0,63386.0,63386.0,1.0,0.5883087
63443.0,63443.0,63443.0,1.0,0.9953117
63494.0,63497.0,63496.0,4.0,0.99048936
67199.0,67205.0,67202.0,7.0,0.8871434
67355.0,67361.0,67358.0,7.0,0.9953126
67841.0,67841.0,67841.0,1.0,0.65352845
78728.0,78728.0,78728.0,1.0,0.9486514
78872.0,78872.0,78872.0,1.0,0.9622561
78974.0,78980.0,78977.0,7.0,0.99213284
79316.0,79316.0,79316.0,1.0,0.9898393
83426.0,83426.0,83426.0,1.0,0.9905443
83528.0,83528.0,83528.0,1.0,0.99611866
83582.0,83591.0,83587.0,10.0,1.0
83705.0,83705.0,83705.0,1.0,0.69680995
83711.0,83711.0,83711.0,1.0,0.6096576
83765.0,83765.0,83765.0,1.0,0.5647432
83792.0,83804.0,83798.0,13.0,0.9944186
111347.0,111353.0,111350.0,7.0,0.99976677
111359.0,111359.0,111359.0,1.0,0.7617404
111695.0,111698.0,111697.0,4.0,0.9687673
111869.0,111869.0,111869.0,1.0,0.5797275
111950.0,111950.0,111950.0,1.0,0.85596985
112091.0,112094.0,112093.0,4.0,0.9835722
112211.0,112211.0,112211.0,1.0,0.74386865
112487.0,112487.0,112487.0,1.0,0.7836165
112541.0,112547.0,112544.0,7.0,0.93243587
112592.0,112592.0,112592.0,1.0,0.99588495
112682.0,112682.0,112682.0,1.0,0.5852512
113159.0,113159.0,113159.0,1.0,0.9616927
113303.0,113303.0,113303.0,1.0,0.9978599
113351.0,113360.0,113356.0,10.0,0.9999664
113435.0,113435.0,113435.0,1.0,0.5571169
117629.0,117635.0,117632.0,7.0,0.99981207
118118.0,118118.0,118118.0,1.0,0.5504492
118289.0,118292.0,118291.0,4.0,0.599099
118763.0,118763.0,118763.0,1.0,0.5635622
120080.0,120083.0,120082.0,4.0,0.9902081
120149.0,120158.0,120154.0,10.0,0.96798617
120191.0,120191.0,120191.0,1.0,0.9812795
120335.0,120335.0,120335.0,1.0,0.5290667
120368.0,120371.0,120370.0,4.0,0.9937323
120824.0,120824.0,120824.0,1.0,0.88849175
120947.0,120950.0,120949.0,4.0,0.99148566
121109.0,121112.0,121111.0,4.0,0.731226
121160.0,121160.0,121160.0,1.0,0.8087636
121181.0,121181.0,121181.0,1.0,0.6700929
121316.0,121316.0,121316.0,1.0,0.6738882
121322.0,121322.0,121322.0,1.0,0.6844284
121403.0,121403.0,121403.0,1.0,0.63116944
121412.0,121412.0,121412.0,1.0,0.52248025
121703.0,121703.0,121703.0,1.0,0.91298234
121757.0,121760.0,121759.0,4.0,0.98471594
121835.0,121835.0,121835.0,1.0,0.9968135
121841.0,121841.0,121841.0,1.0,0.87220377
121997.0,121997.0,121997.0,1.0,0.9494978
134681.0,134681.0,134681.0,1.0,0.98140126
134687.0,134687.0,134687.0,1.0,0.7655642
134768.0,134774.0,134771.0,7.0,0.99892163
134996.0,134996.0,134996.0,1.0,0.6510318
135212.0,135212.0,135212.0,1.0,0.9988385
135485.0,135488.0,135487.0,4.0,0.8728579
135536.0,135548.0,135542.0,13.0,0.98779756
135890.0,135890.0,135890.0,1.0,0.67115575
136010.0,136010.0,136010.0,1.0,0.56837475
136289.0,136289.0,136289.0,1.0,0.893285
136364.0,136364.0,136364.0,1.0,0.99867743
136421.0,136421.0,136421.0,1.0,0.96676296
136514.0,136514.0,136514.0,1.0,0.5840767
136751.0,136754.0,136753.0,4.0,0.8556667
136811.0,136814.0,136813.0,4.0,0.9996244
136958.0,136964.0,136961.0,7.0,0.9872404
137084.0,137087.0,137086.0,4.0,0.99124557
138644.0,138647.0,138646.0,4.0,0.9971307
138809.0,138812.0,138811.0,4.0,0.9964886
138902.0,138905.0,138904.0,4.0,0.9692405
139145.0,139145.0,139145.0,1.0,0.94992036
139274.0,139274.0,139274.0,1.0,0.9916979
139400.0,139403.0,139402.0,4.0,0.9246344
139535.0,139535.0,139535.0,1.0,0.8493357
139556.0,139556.0,139556.0,1.0,0.6158334
139748.0,139748.0,139748.0,1.0,0.97977054
140099.0,140099.0,140099.0,1.0,0.9982287
140141.0,140141.0,140141.0,1.0,0.9763566
140426.0,140432.0,140429.0,7.0,0.9914609
140555.0,140561.0,140558.0,7.0,0.99914193
140999.0,140999.0,140999.0,1.0,0.79164165
141869.0,141869.0,141869.0,1.0,0.9750719
141989.0,141992.0,141991.0,4.0,0.9824547
142502.0,142502.0,142502.0,1.0,0.98829484
142559.0,142559.0,142559.0,1.0,0.57231325
142604.0,142604.0,142604.0,1.0,0.9742915
142820.0,142832.0,142826.0,13.0,0.9995596
146216.0,146216.0,146216.0,1.0,0.9762698
146222.0,146222.0,146222.0,1.0,0.7453068
146324.0,146324.0,146324.0,1.0,0.8460844
146333.0,146336.0,146335.0,4.0,0.9781672
146462.0,146465.0,146464.0,4.0,0.91445315
146537.0,146537.0,146537.0,1.0,0.52158105
146759.0,146759.0,146759.0,1.0,0.6880701
147770.0,147770.0,147770.0,1.0,0.8851875
147917.0,147926.0,147922.0,10.0,0.99660397
148007.0,148007.0,148007.0,1.0,0.53362495
148076.0,148076.0,148076.0,1.0,0.73898375
148646.0,148652.0,148649.0,7.0,0.9996817
148805.0,148808.0,148807.0,4.0,0.94846964
149012.0,149012.0,149012.0,1.0,0.5288099
149018.0,149018.0,149018.0,1.0,0.9697695
149186.0,149186.0,149186.0,1.0,0.5714539
149213.0,149219.0,149216.0,7.0,0.99467695
149537.0,149537.0,149537.0,1.0,0.8885775
160079.0,160079.0,160079.0,1.0,0.6105581
160106.0,160115.0,160111.0,10.0,0.9991391
160145.0,160148.0,160147.0,4.0,0.9917446
