,index_range,frame_len,nt_ref,dist_CDS,prediction
0,"(64, 66)",9,"[230, 236]",-19,0.9762037
1,"(82, 84)",9,"[284, 290]",29,0.98913187
2,"(144, 146)",9,"[470, 476]",215,0.764212
3,"(228, 228)",3,"[722, 722]",467,0.7690685
4,"(274, 274)",3,"[860, 860]",605,0.95375997
5,"(276, 276)",3,"[866, 866]",611,0.6272369000000001
6,"(632, 632)",3,"[1934, 1934]",-865,0.7251227
7,"(695, 695)",3,"[2123, 2123]",-676,0.8722652
8,"(763, 763)",3,"[2327, 2327]",-472,0.5101928
9,"(770, 770)",3,"[2348, 2348]",-451,0.7497805999999999
10,"(788, 788)",3,"[2402, 2402]",-397,0.56897694
11,"(875, 875)",3,"[2663, 2663]",-136,0.7880951999999999
12,"(1065, 1065)",3,"[3233, 3233]",434,0.86388993
13,"(1067, 1067)",3,"[3239, 3239]",440,0.5927404000000001
14,"(1085, 1085)",3,"[3293, 3293]",-440,0.90220296
15,"(1113, 1113)",3,"[3377, 3377]",-356,0.9196813
16,"(1130, 1130)",3,"[3428, 3428]",-305,0.8220645000000001
17,"(1210, 1210)",3,"[3668, 3668]",-65,0.7473137
18,"(1251, 1251)",3,"[3791, 3791]",58,0.72006094
19,"(1414, 1414)",3,"[4280, 4280]",547,0.62702584
20,"(1509, 1509)",3,"[4565, 4565]",-455,0.70982593
21,"(1630, 1630)",3,"[4928, 4928]",-92,0.8160095
22,"(1671, 1673)",9,"[5051, 5057]",31,0.93362486
23,"(1683, 1683)",3,"[5087, 5087]",67,0.720386
24,"(1835, 1835)",3,"[5543, 5543]",13,0.98672813
25,"(1837, 1837)",3,"[5549, 5549]",19,0.722932
26,"(1846, 1846)",3,"[5576, 5576]",-25,0.7330850999999999
27,"(1910, 1910)",3,"[5768, 5768]",85,0.5306679
28,"(1970, 1970)",3,"[5948, 5948]",265,0.6002361999999999
29,"(2004, 2004)",3,"[6050, 6050]",367,0.86051905
30,"(2033, 2033)",3,"[6137, 6137]",-392,0.5905564
31,"(2062, 2062)",3,"[6224, 6224]",-305,0.85796905
32,"(2064, 2064)",3,"[6230, 6230]",-299,0.6117934
33,"(2192, 2192)",3,"[6614, 6614]",85,0.5981055999999999
34,"(2290, 2290)",3,"[6908, 6908]",379,0.5772404999999999
35,"(2559, 2559)",3,"[7715, 7715]",1186,0.9573722
