,index_range,frame_len,nt_ref,dist_CDS,prediction
0,"(7, 7)",3,"[59, 59]",-196,0.77515316
1,"(9, 10)",6,"[65, 68]",-187,0.86092323
2,"(82, 85)",12,"[284, 293]",29,0.9978290000000001
3,"(130, 130)",3,"[428, 428]",173,0.6264847
4,"(159, 159)",3,"[515, 515]",260,0.5005714
5,"(257, 257)",3,"[809, 809]",554,0.545025
6,"(337, 338)",6,"[1049, 1052]",794,0.8630518
7,"(388, 388)",3,"[1202, 1202]",947,0.6371398
8,"(394, 394)",3,"[1220, 1220]",965,0.8189401
9,"(548, 548)",3,"[1682, 1682]",-1117,0.8406898000000002
10,"(681, 682)",6,"[2081, 2084]",-715,0.92035675
11,"(754, 754)",3,"[2300, 2300]",-499,0.66490346
12,"(767, 767)",3,"[2339, 2339]",-460,0.6359967
13,"(856, 856)",3,"[2606, 2606]",-193,0.5788085000000001
14,"(875, 875)",3,"[2663, 2663]",-136,0.76219124
15,"(1081, 1085)",15,"[3281, 3293]",-440,0.9568344999999999
16,"(1581, 1582)",6,"[4781, 4784]",-236,0.7774909999999999
17,"(1634, 1634)",3,"[4940, 4940]",-80,0.58327675
18,"(1691, 1691)",3,"[5111, 5111]",91,0.7660373
19,"(1694, 1696)",9,"[5120, 5126]",100,0.9629949000000001
20,"(1736, 1736)",3,"[5246, 5246]",226,0.6200011
21,"(1844, 1844)",3,"[5570, 5570]",-31,0.6360053000000001
22,"(1906, 1906)",3,"[5756, 5756]",73,0.5186727
23,"(1926, 1926)",3,"[5816, 5816]",133,0.7118249
24,"(2065, 2065)",3,"[6233, 6233]",-296,0.746538
25,"(2141, 2141)",3,"[6461, 6461]",-68,0.5452182
26,"(2193, 2193)",3,"[6617, 6617]",88,0.62675726
27,"(2407, 2410)",12,"[7259, 7268]",730,0.9576684999999999
28,"(2459, 2461)",9,"[7415, 7421]",886,0.9342537000000001
29,"(2471, 2475)",15,"[7451, 7463]",922,0.9491980999999999
30,"(2617, 2617)",3,"[7889, 7889]",-1302,0.877683
31,"(2627, 2627)",3,"[7919, 7919]",-1272,0.8969233
32,"(2640, 2641)",6,"[7958, 7961]",-1230,0.8724593
33,"(2685, 2685)",3,"[8093, 8093]",-1098,0.525744
34,"(2699, 2699)",3,"[8135, 8135]",-1056,0.5556736
35,"(2851, 2851)",3,"[8591, 8591]",-600,0.6071785
36,"(2884, 2885)",6,"[8690, 8693]",-498,0.7556
37,"(2929, 2933)",15,"[8825, 8837]",-354,0.9882902
38,"(3046, 3048)",9,"[9176, 9182]",-9,0.72313535
39,"(3287, 3291)",15,"[9899, 9911]",6,0.9951089
40,"(3366, 3367)",6,"[10136, 10139]",208,0.77925515
41,"(3380, 3381)",6,"[10178, 10181]",250,0.81782633
42,"(3516, 3516)",3,"[10586, 10586]",-57,0.7893863
43,"(3533, 3533)",3,"[10637, 10637]",-6,0.66327757
44,"(3763, 3763)",3,"[11327, 11327]",12,0.7026134
45,"(3939, 3943)",15,"[11855, 11867]",473,0.9843379999999999
46,"(3990, 3990)",3,"[12008, 12008]",626,0.5975118
47,"(3992, 3992)",3,"[12014, 12014]",632,0.56162095
48,"(4017, 4018)",6,"[12089, 12092]",707,0.84669197
49,"(4152, 4155)",12,"[12494, 12503]",1112,0.9756555
50,"(4167, 4172)",18,"[12539, 12554]",1157,0.9939324
51,"(4198, 4199)",6,"[12632, 12635]",1250,0.8840264000000001
52,"(4214, 4215)",6,"[12680, 12683]",1298,0.8979902
53,"(4229, 4229)",3,"[12725, 12725]",1343,0.6934961
54,"(4315, 4317)",9,"[12983, 12989]",-1090,0.62851006
55,"(4434, 4434)",3,"[13340, 13340]",-739,0.5260621
56,"(4461, 4462)",6,"[13421, 13424]",-655,0.95503587
57,"(4508, 4508)",3,"[13562, 13562]",-517,0.7938151
58,"(4540, 4541)",6,"[13658, 13661]",-418,0.7018749
59,"(4559, 4559)",3,"[13715, 13715]",-364,0.79200554
60,"(4681, 4684)",12,"[14081, 14090]",2,0.9861885
61,"(4690, 4690)",3,"[14108, 14108]",29,0.52384233
62,"(4744, 4744)",3,"[14270, 14270]",191,0.7475351
63,"(5105, 5105)",3,"[15353, 15353]",55,0.72514856
64,"(5258, 5258)",3,"[15812, 15812]",514,0.93820447
65,"(5374, 5377)",12,"[16160, 16169]",-388,0.9932981
