start,stop,center,length,max_score
290.0,296.0,293.0,7.0,0.99281996
440.0,440.0,440.0,1.0,0.91952616
473.0,473.0,473.0,1.0,0.9633627
1334.0,1334.0,1334.0,1.0,0.7461892
1937.0,1937.0,1937.0,1.0,0.5619467
2351.0,2354.0,2353.0,4.0,0.7069865
3293.0,3293.0,3293.0,1.0,0.5119783
3635.0,3635.0,3635.0,1.0,0.8814246
3668.0,3674.0,3671.0,7.0,0.9657944
4865.0,4868.0,4867.0,4.0,0.5842978
5057.0,5063.0,5060.0,7.0,0.9461208
5084.0,5084.0,5084.0,1.0,0.9110627
8063.0,8063.0,8063.0,1.0,0.68316764
8732.0,8735.0,8734.0,4.0,0.9474556
8834.0,8840.0,8837.0,7.0,0.96231914
9134.0,9134.0,9134.0,1.0,0.9365459
9908.0,9914.0,9911.0,7.0,0.9873826
11975.0,11975.0,11975.0,1.0,0.66218364
11990.0,11990.0,11990.0,1.0,0.8300656
12503.0,12503.0,12503.0,1.0,0.54019046
12839.0,12839.0,12839.0,1.0,0.80314255
13664.0,13664.0,13664.0,1.0,0.70213574
13997.0,13997.0,13997.0,1.0,0.7949716
14087.0,14087.0,14087.0,1.0,0.7937965
14129.0,14129.0,14129.0,1.0,0.93395966
17438.0,17438.0,17438.0,1.0,0.5693478
17690.0,17693.0,17692.0,4.0,0.8921557
17864.0,17864.0,17864.0,1.0,0.73537266
18098.0,18101.0,18100.0,4.0,0.9463014
18170.0,18170.0,18170.0,1.0,0.82774705
18680.0,18686.0,18683.0,7.0,0.9892352
21449.0,21449.0,21449.0,1.0,0.95516765
22313.0,22313.0,22313.0,1.0,0.956756
22346.0,22346.0,22346.0,1.0,0.78672963
23084.0,23084.0,23084.0,1.0,0.54820687
23792.0,23792.0,23792.0,1.0,0.52730745
25940.0,25940.0,25940.0,1.0,0.9524711
26216.0,26219.0,26218.0,4.0,0.7199491
27266.0,27272.0,27269.0,7.0,0.98589295
29258.0,29267.0,29263.0,10.0,0.9612888
29324.0,29324.0,29324.0,1.0,0.53179854
