,index_range,frame_len,nt_ref,dist_CDS,prediction
0,"(7, 8)",6,"[59, 62]",-193,0.9736838
1,"(10, 10)",3,"[68, 68]",-187,0.50487095
2,"(65, 66)",6,"[233, 236]",-19,0.866346
3,"(82, 85)",12,"[284, 293]",29,0.99999905
4,"(131, 132)",6,"[431, 434]",176,0.72456163
5,"(144, 146)",9,"[470, 476]",215,0.9555488999999999
6,"(154, 154)",3,"[500, 500]",245,0.69087917
7,"(160, 160)",3,"[518, 518]",263,0.85882795
8,"(203, 203)",3,"[647, 647]",392,0.8008543
9,"(258, 258)",3,"[812, 812]",557,0.7853871
10,"(302, 302)",3,"[944, 944]",689,0.6290036
11,"(337, 338)",6,"[1049, 1052]",794,0.923243
12,"(350, 350)",3,"[1088, 1088]",833,0.5372236
13,"(355, 355)",3,"[1103, 1103]",848,0.84441024
14,"(391, 391)",3,"[1211, 1211]",956,0.5464585
15,"(394, 394)",3,"[1220, 1220]",965,0.7872633000000001
16,"(548, 549)",6,"[1682, 1685]",-1114,0.99513197
17,"(596, 598)",9,"[1826, 1832]",-967,0.8510865
18,"(631, 631)",3,"[1931, 1931]",-868,0.8114043000000001
19,"(681, 682)",6,"[2081, 2084]",-715,0.9945792
20,"(722, 723)",6,"[2204, 2207]",-592,0.5908059
21,"(844, 844)",3,"[2570, 2570]",-229,0.8038202
22,"(873, 874)",6,"[2657, 2660]",-139,0.78475976
23,"(877, 877)",3,"[2669, 2669]",-130,0.8460498
24,"(928, 928)",3,"[2822, 2822]",23,0.74109423
25,"(1015, 1015)",3,"[3083, 3083]",284,0.9028767
26,"(1081, 1085)",15,"[3281, 3293]",-440,0.9862287000000001
27,"(1177, 1177)",3,"[3569, 3569]",-164,0.8813818999999999
28,"(1198, 1198)",3,"[3632, 3632]",-101,0.9478713
29,"(1209, 1210)",6,"[3665, 3668]",-65,0.966511
30,"(1246, 1246)",3,"[3776, 3776]",43,0.50052524
31,"(1261, 1262)",6,"[3821, 3824]",88,0.86376005
32,"(1307, 1307)",3,"[3959, 3959]",226,0.9020256999999999
33,"(1310, 1310)",3,"[3968, 3968]",235,0.70435315
34,"(1332, 1332)",3,"[4034, 4034]",301,0.5853248999999999
35,"(1366, 1366)",3,"[4136, 4136]",403,0.5779731
36,"(1398, 1398)",3,"[4232, 4232]",499,0.6377143
37,"(1403, 1403)",3,"[4247, 4247]",514,0.8265769000000001
38,"(1437, 1438)",6,"[4349, 4352]",616,0.9722721999999999
39,"(1449, 1449)",3,"[4385, 4385]",-635,0.93584275
40,"(1569, 1569)",3,"[4745, 4745]",-275,0.56981176
41,"(1581, 1581)",3,"[4781, 4781]",-239,0.9432556000000001
42,"(1634, 1635)",6,"[4940, 4943]",-77,0.9218149
43,"(1694, 1696)",9,"[5120, 5126]",100,0.9523450999999999
44,"(1714, 1714)",3,"[5180, 5180]",160,0.6124712
45,"(1737, 1738)",6,"[5249, 5252]",229,0.9675446
46,"(1819, 1819)",3,"[5495, 5495]",-35,0.5809866
47,"(1873, 1873)",3,"[5657, 5657]",20,0.81649375
48,"(1893, 1893)",3,"[5717, 5717]",34,0.88018745
49,"(1906, 1906)",3,"[5756, 5756]",73,0.6024338
50,"(1925, 1927)",9,"[5813, 5819]",130,0.9712610999999999
51,"(1950, 1951)",6,"[5888, 5891]",205,0.91416633
52,"(2064, 2064)",3,"[6230, 6230]",-299,0.9099734
53,"(2080, 2081)",6,"[6278, 6281]",-248,0.7115238
54,"(2117, 2117)",3,"[6389, 6389]",-140,0.6240015999999999
55,"(2140, 2140)",3,"[6458, 6458]",-71,0.6485356
56,"(2172, 2175)",12,"[6554, 6563]",25,0.8356357
57,"(2193, 2194)",6,"[6617, 6620]",88,0.84965706
58,"(2218, 2218)",3,"[6692, 6692]",163,0.70984155
59,"(2406, 2410)",15,"[7256, 7268]",727,0.99177516
60,"(2471, 2475)",15,"[7451, 7463]",922,0.9986583
61,"(2552, 2552)",3,"[7694, 7694]",1165,0.86530024
62,"(2587, 2587)",3,"[7799, 7799]",1270,0.67677975
63,"(2617, 2618)",6,"[7889, 7892]",-1299,0.97677064
64,"(2641, 2643)",9,"[7961, 7967]",-1224,0.81573474
65,"(2645, 2645)",3,"[7973, 7973]",-1218,0.5330087
66,"(2685, 2686)",6,"[8093, 8096]",-1095,0.9732808000000001
67,"(2747, 2747)",3,"[8279, 8279]",-912,0.91732866
68,"(2883, 2883)",3,"[8687, 8687]",-504,0.7519399999999999
69,"(2885, 2886)",6,"[8693, 8696]",-495,0.95697844
70,"(2930, 2933)",12,"[8828, 8837]",-354,0.99953306
71,"(3047, 3049)",9,"[9179, 9185]",-6,0.91045755
72,"(3058, 3059)",6,"[9212, 9215]",21,0.7640289000000001
73,"(3163, 3163)",3,"[9527, 9527]",336,0.7963124
