,index_range,frame_len,nt_ref,dist_CDS,prediction
0,"(84, 86)",9,"[290, 296]",35,0.9956038
1,"(145, 145)",3,"[473, 473]",218,0.95933616
2,"(697, 697)",3,"[2129, 2129]",-670,0.90301067
3,"(723, 723)",3,"[2207, 2207]",-592,0.7036335
4,"(772, 772)",3,"[2354, 2354]",-445,0.8580181
5,"(913, 913)",3,"[2777, 2777]",-22,0.58862436
6,"(1066, 1067)",6,"[3236, 3239]",437,0.72993356
7,"(1086, 1087)",6,"[3296, 3299]",-434,0.81777
8,"(1199, 1199)",3,"[3635, 3635]",-98,0.9624474000000001
9,"(1210, 1212)",9,"[3668, 3674]",-59,0.9830688
10,"(1673, 1675)",9,"[5057, 5063]",37,0.9866491
11,"(1682, 1682)",3,"[5084, 5084]",64,0.8821239
12,"(2359, 2359)",3,"[7115, 7115]",586,0.6720052
13,"(2630, 2630)",3,"[7928, 7928]",-1263,0.6354034000000001
14,"(2899, 2899)",3,"[8735, 8735]",-456,0.9345943000000001
15,"(2932, 2934)",9,"[8834, 8840]",-351,0.989099
16,"(3031, 3032)",6,"[9131, 9134]",-57,0.9434872999999999
17,"(3084, 3084)",3,"[9290, 9290]",99,0.8291591999999999
18,"(3290, 3291)",6,"[9908, 9911]",15,0.9439743
19,"(3422, 3422)",3,"[10304, 10304]",-339,0.90493536
20,"(3711, 3711)",3,"[11171, 11171]",-144,0.6056724
21,"(3920, 3921)",6,"[11798, 11801]",416,0.9846538
22,"(3941, 3943)",9,"[11861, 11867]",479,0.98651296
23,"(3979, 3981)",9,"[11975, 11981]",593,0.9746693999999999
24,"(3984, 3984)",3,"[11990, 11990]",608,0.9260924
25,"(4234, 4234)",3,"[12740, 12740]",-1339,0.6248203
26,"(4265, 4265)",3,"[12833, 12833]",-1246,0.92350525
27,"(4267, 4267)",3,"[12839, 12839]",-1240,0.77516675
28,"(4697, 4697)",3,"[14129, 14129]",50,0.75523186
29,"(5070, 5071)",6,"[15248, 15251]",-47,0.92498577
30,"(5093, 5095)",9,"[15317, 15323]",19,0.99419045
31,"(5185, 5186)",6,"[15593, 15596]",295,0.9371430000000001
32,"(5452, 5452)",3,"[16394, 16394]",-163,0.8678613000000002
33,"(5694, 5697)",12,"[17120, 17129]",114,0.98075575
34,"(5829, 5829)",3,"[17525, 17525]",519,0.9695649
35,"(5884, 5885)",6,"[17690, 17693]",684,0.9132372
36,"(5942, 5942)",3,"[17864, 17864]",-791,0.90246093
37,"(6020, 6020)",3,"[18098, 18098]",-557,0.9528901
38,"(6044, 6044)",3,"[18170, 18170]",-485,0.89622974
39,"(6116, 6116)",3,"[18386, 18386]",-269,0.68123853
40,"(6214, 6216)",9,"[18680, 18686]",25,0.9950669
41,"(6252, 6252)",3,"[18794, 18794]",139,0.86628073
42,"(6533, 6534)",6,"[19637, 19640]",17,0.99442166
43,"(6554, 6554)",3,"[19700, 19700]",80,0.71949774
44,"(6564, 6564)",3,"[19730, 19730]",-66,0.77410626
45,"(6578, 6578)",3,"[19772, 19772]",-24,0.52932507
46,"(6588, 6588)",3,"[19802, 19802]",6,0.9523716999999998
47,"(6850, 6850)",3,"[20588, 20588]",-227,0.9348643
48,"(6913, 6913)",3,"[20777, 20777]",-38,0.99427444
49,"(6915, 6915)",3,"[20783, 20783]",-32,0.95468664
50,"(7029, 7032)",12,"[21125, 21134]",-265,0.92761654
51,"(7137, 7137)",3,"[21449, 21449]",50,0.9406548
52,"(7376, 7376)",3,"[22166, 22166]",-182,0.8338447
53,"(7425, 7425)",3,"[22313, 22313]",-35,0.7112208999999999
54,"(7436, 7436)",3,"[22346, 22346]",-2,0.7875488
55,"(8562, 8562)",3,"[25724, 25724]",-22,0.5301969
56,"(8634, 8634)",3,"[25940, 25940]",177,0.8412869000000001
57,"(9076, 9078)",9,"[27266, 27272]",39,0.99374217
58,"(9455, 9455)",3,"[28403, 28403]",196,0.9335479999999999
59,"(9511, 9512)",6,"[28571, 28574]",364,0.93017226
60,"(9721, 9721)",3,"[29201, 29201]",6,0.50021684
61,"(9740, 9743)",12,"[29258, 29267]",63,0.9643364
62,"(9755, 9755)",3,"[29303, 29303]",108,0.6888612
63,"(9762, 9762)",3,"[29324, 29324]",129,0.6726426
64,"(9812, 9812)",3,"[29474, 29474]",279,0.7998563
65,"(9867, 9867)",3,"[29639, 29639]",444,0.9747395000000001
66,"(10095, 10095)",3,"[30323, 30323]",-476,0.9095402
67,"(11337, 11337)",3,"[34049, 34049]",11,0.58336705
68,"(11354, 11356)",9,"[34100, 34106]",62,0.9832023999999999
69,"(11364, 11365)",6,"[34130, 34133]",92,0.8679367
70,"(11409, 11409)",3,"[34265, 34265]",227,0.6893916
71,"(11450, 11450)",3,"[34388, 34388]",-307,0.7714133000000001
72,"(11592, 11593)",6,"[34814, 34817]",33,0.9912828000000001
73,"(11839, 11839)",3,"[35555, 35555]",178,0.76681685
74,"(12052, 12055)",12,"[36194, 36203]",-68,0.99101466
75,"(12073, 12073)",3,"[36257, 36257]",-14,0.90788454
76,"(12100, 12100)",3,"[36338, 36338]",67,0.8116153
77,"(12112, 12112)",3,"[36374, 36374]",103,0.6035231
78,"(12178, 12178)",3,"[36572, 36572]",301,0.50129473
79,"(12289, 12290)",6,"[36905, 36908]",634,0.6036552
80,"(12485, 12485)",3,"[37493, 37493]",-405,0.7508145
81,"(12509, 12509)",3,"[37565, 37565]",-333,0.54419744
82,"(12659, 12661)",9,"[38015, 38021]",117,0.9532482
83,"(12965, 12965)",3,"[38933, 38933]",-252,0.53815216
84,"(13018, 13019)",6,"[39092, 39095]",-90,0.95427907
85,"(13453, 13455)",9,"[40397, 40403]",-14,0.9731433
86,"(13780, 13780)",3,"[41378, 41378]",961,0.77907705
87,"(13791, 13792)",6,"[41411, 41414]",994,0.78155214
88,"(13842, 13843)",6,"[41564, 41567]",1147,0.91909313
89,"(13947, 13947)",3,"[41879, 41879]",-1294,0.76747054
90,"(13952, 13952)",3,"[41894, 41894]",-1279,0.83295655
91,"(13954, 13956)",9,"[41900, 41906]",-1267,0.9520499
92,"(13968, 13968)",3,"[41942, 41942]",-1231,0.9470038000000001
93,"(14017, 14017)",3,"[42089, 42089]",-1084,0.59078425
94,"(14058, 14058)",3,"[42212, 42212]",-961,0.62019724
95,"(14266, 14266)",3,"[42836, 42836]",-337,0.8488098
96,"(14835, 14835)",3,"[44543, 44543]",414,0.8706014999999999
97,"(14893, 14893)",3,"[44717, 44717]",588,0.8055493
98,"(14911, 14911)",3,"[44771, 44771]",642,0.5330057
99,"(14947, 14947)",3,"[44879, 44879]",-587,0.9807781999999999
100,"(14949, 14949)",3,"[44885, 44885]",-581,0.84057885
101,"(15001, 15002)",6,"[45041, 45044]",-422,0.5702531
102,"(15151, 15151)",3,"[45491, 45491]",25,0.5193922000000001
103,"(15275, 15276)",6,"[45863, 45866]",113,0.99288905
104,"(15317, 15317)",3,"[45989, 45989]",239,0.9072611999999999
105,"(15435, 15436)",6,"[46343, 46346]",593,0.8828691999999999
106,"(15525, 15525)",3,"[46613, 46613]",-525,0.6563465999999999
107,"(15625, 15626)",6,"[46913, 46916]",-222,0.809816
108,"(15695, 15696)",6,"[47123, 47126]",-12,0.9578903
109,"(15701, 15702)",6,"[47141, 47144]",3,0.8541856
110,"(15734, 15734)",3,"[47240, 47240]",102,0.9015363999999999
111,"(15765, 15766)",6,"[47333, 47336]",195,0.8920392
112,"(15969, 15969)",3,"[47945, 47945]",169,0.6026208000000001
113,"(16330, 16330)",3,"[49028, 49028]",-603,0.8019561
114,"(16541, 16541)",3,"[49661, 49661]",30,0.50155395
115,"(16637, 16637)",3,"[49949, 49949]",318,0.53643763
116,"(16770, 16770)",3,"[50348, 50348]",-16,0.98732007
117,"(17033, 17034)",6,"[51137, 51140]",-89,0.9347413
118,"(17036, 17036)",3,"[51146, 51146]",-83,0.80706066
119,"(17059, 17060)",6,"[51215, 51218]",-11,0.96089286
120,"(17098, 17098)",3,"[51332, 51332]",103,0.87633514
121,"(17550, 17550)",3,"[52688, 52688]",261,0.79372305
