,index_range,frame_len,nt_ref,dist_CDS,prediction
0,"(67, 68)",6,"[239, 242]",-13,0.6616046999999999
1,"(84, 86)",9,"[290, 296]",35,0.9934613999999999
2,"(145, 146)",6,"[473, 476]",218,0.68772906
3,"(277, 277)",3,"[869, 869]",614,0.9212788000000001
4,"(295, 295)",3,"[923, 923]",668,0.5365553000000001
5,"(322, 322)",3,"[1004, 1004]",749,0.8073895999999999
6,"(339, 339)",3,"[1055, 1055]",800,0.8451143
7,"(697, 697)",3,"[2129, 2129]",-670,0.6108752
8,"(721, 721)",3,"[2201, 2201]",-598,0.94937336
9,"(723, 723)",3,"[2207, 2207]",-592,0.8051486
10,"(831, 831)",3,"[2531, 2531]",-268,0.5399136999999999
11,"(833, 833)",3,"[2537, 2537]",-262,0.6624059
12,"(1004, 1004)",3,"[3050, 3050]",251,0.6257676999999999
13,"(1038, 1038)",3,"[3152, 3152]",353,0.6814952
14,"(1067, 1067)",3,"[3239, 3239]",440,0.9407565999999999
15,"(1085, 1085)",3,"[3293, 3293]",-440,0.5244635999999999
16,"(1087, 1087)",3,"[3299, 3299]",-434,0.50800925
17,"(1115, 1115)",3,"[3383, 3383]",-350,0.6688829000000001
18,"(1131, 1131)",3,"[3431, 3431]",-302,0.58962333
19,"(1133, 1133)",3,"[3437, 3437]",-296,0.5985495
20,"(1142, 1142)",3,"[3464, 3464]",-269,0.9061892
21,"(1199, 1199)",3,"[3635, 3635]",-98,0.8024140999999999
22,"(1211, 1212)",6,"[3671, 3674]",-59,0.9255478000000001
23,"(1309, 1309)",3,"[3965, 3965]",232,0.8494974000000001
24,"(1369, 1369)",3,"[4145, 4145]",412,0.9232888000000001
25,"(1630, 1632)",9,"[4928, 4934]",-86,0.9687312
26,"(1673, 1675)",9,"[5057, 5063]",37,0.9637127000000001
27,"(1837, 1837)",3,"[5549, 5549]",19,0.6806786
28,"(1847, 1847)",3,"[5579, 5579]",-22,0.83784837
29,"(1887, 1887)",3,"[5699, 5699]",16,0.5667648000000001
30,"(2006, 2006)",3,"[6056, 6056]",373,0.57215726
31,"(2092, 2092)",3,"[6314, 6314]",-215,0.8394564
32,"(2478, 2478)",3,"[7472, 7472]",943,0.81603444
33,"(2821, 2821)",3,"[8501, 8501]",-690,0.9762439
34,"(2898, 2899)",6,"[8732, 8735]",-456,0.9732791
35,"(2951, 2951)",3,"[8891, 8891]",-300,0.9004403
36,"(2953, 2953)",3,"[8897, 8897]",-294,0.92776394
37,"(3058, 3058)",3,"[9212, 9212]",21,0.96029896
38,"(3060, 3060)",3,"[9218, 9218]",27,0.9926964
39,"(3082, 3084)",9,"[9284, 9290]",93,0.90712917
40,"(3140, 3140)",3,"[9458, 9458]",267,0.977252
41,"(3142, 3142)",3,"[9464, 9464]",273,0.648422
42,"(3290, 3291)",6,"[9908, 9911]",15,0.9803831000000001
43,"(3504, 3504)",3,"[10550, 10550]",-93,0.8889405999999999
44,"(3529, 3529)",3,"[10625, 10625]",-18,0.866451
45,"(3683, 3683)",3,"[11087, 11087]",-228,0.6511062
46,"(3698, 3698)",3,"[11132, 11132]",-183,0.8278774999999999
47,"(3749, 3749)",3,"[11285, 11285]",-30,0.6879043
48,"(3765, 3765)",3,"[11333, 11333]",18,0.8002684
49,"(3784, 3784)",3,"[11390, 11390]",8,0.512517
50,"(3813, 3813)",3,"[11477, 11477]",95,0.7371819000000001
51,"(3914, 3914)",3,"[11780, 11780]",398,0.7823478
52,"(3927, 3927)",3,"[11819, 11819]",437,0.7331569
53,"(3941, 3943)",9,"[11861, 11867]",479,0.72683126
54,"(4050, 4050)",3,"[12188, 12188]",806,0.73615444
55,"(4475, 4475)",3,"[13463, 13463]",-616,0.6589205
56,"(4695, 4697)",9,"[14123, 14129]",44,0.95970064
57,"(4786, 4786)",3,"[14396, 14396]",317,0.76346135
58,"(5075, 5075)",3,"[15263, 15263]",-35,0.57839483
59,"(5077, 5077)",3,"[15269, 15269]",-29,0.7135869
60,"(5093, 5095)",9,"[15317, 15323]",19,0.989907
61,"(5120, 5120)",3,"[15398, 15398]",100,0.6704049
62,"(5122, 5122)",3,"[15404, 15404]",106,0.5317181
63,"(5184, 5184)",3,"[15590, 15590]",292,0.6600378
64,"(5311, 5312)",6,"[15971, 15974]",-583,0.64291996
65,"(5414, 5414)",3,"[16280, 16280]",-277,0.6836852
66,"(5452, 5452)",3,"[16394, 16394]",-163,0.6333674
67,"(5492, 5492)",3,"[16514, 16514]",-43,0.6457013
68,"(5629, 5629)",3,"[16925, 16925]",-81,0.6173677
69,"(5649, 5649)",3,"[16985, 16985]",-21,0.5813349
70,"(5694, 5697)",12,"[17120, 17129]",114,0.93431747
71,"(5884, 5884)",3,"[17690, 17690]",684,0.62781906
72,"(5942, 5942)",3,"[17864, 17864]",-791,0.582245
73,"(6020, 6020)",3,"[18098, 18098]",-557,0.87784
74,"(6214, 6216)",9,"[18680, 18686]",25,0.98833084
75,"(6290, 6290)",3,"[18908, 18908]",253,0.5664779999999999
76,"(6403, 6403)",3,"[19247, 19247]",-373,0.63902825
77,"(6412, 6413)",6,"[19274, 19277]",-343,0.8898495999999999
78,"(6480, 6480)",3,"[19478, 19478]",-142,0.80299485
79,"(6534, 6536)",9,"[19640, 19646]",20,0.93381554
80,"(6724, 6724)",3,"[20210, 20210]",-23,0.8674052
81,"(6850, 6850)",3,"[20588, 20588]",-227,0.6864398
82,"(6913, 6913)",3,"[20777, 20777]",-38,0.97667027
83,"(6915, 6915)",3,"[20783, 20783]",-32,0.92645806
84,"(6926, 6926)",3,"[20816, 20816]",1,0.5861235
85,"(6983, 6983)",3,"[20987, 20987]",172,0.67463374
86,"(7029, 7029)",3,"[21125, 21125]",-274,0.9485623
87,"(7031, 7031)",3,"[21131, 21131]",-268,0.9386014000000001
88,"(7110, 7110)",3,"[21368, 21368]",-31,0.6271671
89,"(7436, 7436)",3,"[22346, 22346]",-2,0.90076476
90,"(7438, 7438)",3,"[22352, 22352]",4,0.7320511
91,"(7461, 7461)",3,"[22421, 22421]",73,0.86152637
92,"(7463, 7463)",3,"[22427, 22427]",79,0.9673113000000001
93,"(7532, 7532)",3,"[22634, 22634]",286,0.61150855
94,"(7534, 7534)",3,"[22640, 22640]",292,0.7868470999999999
95,"(7579, 7579)",3,"[22775, 22775]",427,0.52847373
96,"(7645, 7645)",3,"[22973, 22973]",625,0.5312696
97,"(7682, 7682)",3,"[23084, 23084]",736,0.83593917
98,"(7706, 7706)",3,"[23156, 23156]",808,0.7128998000000001
99,"(7935, 7935)",3,"[23843, 23843]",-1364,0.60335106
100,"(7965, 7965)",3,"[23933, 23933]",-1274,0.8369825999999999
101,"(8003, 8003)",3,"[24047, 24047]",-1160,0.6955365
102,"(8044, 8044)",3,"[24170, 24170]",-1037,0.5693934
103,"(8046, 8047)",6,"[24176, 24179]",-1028,0.9090242000000001
104,"(8214, 8214)",3,"[24680, 24680]",-527,0.6203241
105,"(8381, 8381)",3,"[25181, 25181]",-26,0.5590715999999999
106,"(8423, 8423)",3,"[25307, 25307]",100,0.89556855
107,"(8425, 8425)",3,"[25313, 25313]",106,0.593357
108,"(8547, 8547)",3,"[25679, 25679]",-22,0.83952445
109,"(8563, 8564)",6,"[25727, 25730]",-16,0.8929117
110,"(8582, 8583)",6,"[25784, 25787]",21,0.88052386
111,"(8740, 8740)",3,"[26258, 26258]",-17,0.8658681999999999
112,"(9020, 9020)",3,"[27098, 27098]",-129,0.54725426
113,"(9075, 9078)",12,"[27263, 27272]",36,0.99219984
114,"(9100, 9100)",3,"[27338, 27338]",111,0.86836815
115,"(9128, 9128)",3,"[27422, 27422]",195,0.5676445999999999
116,"(9455, 9455)",3,"[28403, 28403]",196,0.8739597
117,"(9640, 9640)",3,"[28958, 28958]",-237,0.56723624
118,"(9673, 9673)",3,"[29057, 29057]",-138,0.5131621
119,"(9724, 9724)",3,"[29210, 29210]",15,0.6726734999999999
120,"(9740, 9743)",12,"[29258, 29267]",63,0.9816975
121,"(9762, 9762)",3,"[29324, 29324]",129,0.67451894
122,"(9778, 9778)",3,"[29372, 29372]",177,0.58510745
123,"(9812, 9812)",3,"[29474, 29474]",279,0.8154595
124,"(9853, 9853)",3,"[29597, 29597]",402,0.7043049
125,"(9936, 9936)",3,"[29846, 29846]",651,0.58082634
126,"(9995, 9995)",3,"[30023, 30023]",-776,0.6057719
127,"(10077, 10077)",3,"[30269, 30269]",-530,0.72491467
128,"(10095, 10095)",3,"[30323, 30323]",-476,0.97894317
129,"(10097, 10097)",3,"[30329, 30329]",-470,0.9588641
130,"(10136, 10136)",3,"[30446, 30446]",-353,0.64061844
131,"(10184, 10184)",3,"[30590, 30590]",-209,0.9100429
132,"(10223, 10223)",3,"[30707, 30707]",-92,0.55143464
133,"(10431, 10431)",3,"[31331, 31331]",532,0.7327699000000001
134,"(10433, 10433)",3,"[31337, 31337]",538,0.9377175999999999
135,"(10439, 10439)",3,"[31355, 31355]",556,0.5390130999999999
136,"(10958, 10958)",3,"[32912, 32912]",-1126,0.88066775
137,"(11118, 11120)",9,"[33392, 33398]",-640,0.9528757999999999
138,"(11354, 11356)",9,"[34100, 34106]",62,0.9888254000000001
139,"(11365, 11365)",3,"[34133, 34133]",95,0.74071336
140,"(11471, 11471)",3,"[34451, 34451]",-244,0.8286315000000001
141,"(11535, 11535)",3,"[34643, 34643]",-52,0.81714994
142,"(11537, 11537)",3,"[34649, 34649]",-46,0.7917261
143,"(11598, 11598)",3,"[34832, 34832]",51,0.7918851
144,"(11609, 11609)",3,"[34865, 34865]",84,0.52271247
145,"(11767, 11767)",3,"[35339, 35339]",-38,0.6550441
146,"(11827, 11827)",3,"[35519, 35519]",142,0.7751349000000001
147,"(12052, 12054)",9,"[36194, 36200]",-71,0.9850188
148,"(12072, 12073)",6,"[36254, 36257]",-14,0.6447598000000001
149,"(12290, 12290)",3,"[36908, 36908]",637,0.82900536
150,"(12307, 12307)",3,"[36959, 36959]",688,0.5423888000000001
151,"(12408, 12410)",9,"[37262, 37268]",-630,0.94806415
152,"(12628, 12628)",3,"[37922, 37922]",24,0.5372224
153,"(13015, 13016)",6,"[39083, 39086]",-99,0.76317924
154,"(13044, 13044)",3,"[39170, 39170]",-15,0.9592130999999999
155,"(13153, 13153)",3,"[39497, 39497]",253,0.65087426
156,"(13252, 13252)",3,"[39794, 39794]",550,0.88218045
157,"(13453, 13455)",9,"[40397, 40403]",-14,0.6385911999999999
158,"(13707, 13707)",3,"[41159, 41159]",742,0.9092684000000001
159,"(13792, 13792)",3,"[41414, 41414]",997,0.5021462000000001
160,"(13954, 13954)",3,"[41900, 41900]",-1273,0.9297068000000002
161,"(13976, 13976)",3,"[41966, 41966]",-1207,0.6866663000000001
162,"(14013, 14013)",3,"[42077, 42077]",-1096,0.5041515000000001
163,"(14055, 14055)",3,"[42203, 42203]",-970,0.7831031999999999
164,"(14074, 14074)",3,"[42260, 42260]",-913,0.6970662
165,"(14252, 14252)",3,"[42794, 42794]",-379,0.9805023000000002
166,"(14351, 14351)",3,"[43091, 43091]",-82,0.94844294
167,"(14655, 14655)",3,"[44003, 44003]",-126,0.86855817
168,"(14657, 14657)",3,"[44009, 44009]",-120,0.932575
169,"(14705, 14705)",3,"[44153, 44153]",24,0.8290183000000001
170,"(14858, 14858)",3,"[44612, 44612]",483,0.68342274
171,"(14934, 14934)",3,"[44840, 44840]",-626,0.7383514
172,"(14947, 14947)",3,"[44879, 44879]",-587,0.77973115
173,"(15000, 15001)",6,"[45038, 45041]",-425,0.97444624
174,"(15015, 15015)",3,"[45083, 45083]",-383,0.57891226
175,"(15151, 15151)",3,"[45491, 45491]",25,0.7628946
176,"(15209, 15209)",3,"[45665, 45665]",-85,0.89183915
177,"(15211, 15211)",3,"[45671, 45671]",-79,0.9523728000000001
178,"(15276, 15277)",6,"[45866, 45869]",116,0.9435148999999999
179,"(15301, 15301)",3,"[45941, 45941]",191,0.70264965
180,"(15317, 15317)",3,"[45989, 45989]",239,0.7919831999999999
181,"(15351, 15351)",3,"[46091, 46091]",341,0.88694125
182,"(15353, 15353)",3,"[46097, 46097]",347,0.7848662
183,"(15435, 15435)",3,"[46343, 46343]",593,0.6288229000000001
184,"(15589, 15589)",3,"[46805, 46805]",-333,0.5539068
185,"(15707, 15707)",3,"[47159, 47159]",21,0.5101212
186,"(15765, 15765)",3,"[47333, 47333]",195,0.9325754
187,"(15864, 15864)",3,"[47630, 47630]",-146,0.706657
188,"(15968, 15969)",6,"[47942, 47945]",166,0.9027529000000001
189,"(16180, 16180)",3,"[48578, 48578]",802,0.6384207
190,"(16558, 16558)",3,"[49712, 49712]",81,0.9912902
191,"(16612, 16612)",3,"[49874, 49874]",243,0.7565272
192,"(16747, 16747)",3,"[50279, 50279]",-23,0.68528724
193,"(16770, 16770)",3,"[50348, 50348]",-16,0.9670464
194,"(16853, 16853)",3,"[50597, 50597]",217,0.79174787
195,"(17034, 17034)",3,"[51140, 51140]",-89,0.75101614
196,"(17059, 17060)",6,"[51215, 51218]",-11,0.9193389999999999
197,"(17083, 17083)",3,"[51287, 51287]",58,0.71167207
198,"(17205, 17205)",3,"[51653, 51653]",44,0.7470859000000001
199,"(17451, 17451)",3,"[52391, 52391]",-36,0.9596623
200,"(17453, 17453)",3,"[52397, 52397]",-30,0.8341095
201,"(17613, 17613)",3,"[52877, 52877]",450,0.69521016
202,"(17650, 17650)",3,"[52988, 52988]",-428,0.5647839
203,"(17727, 17727)",3,"[53219, 53219]",-197,0.5691581
204,"(17745, 17745)",3,"[53273, 53273]",-143,0.98304766
205,"(17747, 17747)",3,"[53279, 53279]",-137,0.91546077
206,"(17780, 17780)",3,"[53378, 53378]",-38,0.99091375
207,"(17855, 17856)",6,"[53603, 53606]",187,0.6923459
208,"(17979, 17979)",3,"[53975, 53975]",559,0.7168899999999999
209,"(17981, 17981)",3,"[53981, 53981]",565,0.79349315
210,"(17997, 17997)",3,"[54029, 54029]",613,0.6207668000000001
211,"(18019, 18019)",3,"[54095, 54095]",-660,0.5537679
212,"(18066, 18066)",3,"[54236, 54236]",-519,0.6141606
