,index_range,frame_len,nt_ref,dist_CDS,prediction
0,"(7, 9)",9,"[59, 65]",-190,0.6916945
1,"(81, 85)",15,"[281, 293]",26,0.9803091
2,"(298, 298)",3,"[932, 932]",677,0.71251166
3,"(387, 388)",6,"[1199, 1202]",944,0.7512764000000001
4,"(597, 597)",3,"[1829, 1829]",-970,0.5495207
5,"(681, 683)",9,"[2081, 2087]",-712,0.89742786
6,"(874, 878)",15,"[2660, 2672]",-127,0.95072347
7,"(1081, 1083)",9,"[3281, 3287]",-446,0.80744386
8,"(1197, 1198)",6,"[3629, 3632]",-101,0.60760236
9,"(1438, 1438)",3,"[4352, 4352]",619,0.5807005999999999
10,"(1580, 1580)",3,"[4778, 4778]",-242,0.7725824
11,"(1689, 1689)",3,"[5105, 5105]",85,0.52452415
12,"(1694, 1695)",6,"[5120, 5123]",100,0.69693846
13,"(1712, 1713)",6,"[5174, 5177]",154,0.5408774000000001
14,"(1737, 1738)",6,"[5249, 5252]",229,0.7441201999999999
15,"(1770, 1770)",3,"[5348, 5348]",-182,0.52037144
16,"(1817, 1817)",3,"[5489, 5489]",-41,0.57238847
17,"(1873, 1873)",3,"[5657, 5657]",20,0.52088434
18,"(1926, 1927)",6,"[5816, 5819]",133,0.718075
19,"(2193, 2194)",6,"[6617, 6620]",88,0.7948229
20,"(2408, 2410)",9,"[7262, 7268]",733,0.7993358
21,"(2459, 2460)",6,"[7415, 7418]",886,0.7065999
22,"(2471, 2475)",15,"[7451, 7463]",922,0.9467464
23,"(2585, 2587)",9,"[7793, 7799]",1264,0.8122911
24,"(2640, 2640)",3,"[7958, 7958]",-1233,0.792886
25,"(2643, 2643)",3,"[7967, 7967]",-1224,0.59041256
26,"(2685, 2686)",6,"[8093, 8096]",-1095,0.8039754
27,"(2850, 2850)",3,"[8588, 8588]",-603,0.7048941
28,"(2884, 2886)",9,"[8690, 8696]",-495,0.78093725
29,"(2928, 2933)",18,"[8822, 8837]",-354,0.8506805000000001
30,"(3044, 3046)",9,"[9170, 9176]",-15,0.7913416
31,"(3288, 3291)",12,"[9902, 9911]",9,0.97301763
32,"(3380, 3380)",3,"[10178, 10178]",250,0.66310555
33,"(3763, 3763)",3,"[11327, 11327]",12,0.6467244000000001
34,"(3804, 3805)",6,"[11450, 11453]",68,0.593532
35,"(3939, 3941)",9,"[11855, 11861]",473,0.93185574
36,"(3988, 3989)",6,"[12002, 12005]",620,0.799111
37,"(3991, 3991)",3,"[12011, 12011]",629,0.55859154
38,"(4016, 4018)",9,"[12086, 12092]",704,0.72018534
39,"(4167, 4171)",15,"[12539, 12551]",1157,0.97623175
40,"(4199, 4200)",6,"[12635, 12638]",1253,0.8110297
41,"(4214, 4214)",3,"[12680, 12680]",1298,0.54059064
42,"(4314, 4314)",3,"[12980, 12980]",-1099,0.8545489
43,"(4345, 4345)",3,"[13073, 13073]",-1006,0.5021982
44,"(4459, 4459)",3,"[13415, 13415]",-664,0.5191992999999999
45,"(4461, 4461)",3,"[13421, 13421]",-658,0.5369501
46,"(4536, 4536)",3,"[13646, 13646]",-433,0.648274
47,"(4541, 4541)",3,"[13661, 13661]",-418,0.72314477
48,"(4681, 4683)",9,"[14081, 14087]",2,0.9171418
49,"(4713, 4714)",6,"[14177, 14180]",98,0.70206547
50,"(5093, 5093)",3,"[15317, 15317]",19,0.6388064999999999
51,"(5374, 5377)",12,"[16160, 16169]",-388,0.9757405
52,"(5398, 5398)",3,"[16232, 16232]",-325,0.77917147
53,"(5414, 5415)",6,"[16280, 16283]",-274,0.782224
54,"(5517, 5518)",6,"[16589, 16592]",32,0.8429546999999998
55,"(5583, 5583)",3,"[16787, 16787]",36,0.5773491
56,"(5585, 5585)",3,"[16793, 16793]",42,0.50509286
57,"(5669, 5670)",6,"[17045, 17048]",39,0.78356624
58,"(5693, 5694)",6,"[17117, 17120]",111,0.83944315
59,"(5773, 5773)",3,"[17357, 17357]",351,0.66400564
60,"(5818, 5821)",12,"[17492, 17501]",486,0.9052429
61,"(5877, 5878)",6,"[17669, 17672]",663,0.8582084000000001
62,"(6062, 6062)",3,"[18224, 18224]",-431,0.5135066
63,"(6150, 6150)",3,"[18488, 18488]",-167,0.5677082
64,"(6248, 6249)",6,"[18782, 18785]",127,0.78138214
65,"(6284, 6284)",3,"[18890, 18890]",235,0.66570157
66,"(6410, 6411)",6,"[19268, 19271]",-349,0.8978818999999999
67,"(6910, 6915)",18,"[20768, 20783]",-32,0.9695765
