start,stop,center,length,max_score
9902.0,9914.0,9908.0,13.0,0.99674326
10121.0,10121.0,10121.0,1.0,0.7276293
10184.0,10184.0,10184.0,1.0,0.63206774
10397.0,10397.0,10397.0,1.0,0.8799714
16160.0,16169.0,16165.0,10.0,0.9971046
16280.0,16283.0,16282.0,4.0,0.9768014
16586.0,16592.0,16589.0,7.0,0.95643365
17120.0,17120.0,17120.0,1.0,0.9243027
20771.0,20786.0,20779.0,16.0,0.9931805
21179.0,21182.0,21181.0,4.0,0.8746318
50339.0,50339.0,50339.0,1.0,0.61444265
50603.0,50603.0,50603.0,1.0,0.6835467
50711.0,50720.0,50716.0,10.0,0.8716128
51104.0,51107.0,51106.0,4.0,0.88148427
51530.0,51530.0,51530.0,1.0,0.5139502
52100.0,52100.0,52100.0,1.0,0.8192722
53846.0,53846.0,53846.0,1.0,0.75190246
54098.0,54098.0,54098.0,1.0,0.6699713
54419.0,54419.0,54419.0,1.0,0.569157
59543.0,59543.0,59543.0,1.0,0.70350873
59621.0,59630.0,59626.0,10.0,0.99436647
59699.0,59705.0,59702.0,7.0,0.783143
60308.0,60314.0,60311.0,7.0,0.8086757
62348.0,62348.0,62348.0,1.0,0.53466237
62972.0,62972.0,62972.0,1.0,0.6522834
63266.0,63266.0,63266.0,1.0,0.7682607
63491.0,63497.0,63494.0,7.0,0.98209816
67850.0,67850.0,67850.0,1.0,0.5351373
78830.0,78830.0,78830.0,1.0,0.7854174
79337.0,79337.0,79337.0,1.0,0.96059775
79343.0,79343.0,79343.0,1.0,0.5265428
79553.0,79553.0,79553.0,1.0,0.5130552
79661.0,79661.0,79661.0,1.0,0.91765606
83426.0,83426.0,83426.0,1.0,0.61058074
83522.0,83528.0,83525.0,7.0,0.7703523
83582.0,83591.0,83587.0,10.0,0.9971566
83795.0,83801.0,83798.0,7.0,0.9865324
112277.0,112277.0,112277.0,1.0,0.5308547
112490.0,112490.0,112490.0,1.0,0.9227473
112538.0,112544.0,112541.0,7.0,0.9691133
112592.0,112592.0,112592.0,1.0,0.975604
113351.0,113360.0,113356.0,10.0,0.99188226
117626.0,117635.0,117631.0,10.0,0.98616135
117833.0,117833.0,117833.0,1.0,0.8896363
118124.0,118127.0,118126.0,4.0,0.8028522
118691.0,118691.0,118691.0,1.0,0.881617
118760.0,118760.0,118760.0,1.0,0.5661585
