start,stop,center,length,max_score
236.0,239.0,238.0,4.0,0.97299474
290.0,296.0,293.0,7.0,0.9965585
473.0,479.0,476.0,7.0,0.9906138
734.0,734.0,734.0,1.0,0.5800678
869.0,869.0,869.0,1.0,0.946945
923.0,923.0,923.0,1.0,0.78172535
1004.0,1004.0,1004.0,1.0,0.7762891
1055.0,1055.0,1055.0,1.0,0.7539654
1280.0,1280.0,1280.0,1.0,0.69751835
1919.0,1919.0,1919.0,1.0,0.5051297
1952.0,1952.0,1952.0,1.0,0.81006336
2006.0,2006.0,2006.0,1.0,0.957067
2126.0,2132.0,2129.0,7.0,0.9540446
2201.0,2201.0,2201.0,1.0,0.98642576
2207.0,2207.0,2207.0,1.0,0.86920196
2276.0,2276.0,2276.0,1.0,0.5041676
2354.0,2354.0,2354.0,1.0,0.95924807
2792.0,2792.0,2792.0,1.0,0.7945079
3050.0,3050.0,3050.0,1.0,0.657002
3092.0,3092.0,3092.0,1.0,0.8042069
3203.0,3203.0,3203.0,1.0,0.55202997
3236.0,3239.0,3238.0,4.0,0.98831356
3383.0,3383.0,3383.0,1.0,0.74794054
3431.0,3431.0,3431.0,1.0,0.56371063
3437.0,3437.0,3437.0,1.0,0.56446403
3464.0,3464.0,3464.0,1.0,0.98615324
3635.0,3635.0,3635.0,1.0,0.82518494
3671.0,3674.0,3673.0,4.0,0.99072266
3965.0,3965.0,3965.0,1.0,0.6508721
4145.0,4145.0,4145.0,1.0,0.9531659
4313.0,4313.0,4313.0,1.0,0.5613817
4928.0,4934.0,4931.0,7.0,0.97327393
5057.0,5063.0,5060.0,7.0,0.99278295
8147.0,8150.0,8149.0,4.0,0.75212234
8501.0,8501.0,8501.0,1.0,0.99180835
8606.0,8606.0,8606.0,1.0,0.58370245
8732.0,8735.0,8734.0,4.0,0.9902305
8891.0,8891.0,8891.0,1.0,0.8825544
8897.0,8897.0,8897.0,1.0,0.9583491
9131.0,9131.0,9131.0,1.0,0.97416556
9212.0,9212.0,9212.0,1.0,0.99462837
