,index_range,frame_len,nt_ref,dist_CDS,prediction
0,"(7, 9)",9,"[59, 65]",-190,0.82342166
1,"(81, 85)",15,"[281, 293]",26,0.9989836999999999
2,"(145, 145)",3,"[473, 473]",218,0.50356585
3,"(158, 158)",3,"[512, 512]",257,0.6653118
4,"(204, 204)",3,"[650, 650]",395,0.64713496
5,"(387, 387)",3,"[1199, 1199]",944,0.52370495
6,"(548, 549)",6,"[1682, 1685]",-1114,0.8138728
7,"(681, 683)",9,"[2081, 2087]",-712,0.89490056
8,"(874, 875)",6,"[2660, 2663]",-136,0.77628744
9,"(1081, 1084)",12,"[3281, 3290]",-443,0.91277903
10,"(1198, 1198)",3,"[3632, 3632]",-101,0.86815286
11,"(1304, 1304)",3,"[3950, 3950]",217,0.5915694
12,"(1438, 1438)",3,"[4352, 4352]",619,0.5003538
13,"(1580, 1581)",6,"[4778, 4781]",-239,0.68175703
14,"(1633, 1633)",3,"[4937, 4937]",-83,0.8340998
15,"(1738, 1738)",3,"[5252, 5252]",232,0.61805004
16,"(1925, 1927)",9,"[5813, 5819]",130,0.9429226
17,"(2064, 2064)",3,"[6230, 6230]",-299,0.5970106
18,"(2142, 2142)",3,"[6464, 6464]",-65,0.5113004
19,"(2193, 2194)",6,"[6617, 6620]",88,0.6826548000000001
20,"(2407, 2408)",6,"[7259, 7262]",730,0.78661036
21,"(2471, 2475)",15,"[7451, 7463]",922,0.97833705
22,"(2586, 2587)",6,"[7796, 7799]",1267,0.6476046999999999
23,"(2639, 2640)",6,"[7955, 7958]",-1233,0.5708151
24,"(2885, 2886)",6,"[8693, 8696]",-495,0.8531576
25,"(2930, 2932)",9,"[8828, 8834]",-357,0.91744804
26,"(2950, 2950)",3,"[8888, 8888]",-303,0.50059897
27,"(3047, 3047)",3,"[9179, 9179]",-12,0.7912869
28,"(3049, 3049)",3,"[9185, 9185]",-6,0.61375064
29,"(3288, 3292)",15,"[9902, 9914]",9,0.9958670000000001
30,"(3381, 3381)",3,"[10181, 10181]",253,0.50483537
31,"(3873, 3873)",3,"[11657, 11657]",275,0.56233066
32,"(3939, 3941)",9,"[11855, 11861]",473,0.86046165
33,"(4018, 4018)",3,"[12092, 12092]",710,0.5147071
34,"(4168, 4171)",12,"[12542, 12551]",1160,0.92579925
35,"(4199, 4199)",3,"[12635, 12635]",1253,0.76609236
36,"(4214, 4214)",3,"[12680, 12680]",1298,0.6631399
37,"(4315, 4316)",6,"[12983, 12986]",-1093,0.5775927
38,"(4461, 4461)",3,"[13421, 13421]",-658,0.68068516
39,"(4508, 4508)",3,"[13562, 13562]",-517,0.59364456
40,"(4682, 4684)",9,"[14084, 14090]",5,0.93253237
41,"(5093, 5094)",6,"[15317, 15320]",19,0.714561
42,"(5258, 5258)",3,"[15812, 15812]",514,0.6082791
