,index_range,frame_len,nt_ref,dist_CDS,prediction
0,"(7, 8)",6,"[59, 62]",-193,0.9893093000000001
1,"(65, 65)",3,"[233, 233]",-22,0.50255376
2,"(82, 85)",12,"[284, 293]",29,1.0
3,"(130, 131)",6,"[428, 431]",173,0.8609167999999999
4,"(144, 144)",3,"[470, 470]",215,0.99270964
5,"(154, 154)",3,"[500, 500]",245,0.82138705
6,"(158, 158)",3,"[512, 512]",257,0.8816892
7,"(203, 203)",3,"[647, 647]",392,0.8608446
8,"(258, 258)",3,"[812, 812]",557,0.9189611999999999
9,"(301, 302)",6,"[941, 944]",686,0.95571434
10,"(337, 338)",6,"[1049, 1052]",794,0.8204114
11,"(354, 355)",6,"[1100, 1103]",845,0.7854885
12,"(430, 430)",3,"[1328, 1328]",1073,0.85727054
13,"(509, 509)",3,"[1565, 1565]",-1234,0.87039036
14,"(548, 549)",6,"[1682, 1685]",-1114,0.9947261000000001
15,"(597, 598)",6,"[1829, 1832]",-967,0.90422523
16,"(627, 627)",3,"[1919, 1919]",-880,0.6693226999999999
17,"(681, 682)",6,"[2081, 2084]",-715,0.9743216999999998
18,"(757, 757)",3,"[2309, 2309]",-490,0.7155965999999999
19,"(803, 803)",3,"[2447, 2447]",-352,0.75898194
20,"(873, 875)",9,"[2657, 2663]",-136,0.87117976
21,"(877, 877)",3,"[2669, 2669]",-130,0.88473135
22,"(928, 928)",3,"[2822, 2822]",23,0.7954508000000001
23,"(1014, 1015)",6,"[3080, 3083]",281,0.6359184
24,"(1054, 1054)",3,"[3200, 3200]",401,0.5162382999999999
25,"(1081, 1085)",15,"[3281, 3293]",-440,0.99794596
26,"(1198, 1198)",3,"[3632, 3632]",-101,0.87728274
27,"(1246, 1246)",3,"[3776, 3776]",43,0.9125964
28,"(1254, 1254)",3,"[3800, 3800]",67,0.6513393
29,"(1261, 1261)",3,"[3821, 3821]",88,0.9173563
30,"(1307, 1307)",3,"[3959, 3959]",226,0.9882478000000001
31,"(1403, 1403)",3,"[4247, 4247]",514,0.58316386
32,"(1437, 1439)",9,"[4349, 4355]",616,0.99918205
33,"(1449, 1449)",3,"[4385, 4385]",-635,0.73696184
34,"(1581, 1582)",6,"[4781, 4784]",-236,0.7536505
35,"(1633, 1635)",9,"[4937, 4943]",-77,0.9902434999999999
36,"(1695, 1696)",6,"[5123, 5126]",103,0.9354635
37,"(1707, 1707)",3,"[5159, 5159]",139,0.7325037
38,"(1736, 1738)",9,"[5246, 5252]",226,0.9989889000000001
39,"(1844, 1844)",3,"[5570, 5570]",-31,0.6956956
40,"(1873, 1873)",3,"[5657, 5657]",20,0.931356
41,"(1926, 1927)",6,"[5816, 5819]",133,0.9991565999999998
42,"(2081, 2081)",3,"[6281, 6281]",-248,0.89949656
43,"(2141, 2141)",3,"[6461, 6461]",-68,0.6131233
44,"(2193, 2194)",6,"[6617, 6620]",88,0.8759285
45,"(2218, 2218)",3,"[6692, 6692]",163,0.5813661999999999
46,"(2407, 2409)",9,"[7259, 7265]",730,0.95981616
47,"(2471, 2475)",15,"[7451, 7463]",922,0.9999640999999999
48,"(2631, 2631)",3,"[7931, 7931]",-1260,0.5365071
49,"(2639, 2641)",9,"[7955, 7961]",-1230,0.9584064
50,"(2686, 2687)",6,"[8096, 8099]",-1092,0.9876588
51,"(2747, 2747)",3,"[8279, 8279]",-912,0.73453933
52,"(2855, 2855)",3,"[8603, 8603]",-588,0.9231654
53,"(2883, 2883)",3,"[8687, 8687]",-504,0.9597628
54,"(2886, 2886)",3,"[8696, 8696]",-495,0.6709315
55,"(2930, 2933)",12,"[8828, 8837]",-354,0.9997923000000001
56,"(3047, 3049)",9,"[9179, 9185]",-6,0.9881613000000001
57,"(3058, 3059)",6,"[9212, 9215]",21,0.96035767
58,"(3242, 3242)",3,"[9764, 9764]",-129,0.6331263
59,"(3288, 3291)",12,"[9902, 9911]",9,0.99997926
60,"(3306, 3307)",6,"[9956, 9959]",28,0.9987594000000001
61,"(3361, 3362)",6,"[10121, 10124]",193,0.86451536
62,"(3380, 3380)",3,"[10178, 10178]",250,0.50375694
63,"(3422, 3422)",3,"[10304, 10304]",-339,0.7326645
64,"(3476, 3476)",3,"[10466, 10466]",-177,0.76497924
65,"(3492, 3492)",3,"[10514, 10514]",-129,0.6002944
66,"(3561, 3561)",3,"[10721, 10721]",78,0.6697084
