,index_range,frame_len,nt_ref,dist_CDS,prediction
0,"(7, 10)",12,"[59, 68]",-187,0.94463223
1,"(81, 85)",15,"[281, 293]",26,0.997799
2,"(99, 99)",3,"[335, 335]",80,0.67007846
3,"(129, 130)",6,"[425, 428]",170,0.8943571
4,"(145, 145)",3,"[473, 473]",218,0.84661335
5,"(203, 203)",3,"[647, 647]",392,0.8435336999999999
6,"(256, 257)",6,"[806, 809]",551,0.6909871999999999
7,"(388, 388)",3,"[1202, 1202]",947,0.8358363999999999
8,"(394, 394)",3,"[1220, 1220]",965,0.5413635
9,"(548, 549)",6,"[1682, 1685]",-1114,0.81768894
10,"(681, 683)",9,"[2081, 2087]",-712,0.97487223
11,"(685, 685)",3,"[2093, 2093]",-706,0.68744606
12,"(856, 856)",3,"[2606, 2606]",-193,0.61135584
13,"(874, 875)",6,"[2660, 2663]",-136,0.80913395
14,"(1014, 1015)",6,"[3080, 3083]",281,0.85864675
15,"(1081, 1085)",15,"[3281, 3293]",-440,0.95619196
16,"(1437, 1438)",6,"[4349, 4352]",616,0.67177147
17,"(1513, 1513)",3,"[4577, 4577]",-443,0.5447025
18,"(1633, 1633)",3,"[4937, 4937]",-83,0.5796183000000001
19,"(1690, 1691)",6,"[5108, 5111]",88,0.8240273000000001
20,"(1694, 1696)",9,"[5120, 5126]",100,0.92341274
21,"(1733, 1733)",3,"[5237, 5237]",217,0.70841306
22,"(1736, 1736)",3,"[5246, 5246]",226,0.5436044
23,"(1837, 1837)",3,"[5549, 5549]",19,0.7421206
24,"(1906, 1906)",3,"[5756, 5756]",73,0.7267076
25,"(1926, 1926)",3,"[5816, 5816]",133,0.88176984
26,"(1951, 1951)",3,"[5891, 5891]",208,0.61822486
27,"(2064, 2065)",6,"[6230, 6233]",-296,0.9238392
28,"(2080, 2080)",3,"[6278, 6278]",-251,0.6234541
29,"(2141, 2142)",6,"[6461, 6464]",-65,0.7040601
30,"(2193, 2193)",3,"[6617, 6617]",88,0.88945615
31,"(2406, 2410)",15,"[7256, 7268]",727,0.9897338999999999
32,"(2471, 2475)",15,"[7451, 7463]",922,0.97039366
33,"(2551, 2551)",3,"[7691, 7691]",1162,0.59207666
34,"(2617, 2619)",9,"[7889, 7895]",-1296,0.9747292
35,"(2639, 2641)",9,"[7955, 7961]",-1230,0.95193034
36,"(2685, 2686)",6,"[8093, 8096]",-1095,0.6920936
37,"(2732, 2732)",3,"[8234, 8234]",-957,0.7064895
38,"(2884, 2886)",9,"[8690, 8696]",-495,0.6857249
