,index_range,frame_len,nt_ref,dist_CDS,prediction
0,"(7, 9)",9,"[59, 65]",-190,0.9089388
1,"(81, 86)",18,"[281, 296]",26,0.99499536
2,"(155, 155)",3,"[503, 503]",248,0.951311
3,"(203, 204)",6,"[647, 650]",392,0.8617764000000001
4,"(298, 300)",9,"[932, 938]",677,0.9429985999999999
5,"(386, 387)",6,"[1196, 1199]",941,0.8556686
6,"(596, 597)",6,"[1826, 1829]",-970,0.9068912
7,"(681, 684)",12,"[2081, 2090]",-709,0.9742933000000001
8,"(873, 879)",21,"[2657, 2675]",-124,0.98727405
9,"(1197, 1197)",3,"[3629, 3629]",-104,0.7295785
10,"(1222, 1222)",3,"[3704, 3704]",-29,0.51103836
11,"(1579, 1580)",6,"[4775, 4778]",-242,0.9246196
12,"(1648, 1648)",3,"[4982, 4982]",-38,0.73485225
13,"(1689, 1689)",3,"[5105, 5105]",85,0.601158
14,"(1694, 1695)",6,"[5120, 5123]",100,0.9341666999999999
15,"(1738, 1738)",3,"[5252, 5252]",232,0.59212357
16,"(1806, 1806)",3,"[5456, 5456]",-74,0.63596165
17,"(1818, 1818)",3,"[5492, 5492]",-38,0.60248464
18,"(1846, 1846)",3,"[5576, 5576]",-25,0.52445257
19,"(1873, 1873)",3,"[5657, 5657]",20,0.7368879
20,"(1907, 1907)",3,"[5759, 5759]",76,0.60375565
21,"(1925, 1928)",12,"[5813, 5822]",130,0.9123365
22,"(2141, 2141)",3,"[6461, 6461]",-68,0.5944933000000001
23,"(2193, 2194)",6,"[6617, 6620]",88,0.69038254
24,"(2267, 2267)",3,"[6839, 6839]",310,0.7837850000000001
25,"(2407, 2410)",12,"[7259, 7268]",730,0.93943554
26,"(2471, 2475)",15,"[7451, 7463]",922,0.96796083
27,"(2586, 2586)",3,"[7796, 7796]",1267,0.8412469000000001
28,"(2640, 2640)",3,"[7958, 7958]",-1233,0.695547
29,"(2642, 2643)",6,"[7964, 7967]",-1224,0.7760547
30,"(2686, 2687)",6,"[8096, 8099]",-1092,0.7676892
31,"(2766, 2766)",3,"[8336, 8336]",-855,0.8541234000000001
32,"(2849, 2849)",3,"[8585, 8585]",-606,0.5393373
33,"(2885, 2887)",9,"[8693, 8699]",-492,0.9487686
34,"(2931, 2933)",9,"[8831, 8837]",-354,0.94671226
35,"(2950, 2950)",3,"[8888, 8888]",-303,0.5664481
36,"(3047, 3047)",3,"[9179, 9179]",-12,0.51170224
37,"(3115, 3115)",3,"[9383, 9383]",192,0.5988184
38,"(3288, 3291)",12,"[9902, 9911]",9,0.9940498
39,"(3366, 3366)",3,"[10136, 10136]",208,0.6301083000000001
40,"(3380, 3380)",3,"[10178, 10178]",250,0.57742554
41,"(3474, 3474)",3,"[10460, 10460]",-183,0.7647495
42,"(3686, 3686)",3,"[11096, 11096]",-219,0.69411325
43,"(3763, 3763)",3,"[11327, 11327]",12,0.65044385
44,"(3804, 3804)",3,"[11450, 11450]",68,0.8475372999999999
45,"(3938, 3941)",12,"[11852, 11861]",470,0.98048466
46,"(3943, 3943)",3,"[11867, 11867]",485,0.87922424
47,"(3968, 3968)",3,"[11942, 11942]",560,0.82053
48,"(3987, 3987)",3,"[11999, 11999]",617,0.7794048000000001
49,"(3989, 3989)",3,"[12005, 12005]",623,0.5915691
50,"(3992, 3993)",6,"[12014, 12017]",632,0.821688
51,"(4016, 4016)",3,"[12086, 12086]",704,0.82691455
52,"(4018, 4019)",6,"[12092, 12095]",710,0.75996757
53,"(4167, 4171)",15,"[12539, 12551]",1157,0.9932448
54,"(4199, 4199)",3,"[12635, 12635]",1253,0.83184236
55,"(4201, 4201)",3,"[12641, 12641]",1259,0.5679501
56,"(4214, 4216)",9,"[12680, 12686]",1298,0.8751360999999999
57,"(4258, 4258)",3,"[12812, 12812]",-1267,0.7961123999999999
58,"(4314, 4314)",3,"[12980, 12980]",-1099,0.69558054
59,"(4459, 4460)",6,"[13415, 13418]",-661,0.62631524
60,"(4541, 4541)",3,"[13661, 13661]",-418,0.5208502
61,"(4681, 4683)",9,"[14081, 14087]",2,0.9816210999999999
62,"(4712, 4712)",3,"[14174, 14174]",95,0.84727067
63,"(4714, 4714)",3,"[14180, 14180]",101,0.7197087
64,"(4869, 4869)",3,"[14645, 14645]",566,0.8410989999999999
