,index_range,frame_len,nt_ref,dist_CDS,prediction
0,"(83, 87)",15,"[287, 299]",32,0.9998273000000001
1,"(131, 131)",3,"[431, 431]",176,0.54463094
2,"(133, 133)",3,"[437, 437]",182,0.81725484
3,"(432, 432)",3,"[1334, 1334]",1079,0.60419524
4,"(708, 708)",3,"[2162, 2162]",-637,0.5758911999999999
5,"(731, 731)",3,"[2231, 2231]",-568,0.8110133
6,"(770, 770)",3,"[2348, 2348]",-451,0.66590047
7,"(876, 876)",3,"[2666, 2666]",-133,0.90011007
8,"(889, 889)",3,"[2705, 2705]",-94,0.684912
9,"(933, 933)",3,"[2837, 2837]",38,0.5021246
10,"(1065, 1066)",6,"[3233, 3236]",434,0.72611153
11,"(1180, 1180)",3,"[3578, 3578]",-155,0.7546206999999999
12,"(1211, 1212)",6,"[3671, 3674]",-59,0.85123056
13,"(1258, 1258)",3,"[3812, 3812]",79,0.68741196
14,"(1288, 1288)",3,"[3902, 3902]",169,0.5985549
15,"(1290, 1291)",6,"[3908, 3911]",175,0.6232069
16,"(1306, 1307)",6,"[3956, 3959]",223,0.71393794
17,"(1450, 1452)",9,"[4388, 4394]",-626,0.5877509
18,"(1635, 1635)",3,"[4943, 4943]",-77,0.8986299999999999
19,"(1648, 1649)",6,"[4982, 4985]",-35,0.9516718000000001
20,"(1667, 1670)",12,"[5039, 5048]",19,0.9911549000000001
21,"(1673, 1675)",9,"[5057, 5063]",37,0.79230165
22,"(1926, 1926)",3,"[5816, 5816]",133,0.5481224
23,"(1928, 1929)",6,"[5822, 5825]",139,0.9914902
24,"(2257, 2257)",3,"[6809, 6809]",280,0.5113894
25,"(2392, 2392)",3,"[7214, 7214]",685,0.53480905
26,"(2587, 2589)",9,"[7799, 7805]",1270,0.78130734
27,"(2676, 2676)",3,"[8066, 8066]",-1125,0.71611255
28,"(2765, 2765)",3,"[8333, 8333]",-858,0.56346166
29,"(2886, 2887)",6,"[8696, 8699]",-492,0.6701218000000001
30,"(2899, 2900)",6,"[8735, 8738]",-453,0.5502249
31,"(2932, 2934)",9,"[8834, 8840]",-351,0.98589164
32,"(3060, 3060)",3,"[9218, 9218]",27,0.745155
33,"(3194, 3195)",6,"[9620, 9623]",-270,0.5876425000000001
34,"(3207, 3207)",3,"[9659, 9659]",-234,0.66316116
35,"(3291, 3291)",3,"[9911, 9911]",-17,0.6346792
36,"(3421, 3424)",12,"[10301, 10310]",-333,0.9637966
37,"(3503, 3503)",3,"[10547, 10547]",-96,0.51475203
38,"(3606, 3606)",3,"[10856, 10856]",213,0.84928507
39,"(3636, 3636)",3,"[10946, 10946]",303,0.5130935000000001
40,"(3732, 3737)",18,"[11234, 11249]",-66,0.8978578000000002
41,"(3769, 3769)",3,"[11345, 11345]",30,0.64989054
42,"(3822, 3824)",9,"[11504, 11510]",122,0.9465583000000001
43,"(3939, 3943)",15,"[11855, 11867]",473,0.9980508
44,"(3994, 3994)",3,"[12020, 12020]",638,0.57341045
45,"(4019, 4019)",3,"[12095, 12095]",713,0.6660998
46,"(4073, 4074)",6,"[12257, 12260]",875,0.6887694000000001
47,"(4235, 4235)",3,"[12743, 12743]",-1336,0.74993503
48,"(4368, 4368)",3,"[13142, 13142]",-937,0.827011
49,"(4542, 4542)",3,"[13664, 13664]",-415,0.5377086
50,"(4702, 4703)",6,"[14144, 14147]",65,0.68101907
51,"(5070, 5071)",6,"[15248, 15251]",-47,0.92621726
