start,stop,center,length,max_score
9902.0,9914.0,9908.0,13.0,0.9540342
10184.0,10190.0,10187.0,7.0,0.7692846
10544.0,10544.0,10544.0,1.0,0.5201861
10622.0,10640.0,10631.0,19.0,0.8544138
16160.0,16169.0,16165.0,10.0,0.9521234
16238.0,16238.0,16238.0,1.0,0.6023635
16529.0,16535.0,16532.0,7.0,0.89916414
16589.0,16589.0,16589.0,1.0,0.6170561
20765.0,20765.0,20765.0,1.0,0.5402563
20771.0,20783.0,20777.0,13.0,0.9125704
21122.0,21128.0,21125.0,7.0,0.73450786
21272.0,21272.0,21272.0,1.0,0.73076093
50201.0,50204.0,50203.0,4.0,0.8642971
50486.0,50486.0,50486.0,1.0,0.68775433
50726.0,50726.0,50726.0,1.0,0.58265716
50783.0,50789.0,50786.0,7.0,0.8867143
52562.0,52562.0,52562.0,1.0,0.5255206
52985.0,52985.0,52985.0,1.0,0.6007325
53270.0,53270.0,53270.0,1.0,0.5659352
53372.0,53372.0,53372.0,1.0,0.6542434
54722.0,54731.0,54727.0,10.0,0.9131774
56267.0,56267.0,56267.0,1.0,0.5131041
56459.0,56459.0,56459.0,1.0,0.5593335
56573.0,56576.0,56575.0,4.0,0.79682386
59621.0,59630.0,59626.0,10.0,0.9326967
60041.0,60044.0,60043.0,4.0,0.6695471
60311.0,60317.0,60314.0,7.0,0.7875129
60830.0,60830.0,60830.0,1.0,0.71205264
62315.0,62315.0,62315.0,1.0,0.60135293
62975.0,62975.0,62975.0,1.0,0.6455604
63311.0,63314.0,63313.0,4.0,0.8407054
63440.0,63446.0,63443.0,7.0,0.76543856
63503.0,63503.0,63503.0,1.0,0.8973227
67358.0,67361.0,67360.0,4.0,0.76016355
67406.0,67406.0,67406.0,1.0,0.5735356
83423.0,83429.0,83426.0,7.0,0.5818184
83522.0,83522.0,83522.0,1.0,0.63178253
83582.0,83591.0,83587.0,10.0,0.9565823
83798.0,83801.0,83800.0,4.0,0.6644023
111350.0,111350.0,111350.0,1.0,0.89317274
111803.0,111809.0,111806.0,7.0,0.8813206
112541.0,112544.0,112543.0,4.0,0.86149997
112589.0,112592.0,112591.0,4.0,0.7190719
113237.0,113237.0,113237.0,1.0,0.51906836
113351.0,113360.0,113356.0,10.0,0.93534154
113438.0,113438.0,113438.0,1.0,0.64586264
117626.0,117632.0,117629.0,7.0,0.9117861
117719.0,117728.0,117724.0,10.0,0.76353335
118433.0,118433.0,118433.0,1.0,0.6295672
118559.0,118562.0,118561.0,4.0,0.8064704
118757.0,118760.0,118759.0,4.0,0.80678964
118823.0,118823.0,118823.0,1.0,0.70589024
120152.0,120158.0,120155.0,7.0,0.93578273
120188.0,120188.0,120188.0,1.0,0.531168
120365.0,120368.0,120367.0,4.0,0.6949973
120947.0,120953.0,120950.0,7.0,0.605579
121217.0,121217.0,121217.0,1.0,0.54076517
121319.0,121322.0,121321.0,4.0,0.53021914
121361.0,121361.0,121361.0,1.0,0.57176054
121757.0,121760.0,121759.0,4.0,0.7568667
121835.0,121841.0,121838.0,7.0,0.747474
121895.0,121898.0,121897.0,4.0,0.68909675
121904.0,121904.0,121904.0,1.0,0.6053473
134681.0,134684.0,134683.0,4.0,0.81896985
134765.0,134771.0,134768.0,7.0,0.8094551
135212.0,135212.0,135212.0,1.0,0.62385213
135542.0,135542.0,135542.0,1.0,0.5784709
135566.0,135566.0,135566.0,1.0,0.5081794
135605.0,135605.0,135605.0,1.0,0.5297497
136490.0,136490.0,136490.0,1.0,0.79693824
136748.0,136748.0,136748.0,1.0,0.531772
136811.0,136817.0,136814.0,7.0,0.8696925
137081.0,137087.0,137084.0,7.0,0.8675179
138905.0,138905.0,138905.0,1.0,0.60665137
139469.0,139475.0,139472.0,7.0,0.6629344
142604.0,142610.0,142607.0,7.0,0.9033484
142823.0,142829.0,142826.0,7.0,0.92137694
142892.0,142892.0,142892.0,1.0,0.6623364
146330.0,146330.0,146330.0,1.0,0.74825245
146507.0,146507.0,146507.0,1.0,0.56893706
147920.0,147920.0,147920.0,1.0,0.60410583
148535.0,148538.0,148537.0,4.0,0.54957795
160106.0,160112.0,160109.0,7.0,0.94401515
160640.0,160640.0,160640.0,1.0,0.5399685
160871.0,160874.0,160873.0,4.0,0.58830655
160970.0,160973.0,160972.0,4.0,0.7261968
161132.0,161138.0,161135.0,7.0,0.9215413
161483.0,161489.0,161486.0,7.0,0.87399405
161699.0,161699.0,161699.0,1.0,0.57766944
161780.0,161786.0,161783.0,7.0,0.8317843
161858.0,161861.0,161860.0,4.0,0.9062082
161876.0,161879.0,161878.0,4.0,0.5973059
173462.0,173465.0,173464.0,4.0,0.65803975
174800.0,174803.0,174802.0,4.0,0.71668214
174827.0,174827.0,174827.0,1.0,0.5122568
178334.0,178337.0,178336.0,4.0,0.77188504
178436.0,178436.0,178436.0,1.0,0.70418006
179270.0,179279.0,179275.0,10.0,0.8703716
185753.0,185759.0,185756.0,7.0,0.5789376
185786.0,185786.0,185786.0,1.0,0.5318012
185987.0,185987.0,185987.0,1.0,0.80534
186170.0,186170.0,186170.0,1.0,0.6924128
183665.0,183665.0,183665.0,1.0,0.5714605
183671.0,183671.0,183671.0,1.0,0.50140774
183689.0,183689.0,183689.0,1.0,0.6101934
183965.0,183965.0,183965.0,1.0,0.70366013
184196.0,184199.0,184198.0,4.0,0.7073497
184226.0,184232.0,184229.0,7.0,0.83593434
184319.0,184325.0,184322.0,7.0,0.8074009
184421.0,184424.0,184423.0,4.0,0.6602833
185096.0,185102.0,185099.0,7.0,0.93907934
185261.0,185267.0,185264.0,7.0,0.8685335
185381.0,185390.0,185386.0,10.0,0.85751504
188690.0,188699.0,188695.0,10.0,0.9392933
189791.0,189794.0,189793.0,4.0,0.8351272
213707.0,213707.0,213707.0,1.0,0.59072566
213812.0,213815.0,213814.0,4.0,0.66170233
214049.0,214049.0,214049.0,1.0,0.50978124
216974.0,216983.0,216979.0,10.0,0.75535524
217031.0,217040.0,217036.0,10.0,0.9528292
217229.0,217232.0,217231.0,4.0,0.59979004
218852.0,218855.0,218854.0,4.0,0.7434838
219011.0,219011.0,219011.0,1.0,0.57042456
219344.0,219347.0,219346.0,4.0,0.83485615
219452.0,219452.0,219452.0,1.0,0.53278846
219854.0,219857.0,219856.0,4.0,0.85601866
220064.0,220064.0,220064.0,1.0,0.53720194
220436.0,220436.0,220436.0,1.0,0.6762156
220613.0,220613.0,220613.0,1.0,0.51275927
221144.0,221144.0,221144.0,1.0,0.6463953
221558.0,221561.0,221560.0,4.0,0.8679957
222839.0,222839.0,222839.0,1.0,0.6547292
229835.0,229844.0,229840.0,10.0,0.8404634
229853.0,229853.0,229853.0,1.0,0.60775
229910.0,229910.0,229910.0,1.0,0.54154927
230042.0,230042.0,230042.0,1.0,0.5913957
230480.0,230480.0,230480.0,1.0,0.5415446
230858.0,230864.0,230861.0,7.0,0.94841594
231077.0,231086.0,231082.0,10.0,0.8421335
231671.0,231674.0,231673.0,4.0,0.6371344
232070.0,232076.0,232073.0,7.0,0.8621964
232562.0,232571.0,232567.0,10.0,0.9533624
232640.0,232640.0,232640.0,1.0,0.51241446
234071.0,234071.0,234071.0,1.0,0.5266022
234116.0,234116.0,234116.0,1.0,0.54637015
234125.0,234128.0,234127.0,4.0,0.7131696
234140.0,234152.0,234146.0,13.0,0.8943706
234392.0,234395.0,234394.0,4.0,0.7750524
234497.0,234506.0,234502.0,10.0,0.8791336
234575.0,234575.0,234575.0,1.0,0.6549892
234647.0,234650.0,234649.0,4.0,0.5609952
235355.0,235355.0,235355.0,1.0,0.58729875
235388.0,235388.0,235388.0,1.0,0.6482886
235454.0,235454.0,235454.0,1.0,0.56832635
235487.0,235493.0,235490.0,7.0,0.6088595
236234.0,236237.0,236236.0,4.0,0.70984966
239231.0,239231.0,239231.0,1.0,0.68498427
239435.0,239450.0,239443.0,16.0,0.9173486
239891.0,239894.0,239893.0,4.0,0.6144925
240242.0,240242.0,240242.0,1.0,0.513412
240554.0,240557.0,240556.0,4.0,0.71037716
240830.0,240842.0,240836.0,13.0,0.92411023
241019.0,241019.0,241019.0,1.0,0.51039606
241475.0,241484.0,241480.0,10.0,0.89369506
242183.0,242183.0,242183.0,1.0,0.78591776
243023.0,243023.0,243023.0,1.0,0.5248438
243317.0,243323.0,243320.0,7.0,0.8189168
243407.0,243413.0,243410.0,7.0,0.8685492
243458.0,243458.0,243458.0,1.0,0.5938851
243857.0,243857.0,243857.0,1.0,0.66763747
243977.0,243980.0,243979.0,4.0,0.6196243
244292.0,244298.0,244295.0,7.0,0.7152046
244511.0,244511.0,244511.0,1.0,0.53522974
244607.0,244619.0,244613.0,13.0,0.9156903
244814.0,244814.0,244814.0,1.0,0.86721903
244922.0,244922.0,244922.0,1.0,0.542437
245435.0,245435.0,245435.0,1.0,0.5190452
245534.0,245534.0,245534.0,1.0,0.6487884
245918.0,245921.0,245920.0,4.0,0.77101827
246269.0,246275.0,246272.0,7.0,0.7889122
246821.0,246821.0,246821.0,1.0,0.55486244
254423.0,254426.0,254425.0,4.0,0.60348195
255164.0,255164.0,255164.0,1.0,0.547249
255614.0,255614.0,255614.0,1.0,0.61283034
255686.0,255686.0,255686.0,1.0,0.5640198
255836.0,255839.0,255838.0,4.0,0.8425366
255869.0,255869.0,255869.0,1.0,0.5070885
255938.0,255944.0,255941.0,7.0,0.7147779
265574.0,265583.0,265579.0,10.0,0.9559147
266321.0,266327.0,266324.0,7.0,0.73267406
266570.0,266576.0,266573.0,7.0,0.9029536
266621.0,266630.0,266626.0,10.0,0.85208446
292295.0,292301.0,292298.0,7.0,0.8804324
292679.0,292685.0,292682.0,7.0,0.8835441
312398.0,312401.0,312400.0,4.0,0.76636004
312530.0,312533.0,312532.0,4.0,0.9224811
312551.0,312557.0,312554.0,7.0,0.75747216
312818.0,312824.0,312821.0,7.0,0.7241127
318566.0,318569.0,318568.0,4.0,0.5967483
318581.0,318584.0,318583.0,4.0,0.71210533
318632.0,318635.0,318634.0,4.0,0.7093512
318983.0,318989.0,318986.0,7.0,0.77993643
319523.0,319526.0,319525.0,4.0,0.5973689
319640.0,319643.0,319642.0,4.0,0.8304015
319670.0,319670.0,319670.0,1.0,0.52443886
319781.0,319784.0,319783.0,4.0,0.6980138
319796.0,319796.0,319796.0,1.0,0.5831992
320066.0,320075.0,320071.0,10.0,0.85894537
320081.0,320081.0,320081.0,1.0,0.60967386
320120.0,320129.0,320125.0,10.0,0.9061311
320141.0,320150.0,320146.0,10.0,0.93453526
325328.0,325337.0,325333.0,10.0,0.9437197
325625.0,325631.0,325628.0,7.0,0.90441215
326780.0,326780.0,326780.0,1.0,0.539091
327962.0,327962.0,327962.0,1.0,0.50660604
328010.0,328013.0,328012.0,4.0,0.7226109
328304.0,328304.0,328304.0,1.0,0.519697
328865.0,328868.0,328867.0,4.0,0.8681724
329498.0,329504.0,329501.0,7.0,0.8830872
329510.0,329510.0,329510.0,1.0,0.8149032
345527.0,345530.0,345529.0,4.0,0.8794415
345848.0,345848.0,345848.0,1.0,0.57105607
345920.0,345920.0,345920.0,1.0,0.66493815
345968.0,345974.0,345971.0,7.0,0.9255515
346097.0,346103.0,346100.0,7.0,0.79258347
346349.0,346349.0,346349.0,1.0,0.5257187
346361.0,346361.0,346361.0,1.0,0.6835578
346442.0,346442.0,346442.0,1.0,0.6120073
378398.0,378404.0,378401.0,7.0,0.89255786
378431.0,378440.0,378436.0,10.0,0.9493606
379208.0,379214.0,379211.0,7.0,0.8591508
379301.0,379304.0,379303.0,4.0,0.5888809
379388.0,379388.0,379388.0,1.0,0.5192837
379874.0,379874.0,379874.0,1.0,0.504018
379928.0,379928.0,379928.0,1.0,0.6913775
379952.0,379958.0,379955.0,7.0,0.6140706
379985.0,379991.0,379988.0,7.0,0.7931609
380024.0,380036.0,380030.0,13.0,0.9445513
380045.0,380051.0,380048.0,7.0,0.8271908
380351.0,380351.0,380351.0,1.0,0.6233861
380675.0,380684.0,380680.0,10.0,0.757403
380924.0,380924.0,380924.0,1.0,0.6264639
388667.0,388679.0,388673.0,13.0,0.9550446
388697.0,388697.0,388697.0,1.0,0.66110206
388742.0,388742.0,388742.0,1.0,0.6451398
388754.0,388760.0,388757.0,7.0,0.7755698
388778.0,388781.0,388780.0,4.0,0.8406115
388874.0,388874.0,388874.0,1.0,0.6512905
389456.0,389459.0,389458.0,4.0,0.7460035
389870.0,389879.0,389875.0,10.0,0.8125912
389891.0,389894.0,389893.0,4.0,0.77532953
395096.0,395099.0,395098.0,4.0,0.7463164
395327.0,395330.0,395329.0,4.0,0.8907767
395366.0,395375.0,395371.0,10.0,0.8792116
396392.0,396395.0,396394.0,4.0,0.78454655
399803.0,399803.0,399803.0,1.0,0.57606983
400598.0,400598.0,400598.0,1.0,0.6215275
400904.0,400907.0,400906.0,4.0,0.7880187
400940.0,400943.0,400942.0,4.0,0.6567938
400976.0,400982.0,400979.0,7.0,0.7641431
405545.0,405548.0,405547.0,4.0,0.63171965
406430.0,406430.0,406430.0,1.0,0.7550711
406460.0,406460.0,406460.0,1.0,0.54030687
406982.0,406982.0,406982.0,1.0,0.5366965
407045.0,407048.0,407047.0,4.0,0.66803986
407255.0,407258.0,407257.0,4.0,0.67738026
407279.0,407285.0,407282.0,7.0,0.7919137
407390.0,407393.0,407392.0,4.0,0.6079708
407531.0,407537.0,407534.0,7.0,0.8397879
407630.0,407630.0,407630.0,1.0,0.5605511
408530.0,408536.0,408533.0,7.0,0.7226715
409109.0,409109.0,409109.0,1.0,0.545438
409967.0,409967.0,409967.0,1.0,0.57471544
410138.0,410144.0,410141.0,7.0,0.82683426
412097.0,412103.0,412100.0,7.0,0.85911715
412343.0,412343.0,412343.0,1.0,0.59891033
412496.0,412496.0,412496.0,1.0,0.65470415
412502.0,412508.0,412505.0,7.0,0.6702684
420938.0,420941.0,420940.0,4.0,0.82394964
431105.0,431105.0,431105.0,1.0,0.74702907
431462.0,431462.0,431462.0,1.0,0.642728
431978.0,431984.0,431981.0,7.0,0.839589
432113.0,432113.0,432113.0,1.0,0.6083071
432128.0,432131.0,432130.0,4.0,0.755804
432239.0,432239.0,432239.0,1.0,0.5022689
432671.0,432671.0,432671.0,1.0,0.5035502
432875.0,432875.0,432875.0,1.0,0.7327528
437330.0,437333.0,437332.0,4.0,0.56594867
437441.0,437447.0,437444.0,7.0,0.86085993
443081.0,443081.0,443081.0,1.0,0.64251244
443624.0,443630.0,443627.0,7.0,0.53977126
443672.0,443672.0,443672.0,1.0,0.6187113
443678.0,443684.0,443681.0,7.0,0.73911726
444536.0,444539.0,444538.0,4.0,0.7716991
444680.0,444692.0,444686.0,13.0,0.9063557
446630.0,446633.0,446632.0,4.0,0.8004835
446783.0,446789.0,446786.0,7.0,0.902896
446918.0,446918.0,446918.0,1.0,0.5692961
446987.0,446987.0,446987.0,1.0,0.6818132
447371.0,447383.0,447377.0,13.0,0.93589705
447470.0,447473.0,447472.0,4.0,0.8747916
447581.0,447581.0,447581.0,1.0,0.64209914
449012.0,449021.0,449017.0,10.0,0.87605345
449570.0,449570.0,449570.0,1.0,0.69249356
450515.0,450515.0,450515.0,1.0,0.50002223
450662.0,450680.0,450671.0,19.0,0.8300656
451943.0,451946.0,451945.0,4.0,0.7199235
451997.0,452000.0,451999.0,4.0,0.70379823
452156.0,452162.0,452159.0,7.0,0.86705494
452435.0,452441.0,452438.0,7.0,0.7728502
452465.0,452465.0,452465.0,1.0,0.5286964
453404.0,453404.0,453404.0,1.0,0.67797333
454220.0,454226.0,454223.0,7.0,0.90555054
454307.0,454310.0,454309.0,4.0,0.72530586
465260.0,465260.0,465260.0,1.0,0.55129564
