,index_range,frame_len,nt_ref,dist_CDS,prediction
0,"(67, 68)",6,"[239, 242]",-13,0.77854043
1,"(84, 86)",9,"[290, 296]",35,0.993341
2,"(145, 146)",6,"[473, 476]",218,0.9494140999999999
3,"(277, 277)",3,"[869, 869]",614,0.8303
4,"(295, 295)",3,"[923, 923]",668,0.5331071999999999
5,"(339, 339)",3,"[1055, 1055]",800,0.5830411
6,"(394, 394)",3,"[1220, 1220]",965,0.6512047
7,"(656, 656)",3,"[2006, 2006]",-793,0.73892295
8,"(697, 697)",3,"[2129, 2129]",-670,0.73978436
9,"(721, 721)",3,"[2201, 2201]",-598,0.94203174
10,"(723, 723)",3,"[2207, 2207]",-592,0.5599599000000001
11,"(833, 833)",3,"[2537, 2537]",-262,0.71337765
12,"(1004, 1004)",3,"[3050, 3050]",251,0.7615092
13,"(1067, 1067)",3,"[3239, 3239]",440,0.9132028
14,"(1115, 1115)",3,"[3383, 3383]",-350,0.8959924000000001
15,"(1131, 1131)",3,"[3431, 3431]",-302,0.84955776
16,"(1142, 1142)",3,"[3464, 3464]",-269,0.86494255
17,"(1199, 1199)",3,"[3635, 3635]",-98,0.65561193
18,"(1211, 1212)",6,"[3671, 3674]",-59,0.96238625
19,"(1309, 1309)",3,"[3965, 3965]",232,0.66100824
20,"(1369, 1369)",3,"[4145, 4145]",412,0.7775081
21,"(1425, 1425)",3,"[4313, 4313]",580,0.83385026
22,"(1630, 1630)",3,"[4928, 4928]",-92,0.5973191999999999
23,"(1632, 1632)",3,"[4934, 4934]",-86,0.96496934
24,"(1673, 1675)",9,"[5057, 5063]",37,0.9730812
25,"(1837, 1837)",3,"[5549, 5549]",19,0.79764897
26,"(1847, 1847)",3,"[5579, 5579]",-22,0.7087995
27,"(2101, 2101)",3,"[6341, 6341]",-188,0.5438609999999999
28,"(2478, 2478)",3,"[7472, 7472]",943,0.7810328000000001
29,"(2802, 2802)",3,"[8444, 8444]",-747,0.600121
30,"(2821, 2821)",3,"[8501, 8501]",-690,0.94938755
31,"(2899, 2899)",3,"[8735, 8735]",-456,0.9255658000000001
32,"(2951, 2951)",3,"[8891, 8891]",-300,0.79215366
33,"(2953, 2953)",3,"[8897, 8897]",-294,0.9080700999999999
34,"(3031, 3031)",3,"[9131, 9131]",-60,0.5030946
35,"(3058, 3058)",3,"[9212, 9212]",21,0.96023136
36,"(3060, 3060)",3,"[9218, 9218]",27,0.99247086
37,"(3083, 3084)",6,"[9287, 9290]",96,0.86502737
38,"(3107, 3107)",3,"[9359, 9359]",168,0.5871890000000001
39,"(3140, 3140)",3,"[9458, 9458]",267,0.95160604
40,"(3290, 3291)",6,"[9908, 9911]",15,0.9839219000000001
41,"(3420, 3420)",3,"[10298, 10298]",-345,0.5537852
42,"(3504, 3504)",3,"[10550, 10550]",-93,0.7880241
43,"(3529, 3529)",3,"[10625, 10625]",-18,0.88018256
44,"(3698, 3698)",3,"[11132, 11132]",-183,0.7701098000000001
45,"(3884, 3884)",3,"[11690, 11690]",308,0.5622228
46,"(3927, 3927)",3,"[11819, 11819]",437,0.57480055
47,"(3942, 3943)",6,"[11864, 11867]",482,0.6394791
48,"(4050, 4050)",3,"[12188, 12188]",806,0.74585795
49,"(4156, 4156)",3,"[12506, 12506]",1124,0.6660119000000001
50,"(4378, 4378)",3,"[13172, 13172]",-907,0.67677253
51,"(4475, 4475)",3,"[13463, 13463]",-616,0.52028614
52,"(4695, 4697)",9,"[14123, 14129]",44,0.9368264999999999
53,"(5072, 5072)",3,"[15254, 15254]",-44,0.5960574000000001
54,"(5077, 5077)",3,"[15269, 15269]",-29,0.75892574
55,"(5093, 5095)",9,"[15317, 15323]",19,0.9901226000000001
56,"(5120, 5120)",3,"[15398, 15398]",100,0.76864225
57,"(5184, 5184)",3,"[15590, 15590]",292,0.5674071999999999
58,"(5312, 5312)",3,"[15974, 15974]",-583,0.5615411
59,"(5414, 5414)",3,"[16280, 16280]",-277,0.65809435
60,"(5452, 5452)",3,"[16394, 16394]",-163,0.52095056
61,"(5629, 5629)",3,"[16925, 16925]",-81,0.61361843
62,"(5649, 5649)",3,"[16985, 16985]",-21,0.67043364
63,"(5694, 5697)",12,"[17120, 17129]",114,0.81519914
64,"(6020, 6021)",6,"[18098, 18101]",-554,0.8851812
65,"(6214, 6216)",9,"[18680, 18686]",25,0.98610026
66,"(6412, 6413)",6,"[19274, 19277]",-343,0.86102736
67,"(6534, 6535)",6,"[19640, 19643]",20,0.9064742
68,"(6678, 6678)",3,"[20072, 20072]",-161,0.5921411
69,"(6724, 6724)",3,"[20210, 20210]",-23,0.8603518
70,"(6850, 6850)",3,"[20588, 20588]",-227,0.7466409
71,"(6913, 6913)",3,"[20777, 20777]",-38,0.96750677
72,"(6915, 6915)",3,"[20783, 20783]",-32,0.9273169
73,"(6926, 6926)",3,"[20816, 20816]",1,0.55997485
74,"(6983, 6983)",3,"[20987, 20987]",172,0.56843233
75,"(7029, 7029)",3,"[21125, 21125]",-274,0.90759474
76,"(7031, 7031)",3,"[21131, 21131]",-268,0.9387789000000001
77,"(7110, 7110)",3,"[21368, 21368]",-31,0.6060844
78,"(7224, 7224)",3,"[21710, 21710]",311,0.54174757
79,"(7436, 7436)",3,"[22346, 22346]",-2,0.97299325
80,"(7438, 7438)",3,"[22352, 22352]",4,0.90051925
81,"(7461, 7461)",3,"[22421, 22421]",73,0.7066335
82,"(7463, 7463)",3,"[22427, 22427]",79,0.97337705
83,"(7532, 7532)",3,"[22634, 22634]",286,0.66251475
84,"(7645, 7645)",3,"[22973, 22973]",625,0.61224914
85,"(7682, 7682)",3,"[23084, 23084]",736,0.90096426
86,"(7813, 7813)",3,"[23477, 23477]",1129,0.72853637
87,"(7965, 7965)",3,"[23933, 23933]",-1274,0.71873105
88,"(8003, 8003)",3,"[24047, 24047]",-1160,0.563354
89,"(8046, 8046)",3,"[24176, 24176]",-1031,0.89725757
90,"(8189, 8189)",3,"[24605, 24605]",-602,0.636312
91,"(8303, 8303)",3,"[24947, 24947]",-260,0.55239415
92,"(8340, 8340)",3,"[25058, 25058]",-149,0.6024187
93,"(8423, 8423)",3,"[25307, 25307]",100,0.8391116
94,"(8547, 8547)",3,"[25679, 25679]",-22,0.91076505
95,"(8562, 8564)",9,"[25724, 25730]",-16,0.885978
96,"(8582, 8583)",6,"[25784, 25787]",21,0.8810403
97,"(8740, 8740)",3,"[26258, 26258]",-17,0.8330969000000001
98,"(9076, 9078)",9,"[27266, 27272]",39,0.98987585
99,"(9100, 9100)",3,"[27338, 27338]",111,0.80915403
100,"(9128, 9128)",3,"[27422, 27422]",195,0.6779911
101,"(9455, 9455)",3,"[28403, 28403]",196,0.77227944
102,"(9586, 9586)",3,"[28796, 28796]",-399,0.6001156999999999
103,"(9640, 9640)",3,"[28958, 28958]",-237,0.60479623
104,"(9666, 9666)",3,"[29036, 29036]",-159,0.55821466
105,"(9741, 9742)",6,"[29261, 29264]",66,0.9726355999999999
106,"(9778, 9778)",3,"[29372, 29372]",177,0.52749485
107,"(9812, 9812)",3,"[29474, 29474]",279,0.5547975
