start,stop,center,length,max_score
9902.0,9914.0,9908.0,13.0,0.9957262
16160.0,16169.0,16165.0,10.0,0.9971867
16232.0,16232.0,16232.0,1.0,0.639973
16238.0,16238.0,16238.0,1.0,0.8130696
16589.0,16592.0,16591.0,4.0,0.72800475
16598.0,16598.0,16598.0,1.0,0.5753317
16787.0,16787.0,16787.0,1.0,0.61824876
16877.0,16880.0,16879.0,4.0,0.6583592
17117.0,17120.0,17119.0,4.0,0.9826131
20771.0,20789.0,20780.0,19.0,0.9567322
21125.0,21125.0,21125.0,1.0,0.9475843
21179.0,21179.0,21179.0,1.0,0.61341846
21272.0,21272.0,21272.0,1.0,0.58095825
50330.0,50333.0,50332.0,4.0,0.6209177
50606.0,50606.0,50606.0,1.0,0.5175478
50615.0,50615.0,50615.0,1.0,0.6824108
50789.0,50792.0,50791.0,4.0,0.7897011
51206.0,51206.0,51206.0,1.0,0.5668245
51293.0,51293.0,51293.0,1.0,0.55842793
52874.0,52874.0,52874.0,1.0,0.5576263
53369.0,53369.0,53369.0,1.0,0.50403804
53678.0,53678.0,53678.0,1.0,0.5616861
56186.0,56189.0,56188.0,4.0,0.8165557
56267.0,56267.0,56267.0,1.0,0.6116973
56447.0,56447.0,56447.0,1.0,0.7060664
56498.0,56498.0,56498.0,1.0,0.67236274
59474.0,59474.0,59474.0,1.0,0.5457084
59621.0,59630.0,59626.0,10.0,0.9778586
59690.0,59690.0,59690.0,1.0,0.5681051
60308.0,60314.0,60311.0,7.0,0.9330261
60749.0,60749.0,60749.0,1.0,0.5149256
60830.0,60833.0,60832.0,4.0,0.69270885
62348.0,62348.0,62348.0,1.0,0.54539526
62972.0,62975.0,62974.0,4.0,0.57840884
63182.0,63188.0,63185.0,7.0,0.6732227
63311.0,63314.0,63313.0,4.0,0.66682386
63440.0,63443.0,63442.0,4.0,0.7635074
63497.0,63497.0,63497.0,1.0,0.59999055
67205.0,67205.0,67205.0,1.0,0.5882653
67358.0,67358.0,67358.0,1.0,0.52113533
78890.0,78890.0,78890.0,1.0,0.51128936
78980.0,78980.0,78980.0,1.0,0.59042865
79337.0,79337.0,79337.0,1.0,0.7488552
83582.0,83588.0,83585.0,7.0,0.99966013
83792.0,83798.0,83795.0,7.0,0.91696423
111350.0,111350.0,111350.0,1.0,0.512185
111698.0,111698.0,111698.0,1.0,0.5467076
112487.0,112487.0,112487.0,1.0,0.8645723
112538.0,112547.0,112543.0,10.0,0.9359973
112592.0,112592.0,112592.0,1.0,0.94616747
113303.0,113303.0,113303.0,1.0,0.52764094
113351.0,113360.0,113356.0,10.0,0.9743368
117629.0,117635.0,117632.0,7.0,0.9674701
118127.0,118127.0,118127.0,1.0,0.5699873
118295.0,118295.0,118295.0,1.0,0.5382758
118757.0,118760.0,118759.0,4.0,0.6580861
120083.0,120083.0,120083.0,1.0,0.8338474
120152.0,120155.0,120154.0,4.0,0.7974754
120191.0,120191.0,120191.0,1.0,0.5588428
120368.0,120368.0,120368.0,1.0,0.8614212
120824.0,120827.0,120826.0,4.0,0.72604847
121328.0,121328.0,121328.0,1.0,0.5445544
121757.0,121760.0,121759.0,4.0,0.7778791
121832.0,121844.0,121838.0,13.0,0.98238695
121895.0,121895.0,121895.0,1.0,0.68600726
122000.0,122000.0,122000.0,1.0,0.59120375
134687.0,134687.0,134687.0,1.0,0.5327925
134771.0,134774.0,134773.0,4.0,0.8477685
135275.0,135275.0,135275.0,1.0,0.64433736
135488.0,135488.0,135488.0,1.0,0.5555113
135536.0,135545.0,135541.0,10.0,0.95805526
135659.0,135659.0,135659.0,1.0,0.56977737
136289.0,136289.0,136289.0,1.0,0.6925838
136364.0,136364.0,136364.0,1.0,0.89985543
136421.0,136421.0,136421.0,1.0,0.54049283
136745.0,136745.0,136745.0,1.0,0.6831185
136751.0,136751.0,136751.0,1.0,0.6790152
136811.0,136814.0,136813.0,4.0,0.957219
136922.0,136922.0,136922.0,1.0,0.5305642
136958.0,136961.0,136960.0,4.0,0.84608877
137081.0,137087.0,137084.0,7.0,0.96735865
138905.0,138905.0,138905.0,1.0,0.7635262
140099.0,140099.0,140099.0,1.0,0.78778744
140141.0,140141.0,140141.0,1.0,0.82295924
140432.0,140435.0,140434.0,4.0,0.75674576
140558.0,140558.0,140558.0,1.0,0.638544
141236.0,141239.0,141238.0,4.0,0.8382389
141389.0,141389.0,141389.0,1.0,0.8406368
142502.0,142502.0,142502.0,1.0,0.5751809
142820.0,142835.0,142828.0,16.0,0.94351673
146216.0,146219.0,146218.0,4.0,0.9248832
146333.0,146333.0,146333.0,1.0,0.64589185
146507.0,146510.0,146509.0,4.0,0.6297296
147767.0,147767.0,147767.0,1.0,0.54975605
147920.0,147926.0,147923.0,7.0,0.8845484
148646.0,148649.0,148648.0,4.0,0.84976393
149216.0,149219.0,149218.0,4.0,0.6133713
149540.0,149540.0,149540.0,1.0,0.5224973
159974.0,159974.0,159974.0,1.0,0.6433816
160106.0,160118.0,160112.0,13.0,0.9783021
160493.0,160493.0,160493.0,1.0,0.8112859
160637.0,160637.0,160637.0,1.0,0.8167036
160664.0,160664.0,160664.0,1.0,0.91469383
161267.0,161267.0,161267.0,1.0,0.6924989
161699.0,161699.0,161699.0,1.0,0.52320135
161858.0,161858.0,161858.0,1.0,0.5090569
161927.0,161927.0,161927.0,1.0,0.72303706
173510.0,173513.0,173512.0,4.0,0.7617449
173624.0,173627.0,173626.0,4.0,0.5240992
173825.0,173825.0,173825.0,1.0,0.57772535
173831.0,173831.0,173831.0,1.0,0.56565666
174917.0,174917.0,174917.0,1.0,0.5080711
174956.0,174959.0,174958.0,4.0,0.64076954
174968.0,174968.0,174968.0,1.0,0.6040938
178436.0,178439.0,178438.0,4.0,0.8272582
178619.0,178619.0,178619.0,1.0,0.7121432
178985.0,178985.0,178985.0,1.0,0.6606449
179273.0,179276.0,179275.0,4.0,0.94582945
179282.0,179285.0,179284.0,4.0,0.75022984
185756.0,185756.0,185756.0,1.0,0.65739906
186056.0,186059.0,186058.0,4.0,0.55115384
183929.0,183929.0,183929.0,1.0,0.6748013
184220.0,184220.0,184220.0,1.0,0.6390523
