,index_range,frame_len,nt_ref,dist_CDS,prediction
0,"(64, 66)",9,"[230, 236]",-19,0.9897764000000001
1,"(82, 85)",12,"[284, 293]",29,0.99549955
2,"(144, 146)",9,"[470, 476]",215,0.9776176999999999
3,"(228, 228)",3,"[722, 722]",467,0.9231935
4,"(274, 274)",3,"[860, 860]",605,0.9807093000000001
5,"(276, 276)",3,"[866, 866]",611,0.6155044
6,"(549, 549)",3,"[1685, 1685]",-1114,0.6214151
7,"(632, 632)",3,"[1934, 1934]",-865,0.81177086
8,"(695, 695)",3,"[2123, 2123]",-676,0.9614497
9,"(770, 770)",3,"[2348, 2348]",-451,0.8500488000000002
10,"(788, 788)",3,"[2402, 2402]",-397,0.6791851
11,"(875, 875)",3,"[2663, 2663]",-136,0.94524544
12,"(1065, 1065)",3,"[3233, 3233]",434,0.9056434999999999
13,"(1085, 1085)",3,"[3293, 3293]",-440,0.87496567
14,"(1113, 1113)",3,"[3377, 3377]",-356,0.862917
15,"(1129, 1129)",3,"[3425, 3425]",-308,0.52493507
16,"(1197, 1197)",3,"[3629, 3629]",-104,0.6905667
17,"(1210, 1210)",3,"[3668, 3668]",-65,0.96285874
18,"(1397, 1398)",6,"[4229, 4232]",496,0.93219495
19,"(1445, 1445)",3,"[4373, 4373]",640,0.52092177
20,"(1509, 1509)",3,"[4565, 4565]",-455,0.5764148
21,"(1646, 1646)",3,"[4976, 4976]",-44,0.67252386
22,"(1671, 1671)",3,"[5051, 5051]",31,0.860341
23,"(1814, 1814)",3,"[5480, 5480]",-50,0.8057734999999999
24,"(1835, 1835)",3,"[5543, 5543]",13,0.99437606
25,"(1837, 1837)",3,"[5549, 5549]",19,0.7317832
26,"(1846, 1846)",3,"[5576, 5576]",-25,0.85966295
27,"(1946, 1946)",3,"[5876, 5876]",193,0.6873659000000001
28,"(1970, 1970)",3,"[5948, 5948]",265,0.8185559
29,"(2004, 2004)",3,"[6050, 6050]",367,0.5251657
30,"(2031, 2031)",3,"[6131, 6131]",-398,0.9000014999999999
31,"(2062, 2062)",3,"[6224, 6224]",-305,0.61050767
32,"(2064, 2064)",3,"[6230, 6230]",-299,0.98541117
33,"(2081, 2081)",3,"[6281, 6281]",-248,0.5982476999999999
34,"(2192, 2192)",3,"[6614, 6614]",85,0.86895245
35,"(2291, 2291)",3,"[6911, 6911]",382,0.60404366
36,"(2359, 2359)",3,"[7115, 7115]",586,0.8333914000000001
37,"(2559, 2559)",3,"[7715, 7715]",1186,0.9049144
38,"(2617, 2618)",6,"[7889, 7892]",-1299,0.95590377
39,"(2641, 2641)",3,"[7961, 7961]",-1230,0.7405695
