,index_range,frame_len,nt_ref,dist_CDS,prediction
0,"(84, 87)",12,"[290, 299]",35,0.9963700999999999
1,"(339, 340)",6,"[1055, 1058]",800,0.69105405
2,"(731, 732)",6,"[2231, 2234]",-565,0.5830798
3,"(735, 737)",9,"[2243, 2249]",-550,0.9389860999999999
4,"(769, 770)",6,"[2345, 2348]",-451,0.8514729999999999
5,"(813, 813)",3,"[2477, 2477]",-322,0.6379031
6,"(1211, 1212)",6,"[3671, 3674]",-59,0.7824456999999999
7,"(1290, 1291)",6,"[3908, 3911]",175,0.5914315
8,"(1649, 1649)",3,"[4985, 4985]",-35,0.5428057
9,"(1661, 1661)",3,"[5021, 5021]",1,0.6334539
10,"(1667, 1669)",9,"[5039, 5045]",19,0.8303279
11,"(1675, 1675)",3,"[5063, 5063]",43,0.51933014
12,"(1844, 1844)",3,"[5570, 5570]",-31,0.6735781
13,"(1846, 1846)",3,"[5576, 5576]",-25,0.62507063
14,"(1928, 1928)",3,"[5822, 5822]",139,0.64785933
15,"(2475, 2475)",3,"[7463, 7463]",934,0.62449783
16,"(2587, 2589)",9,"[7799, 7805]",1270,0.9341059000000002
17,"(2931, 2935)",15,"[8831, 8843]",-348,0.99224466
18,"(3060, 3060)",3,"[9218, 9218]",27,0.5494041000000001
19,"(3291, 3292)",6,"[9911, 9914]",-14,0.7734456999999999
20,"(3367, 3368)",6,"[10139, 10142]",211,0.69991404
21,"(3421, 3423)",9,"[10301, 10307]",-336,0.8313343000000001
22,"(3633, 3633)",3,"[10937, 10937]",294,0.5547732
23,"(3635, 3635)",3,"[10943, 10943]",300,0.87824464
24,"(3731, 3732)",6,"[11231, 11234]",-81,0.82771415
25,"(3734, 3736)",9,"[11240, 11246]",-69,0.85761887
26,"(3767, 3767)",3,"[11339, 11339]",24,0.6106008
27,"(3771, 3772)",6,"[11351, 11354]",-28,0.84441054
28,"(3806, 3806)",3,"[11456, 11456]",74,0.7108743000000001
29,"(3822, 3823)",6,"[11504, 11507]",122,0.7828961
30,"(3839, 3839)",3,"[11555, 11555]",173,0.67954147
31,"(3938, 3938)",3,"[11852, 11852]",470,0.6820282
32,"(3940, 3944)",15,"[11858, 11870]",476,0.9881791999999999
33,"(3957, 3957)",3,"[11909, 11909]",527,0.5739217
34,"(3993, 3993)",3,"[12017, 12017]",635,0.5796074000000001
35,"(4171, 4171)",3,"[12551, 12551]",1169,0.5720503
36,"(4217, 4217)",3,"[12689, 12689]",1307,0.5804195
37,"(4235, 4235)",3,"[12743, 12743]",-1336,0.8004048
38,"(4416, 4416)",3,"[13286, 13286]",-793,0.6997220999999999
39,"(4436, 4436)",3,"[13346, 13346]",-733,0.78821075
40,"(4542, 4543)",6,"[13664, 13667]",-412,0.7905733
41,"(4653, 4653)",3,"[13997, 13997]",-82,0.71114606
42,"(5026, 5026)",3,"[15116, 15116]",-182,0.57966644
43,"(5377, 5378)",6,"[16169, 16172]",-385,0.9175616
44,"(5435, 5435)",3,"[16343, 16343]",-214,0.56538486
45,"(5471, 5471)",3,"[16451, 16451]",-106,0.57519597
46,"(5615, 5618)",12,"[16883, 16892]",-114,0.9058541999999999
47,"(5695, 5696)",6,"[17123, 17126]",117,0.8867529000000001
48,"(5719, 5719)",3,"[17195, 17195]",189,0.5126245
49,"(5828, 5829)",6,"[17522, 17525]",516,0.8851094
50,"(5881, 5882)",6,"[17681, 17684]",675,0.7950222
51,"(5884, 5885)",6,"[17690, 17693]",684,0.98007524
52,"(6020, 6021)",6,"[18098, 18101]",-554,0.9066593000000001
53,"(6150, 6151)",6,"[18488, 18491]",-164,0.6980658000000001
54,"(6179, 6179)",3,"[18575, 18575]",-80,0.8341622999999999
55,"(6214, 6215)",6,"[18680, 18683]",25,0.79204345
56,"(6251, 6252)",6,"[18791, 18794]",136,0.9263210999999999
57,"(6385, 6385)",3,"[19193, 19193]",-427,0.51299304
58,"(6414, 6414)",3,"[19280, 19280]",-340,0.56545335
59,"(6449, 6451)",9,"[19385, 19391]",-229,0.7171469
60,"(6577, 6577)",3,"[19769, 19769]",-27,0.8408264000000001
61,"(6589, 6593)",15,"[19805, 19817]",0,0.8136982
62,"(6733, 6733)",3,"[20237, 20237]",4,0.78939337
63,"(6841, 6842)",6,"[20561, 20564]",-251,0.7736615
64,"(6884, 6886)",9,"[20690, 20696]",-119,0.86073476
65,"(6912, 6912)",3,"[20774, 20774]",-41,0.59211653
