start,stop,center,length,max_score
287.0,299.0,293.0,13.0,0.999948
431.0,431.0,431.0,1.0,0.55363566
437.0,437.0,437.0,1.0,0.8004335
653.0,656.0,655.0,4.0,0.74911505
1334.0,1334.0,1334.0,1.0,0.72839135
2162.0,2162.0,2162.0,1.0,0.7373133
2231.0,2231.0,2231.0,1.0,0.5019543
2243.0,2246.0,2245.0,4.0,0.70050955
2348.0,2351.0,2350.0,4.0,0.8298475
2666.0,2666.0,2666.0,1.0,0.9391256
2705.0,2705.0,2705.0,1.0,0.61379206
3293.0,3293.0,3293.0,1.0,0.60058004
3635.0,3635.0,3635.0,1.0,0.73200047
3671.0,3674.0,3673.0,4.0,0.89528155
3812.0,3812.0,3812.0,1.0,0.7488883
3902.0,3902.0,3902.0,1.0,0.6665157
3908.0,3911.0,3910.0,4.0,0.6949797
3956.0,3959.0,3958.0,4.0,0.7733671
4943.0,4943.0,4943.0,1.0,0.9451662
4982.0,4985.0,4984.0,4.0,0.9064399
5042.0,5048.0,5045.0,7.0,0.99051183
5057.0,5060.0,5059.0,4.0,0.8447424
5165.0,5168.0,5167.0,4.0,0.6104668
8066.0,8066.0,8066.0,1.0,0.7503653
8249.0,8249.0,8249.0,1.0,0.8944515
8648.0,8648.0,8648.0,1.0,0.58542067
8696.0,8702.0,8699.0,7.0,0.8609071
8834.0,8843.0,8839.0,10.0,0.9939095
9185.0,9185.0,9185.0,1.0,0.55855286
9623.0,9623.0,9623.0,1.0,0.6847642
9659.0,9659.0,9659.0,1.0,0.5054078
9908.0,9911.0,9910.0,4.0,0.7155053
9965.0,9965.0,9965.0,1.0,0.52994096
12020.0,12020.0,12020.0,1.0,0.6220746
12095.0,12101.0,12098.0,7.0,0.67878723
12686.0,12689.0,12688.0,4.0,0.91091216
12743.0,12743.0,12743.0,1.0,0.6840483
13142.0,13142.0,13142.0,1.0,0.62152725
13343.0,13343.0,13343.0,1.0,0.543308
13664.0,13667.0,13666.0,4.0,0.9167346
14129.0,14129.0,14129.0,1.0,0.59342563
17186.0,17195.0,17191.0,10.0,0.76812285
17501.0,17501.0,17501.0,1.0,0.5043249
17525.0,17525.0,17525.0,1.0,0.5497335
17690.0,17696.0,17693.0,7.0,0.99393564
18095.0,18095.0,18095.0,1.0,0.63376766
18101.0,18101.0,18101.0,1.0,0.69527346
18179.0,18185.0,18182.0,7.0,0.915859
18497.0,18497.0,18497.0,1.0,0.5741312
18575.0,18575.0,18575.0,1.0,0.75784504
18680.0,18683.0,18682.0,4.0,0.8257572
18791.0,18797.0,18794.0,7.0,0.97225463
21449.0,21455.0,21452.0,7.0,0.894513
21551.0,21557.0,21554.0,7.0,0.8357477
21803.0,21809.0,21806.0,7.0,0.87275696
22553.0,22553.0,22553.0,1.0,0.7856784
24083.0,24089.0,24086.0,7.0,0.616274
25364.0,25367.0,25366.0,4.0,0.81315964
25409.0,25409.0,25409.0,1.0,0.5631351
25658.0,25658.0,25658.0,1.0,0.75854933
25664.0,25664.0,25664.0,1.0,0.76531076
25718.0,25721.0,25720.0,4.0,0.8949393
25934.0,25940.0,25937.0,7.0,0.7252201
26213.0,26222.0,26218.0,10.0,0.9563909
26297.0,26300.0,26299.0,4.0,0.8369066
26432.0,26432.0,26432.0,1.0,0.71015894
26471.0,26474.0,26473.0,4.0,0.722823
26606.0,26606.0,26606.0,1.0,0.585499
26987.0,26987.0,26987.0,1.0,0.5730045
27266.0,27269.0,27268.0,4.0,0.99627113
27347.0,27347.0,27347.0,1.0,0.67964226
27593.0,27596.0,27595.0,4.0,0.75389975
28016.0,28016.0,28016.0,1.0,0.52335614
28718.0,28718.0,28718.0,1.0,0.5713466
28733.0,28736.0,28735.0,4.0,0.9035585
29261.0,29267.0,29264.0,7.0,0.9612192
29276.0,29279.0,29278.0,4.0,0.96751696
29315.0,29333.0,29324.0,19.0,0.9820942
29432.0,29432.0,29432.0,1.0,0.53513914
29516.0,29516.0,29516.0,1.0,0.5088608
29639.0,29642.0,29641.0,4.0,0.95414335
30221.0,30233.0,30227.0,13.0,0.9835861
30584.0,30584.0,30584.0,1.0,0.93156546
30857.0,30857.0,30857.0,1.0,0.736838
31346.0,31346.0,31346.0,1.0,0.636724
33182.0,33182.0,33182.0,1.0,0.62576485
33356.0,33359.0,33358.0,4.0,0.85126144
34052.0,34052.0,34052.0,1.0,0.5479735
34097.0,34109.0,34103.0,13.0,0.99663085
34145.0,34145.0,34145.0,1.0,0.57562625
34232.0,34235.0,34234.0,4.0,0.9122366
34268.0,34271.0,34270.0,4.0,0.55958486
34430.0,34430.0,34430.0,1.0,0.5285389
34619.0,34622.0,34621.0,4.0,0.64472795
34817.0,34817.0,34817.0,1.0,0.90845656
34886.0,34892.0,34889.0,7.0,0.8782141
47234.0,47246.0,47240.0,13.0,0.9671736
47333.0,47339.0,47336.0,7.0,0.91871583
47948.0,47951.0,47950.0,4.0,0.78918046
48380.0,48380.0,48380.0,1.0,0.540511
48752.0,48752.0,48752.0,1.0,0.59980214
48977.0,48977.0,48977.0,1.0,0.5109994
49409.0,49409.0,49409.0,1.0,0.5419379
49469.0,49472.0,49471.0,4.0,0.7353697
49652.0,49670.0,49661.0,19.0,0.9982698
49760.0,49766.0,49763.0,7.0,0.8459251
49787.0,49793.0,49790.0,7.0,0.714473
57092.0,57092.0,57092.0,1.0,0.75725013
57341.0,57344.0,57343.0,4.0,0.86509925
57509.0,57515.0,57512.0,7.0,0.9341187
57704.0,57704.0,57704.0,1.0,0.591575
57716.0,57716.0,57716.0,1.0,0.5829978
57776.0,57776.0,57776.0,1.0,0.56056833
57815.0,57815.0,57815.0,1.0,0.5394653
58226.0,58232.0,58229.0,7.0,0.8266598
58358.0,58358.0,58358.0,1.0,0.5487704
67076.0,67079.0,67078.0,4.0,0.7685038
67166.0,67166.0,67166.0,1.0,0.52732545
77321.0,77324.0,77323.0,4.0,0.84832597
77384.0,77390.0,77387.0,7.0,0.87520105
77429.0,77429.0,77429.0,1.0,0.7017072
77570.0,77582.0,77576.0,13.0,0.9983779
84206.0,84212.0,84209.0,7.0,0.98685503
84263.0,84263.0,84263.0,1.0,0.8552484
84698.0,84701.0,84700.0,4.0,0.6766737
84848.0,84848.0,84848.0,1.0,0.5342526
85010.0,85013.0,85012.0,4.0,0.7687201
85337.0,85340.0,85339.0,4.0,0.7151256
85346.0,85352.0,85349.0,7.0,0.8347702
85391.0,85394.0,85393.0,4.0,0.96803445
85445.0,85445.0,85445.0,1.0,0.6158713
85451.0,85451.0,85451.0,1.0,0.63077885
85484.0,85490.0,85487.0,7.0,0.90112466
87881.0,87890.0,87886.0,10.0,0.9976439
87986.0,87995.0,87991.0,10.0,0.99724436
88568.0,88571.0,88570.0,4.0,0.77967274
89201.0,89219.0,89210.0,19.0,0.9847867
103739.0,103739.0,103739.0,1.0,0.54932195
106478.0,106478.0,106478.0,1.0,0.6003368
106595.0,106595.0,106595.0,1.0,0.64187807
106871.0,106874.0,106873.0,4.0,0.8894548
107285.0,107288.0,107287.0,4.0,0.72502154
107525.0,107543.0,107534.0,19.0,0.9940777
107582.0,107588.0,107585.0,7.0,0.9407412
107636.0,107636.0,107636.0,1.0,0.6194193
108251.0,108266.0,108259.0,16.0,0.9924408
108614.0,108614.0,108614.0,1.0,0.70941144
108701.0,108704.0,108703.0,4.0,0.61582714
109625.0,109625.0,109625.0,1.0,0.51024264
110936.0,110936.0,110936.0,1.0,0.63394177
111011.0,111020.0,111016.0,10.0,0.9974867
113360.0,113360.0,113360.0,1.0,0.8287851
113633.0,113639.0,113636.0,7.0,0.71866596
113801.0,113801.0,113801.0,1.0,0.71787053
113813.0,113816.0,113815.0,4.0,0.6774204
114644.0,114644.0,114644.0,1.0,0.5522709
118565.0,118565.0,118565.0,1.0,0.5938434
118613.0,118616.0,118615.0,4.0,0.5606958
119057.0,119057.0,119057.0,1.0,0.6377627
119429.0,119435.0,119432.0,7.0,0.6674302
119495.0,119501.0,119498.0,7.0,0.9462287
119768.0,119768.0,119768.0,1.0,0.5579048
119939.0,119939.0,119939.0,1.0,0.7819042
120158.0,120158.0,120158.0,1.0,0.5479681
