start,stop,center,length,max_score
80.0,80.0,80.0,1.0,0.726652
287.0,296.0,292.0,10.0,0.9999417
377.0,377.0,377.0,1.0,0.72017837
431.0,431.0,431.0,1.0,0.6768598
437.0,440.0,439.0,4.0,0.86306244
584.0,584.0,584.0,1.0,0.6360857
656.0,656.0,656.0,1.0,0.6770818
1052.0,1061.0,1057.0,10.0,0.74352336
1220.0,1220.0,1220.0,1.0,0.66076094
2162.0,2162.0,2162.0,1.0,0.6622863
2246.0,2246.0,2246.0,1.0,0.68746126
2345.0,2348.0,2347.0,4.0,0.82412
2456.0,2456.0,2456.0,1.0,0.5113249
2537.0,2537.0,2537.0,1.0,0.52848744
2666.0,2666.0,2666.0,1.0,0.7331692
2741.0,2741.0,2741.0,1.0,0.6024929
3236.0,3236.0,3236.0,1.0,0.5104082
3290.0,3290.0,3290.0,1.0,0.55619705
3296.0,3296.0,3296.0,1.0,0.5268367
3632.0,3638.0,3635.0,7.0,0.87314874
3671.0,3674.0,3673.0,4.0,0.9064877
3704.0,3704.0,3704.0,1.0,0.5730618
3899.0,3899.0,3899.0,1.0,0.5851857
3908.0,3911.0,3910.0,4.0,0.8763047
3956.0,3959.0,3958.0,4.0,0.6733891
4361.0,4361.0,4361.0,1.0,0.9485531
4391.0,4394.0,4393.0,4.0,0.60148424
4787.0,4787.0,4787.0,1.0,0.7154457
4943.0,4943.0,4943.0,1.0,0.69262177
4979.0,4985.0,4982.0,7.0,0.74677134
5039.0,5045.0,5042.0,7.0,0.88928497
5063.0,5063.0,5063.0,1.0,0.8735025
5162.0,5165.0,5164.0,4.0,0.9664945
8066.0,8066.0,8066.0,1.0,0.7967102
8249.0,8249.0,8249.0,1.0,0.8488474
8693.0,8699.0,8696.0,7.0,0.83909124
8834.0,8840.0,8837.0,7.0,0.99234927
9134.0,9134.0,9134.0,1.0,0.63610125
9218.0,9218.0,9218.0,1.0,0.5286273
9311.0,9311.0,9311.0,1.0,0.5726907
9911.0,9911.0,9911.0,1.0,0.9039636
9959.0,9959.0,9959.0,1.0,0.6427823
12017.0,12017.0,12017.0,1.0,0.6067448
12095.0,12098.0,12097.0,4.0,0.9757286
12494.0,12494.0,12494.0,1.0,0.5687436
12641.0,12641.0,12641.0,1.0,0.7371697
12686.0,12689.0,12688.0,4.0,0.90822387
12743.0,12743.0,12743.0,1.0,0.8072346
12917.0,12917.0,12917.0,1.0,0.57693666
13142.0,13142.0,13142.0,1.0,0.51781785
13292.0,13292.0,13292.0,1.0,0.54699534
13664.0,13664.0,13664.0,1.0,0.81779987
13997.0,13997.0,13997.0,1.0,0.875813
14126.0,14129.0,14128.0,4.0,0.7119568
17195.0,17195.0,17195.0,1.0,0.57305187
17363.0,17363.0,17363.0,1.0,0.8191242
17498.0,17498.0,17498.0,1.0,0.5396971
17525.0,17525.0,17525.0,1.0,0.722777
17630.0,17633.0,17632.0,4.0,0.8307713
17678.0,17678.0,17678.0,1.0,0.5637376
17690.0,17696.0,17693.0,7.0,0.9620007
17873.0,17873.0,17873.0,1.0,0.681979
18101.0,18104.0,18103.0,4.0,0.65759987
18164.0,18164.0,18164.0,1.0,0.5416583
18176.0,18182.0,18179.0,7.0,0.84472877
18488.0,18488.0,18488.0,1.0,0.539834
18575.0,18575.0,18575.0,1.0,0.8063302
18581.0,18584.0,18583.0,4.0,0.85115707
18680.0,18680.0,18680.0,1.0,0.9518044
18686.0,18686.0,18686.0,1.0,0.9210084
18788.0,18794.0,18791.0,7.0,0.9433299
21275.0,21275.0,21275.0,1.0,0.92400324
21308.0,21308.0,21308.0,1.0,0.5554635
21449.0,21449.0,21449.0,1.0,0.92594784
21455.0,21455.0,21455.0,1.0,0.6159727
21494.0,21494.0,21494.0,1.0,0.70768607
21551.0,21557.0,21554.0,7.0,0.95746833
22166.0,22166.0,22166.0,1.0,0.61552465
22175.0,22175.0,22175.0,1.0,0.7380766
22307.0,22313.0,22310.0,7.0,0.8748244
22337.0,22337.0,22337.0,1.0,0.68202525
22343.0,22343.0,22343.0,1.0,0.61323285
22475.0,22475.0,22475.0,1.0,0.54331565
22553.0,22553.0,22553.0,1.0,0.9189995
22634.0,22634.0,22634.0,1.0,0.7948515
23084.0,23084.0,23084.0,1.0,0.6831723
23459.0,23459.0,23459.0,1.0,0.64052325
23732.0,23735.0,23734.0,4.0,0.53778374
24083.0,24083.0,24083.0,1.0,0.5760087
25238.0,25238.0,25238.0,1.0,0.55926156
25367.0,25367.0,25367.0,1.0,0.6475361
25661.0,25664.0,25663.0,4.0,0.7985816
25718.0,25718.0,25718.0,1.0,0.8799603
25934.0,25940.0,25937.0,7.0,0.915516
26108.0,26108.0,26108.0,1.0,0.6849824
26213.0,26219.0,26216.0,7.0,0.9705366
26300.0,26300.0,26300.0,1.0,0.54512364
26429.0,26429.0,26429.0,1.0,0.6554088
26477.0,26477.0,26477.0,1.0,0.58005506
26507.0,26507.0,26507.0,1.0,0.5825908
26603.0,26606.0,26605.0,4.0,0.73485065
26969.0,26969.0,26969.0,1.0,0.56246924
26990.0,26990.0,26990.0,1.0,0.72453046
27071.0,27080.0,27076.0,10.0,0.89466834
27200.0,27200.0,27200.0,1.0,0.6381894
27266.0,27269.0,27268.0,4.0,0.897264
27404.0,27404.0,27404.0,1.0,0.6002863
27593.0,27596.0,27595.0,4.0,0.582229
28082.0,28082.0,28082.0,1.0,0.66394997
28733.0,28733.0,28733.0,1.0,0.715854
28823.0,28823.0,28823.0,1.0,0.5269312
29222.0,29225.0,29224.0,4.0,0.8047119
29246.0,29246.0,29246.0,1.0,0.64138436
