,index_range,frame_len,nt_ref,dist_CDS,prediction
0,"(84, 87)",12,"[290, 299]",35,0.99426275
1,"(339, 339)",3,"[1055, 1055]",800,0.53422946
2,"(734, 734)",3,"[2240, 2240]",-559,0.61012137
3,"(736, 736)",3,"[2246, 2246]",-553,0.9267110999999999
4,"(770, 770)",3,"[2348, 2348]",-451,0.76959836
5,"(901, 901)",3,"[2741, 2741]",-58,0.5349804
6,"(1212, 1212)",3,"[3674, 3674]",-59,0.67192125
7,"(1223, 1223)",3,"[3707, 3707]",-26,0.5809486999999999
8,"(1290, 1291)",6,"[3908, 3911]",175,0.8904868
9,"(1372, 1372)",3,"[4154, 4154]",421,0.57083416
10,"(1668, 1669)",6,"[5042, 5045]",22,0.7361866
11,"(1846, 1847)",6,"[5576, 5579]",-22,0.5742849
12,"(1928, 1928)",3,"[5822, 5822]",139,0.6320895000000001
13,"(2474, 2475)",6,"[7460, 7463]",931,0.70127
14,"(2587, 2589)",9,"[7799, 7805]",1270,0.92367667
15,"(2931, 2935)",15,"[8831, 8843]",-348,0.9886889000000001
16,"(3291, 3291)",3,"[9911, 9911]",-17,0.5118105
17,"(3367, 3368)",6,"[10139, 10142]",211,0.54068846
18,"(3422, 3423)",6,"[10304, 10307]",-336,0.8131703
19,"(3518, 3518)",3,"[10592, 10592]",-51,0.7656635
20,"(3635, 3635)",3,"[10943, 10943]",300,0.6238596
21,"(3732, 3736)",15,"[11234, 11246]",-69,0.8837062
22,"(3769, 3770)",6,"[11345, 11348]",30,0.6482452
23,"(3806, 3806)",3,"[11456, 11456]",74,0.8411831
24,"(3819, 3819)",3,"[11495, 11495]",113,0.5257963000000001
25,"(3823, 3823)",3,"[11507, 11507]",125,0.8220693000000001
26,"(3938, 3944)",21,"[11852, 11870]",470,0.98197913
27,"(3957, 3957)",3,"[11909, 11909]",527,0.5390575
28,"(4171, 4171)",3,"[12551, 12551]",1169,0.56239426
29,"(4217, 4217)",3,"[12689, 12689]",1307,0.5247999
30,"(4235, 4236)",6,"[12743, 12746]",-1333,0.5733939
31,"(4414, 4414)",3,"[13280, 13280]",-799,0.6477251
32,"(4542, 4544)",9,"[13664, 13670]",-409,0.67713374
33,"(4653, 4653)",3,"[13997, 13997]",-82,0.740863
34,"(5026, 5026)",3,"[15116, 15116]",-182,0.6234566999999999
35,"(5122, 5123)",6,"[15404, 15407]",106,0.52473027
36,"(5377, 5378)",6,"[16169, 16172]",-385,0.8788275
37,"(5414, 5414)",3,"[16280, 16280]",-277,0.52450097
38,"(5615, 5616)",6,"[16883, 16886]",-120,0.73497415
39,"(5693, 5693)",3,"[17117, 17117]",111,0.7338745
40,"(5695, 5696)",6,"[17123, 17126]",117,0.82679456
41,"(5719, 5719)",3,"[17195, 17195]",189,0.7929717
42,"(5829, 5829)",3,"[17525, 17525]",519,0.6927441999999999
43,"(5864, 5865)",6,"[17630, 17633]",624,0.5521444999999999
44,"(5882, 5882)",3,"[17684, 17684]",678,0.53771424
45,"(5884, 5885)",6,"[17690, 17693]",684,0.95142496
46,"(6020, 6021)",6,"[18098, 18101]",-554,0.80318415
47,"(6043, 6044)",6,"[18167, 18170]",-485,0.5601554
48,"(6047, 6049)",9,"[18179, 18185]",-470,0.72067297
49,"(6118, 6118)",3,"[18392, 18392]",-263,0.59675616
50,"(6151, 6151)",3,"[18491, 18491]",-164,0.6460361
51,"(6179, 6179)",3,"[18575, 18575]",-80,0.7258091
52,"(6214, 6214)",3,"[18680, 18680]",25,0.5873299
53,"(6251, 6253)",9,"[18791, 18797]",136,0.74687505
54,"(6589, 6589)",3,"[19805, 19805]",-6,0.7290336
55,"(6592, 6592)",3,"[19814, 19814]",3,0.55901426
56,"(6732, 6733)",6,"[20234, 20237]",1,0.5567441999999999
57,"(6841, 6841)",3,"[20561, 20561]",-254,0.52713925
58,"(6884, 6885)",6,"[20690, 20693]",-122,0.7226975999999999
59,"(6912, 6912)",3,"[20774, 20774]",-41,0.55613416
60,"(6940, 6941)",6,"[20858, 20861]",43,0.8339255999999999
61,"(6955, 6957)",9,"[20903, 20909]",88,0.89148045
62,"(7029, 7032)",12,"[21125, 21134]",-265,0.84157395
63,"(7138, 7140)",9,"[21452, 21458]",53,0.553625
64,"(7171, 7171)",3,"[21551, 21551]",152,0.83039707
65,"(7899, 7899)",3,"[23735, 23735]",1387,0.5083771
66,"(8016, 8016)",3,"[24086, 24086]",-1121,0.5191002
67,"(8400, 8400)",3,"[25238, 25238]",31,0.5874049
68,"(8403, 8403)",3,"[25247, 25247]",40,0.50927365
69,"(8443, 8443)",3,"[25367, 25367]",160,0.5012021
70,"(8454, 8454)",3,"[25400, 25400]",193,0.5885173
71,"(8456, 8457)",6,"[25406, 25409]",199,0.6699919
72,"(8560, 8561)",6,"[25718, 25721]",17,0.7286558000000001
73,"(8633, 8634)",6,"[25937, 25940]",174,0.62655663
74,"(8753, 8753)",3,"[26297, 26297]",22,0.71019113
75,"(8810, 8810)",3,"[26468, 26468]",193,0.6176035
76,"(9011, 9011)",3,"[27071, 27071]",-156,0.6093623
77,"(9014, 9014)",3,"[27080, 27080]",-147,0.56629795
78,"(9070, 9072)",9,"[27248, 27254]",21,0.67797524
79,"(9076, 9076)",3,"[27266, 27266]",39,0.76538295
80,"(9104, 9104)",3,"[27350, 27350]",123,0.6438411
81,"(9120, 9120)",3,"[27398, 27398]",171,0.54775363
82,"(9186, 9186)",3,"[27596, 27596]",369,0.8497982
83,"(9564, 9564)",3,"[28730, 28730]",-465,0.5126457
84,"(9566, 9566)",3,"[28736, 28736]",-459,0.74064285
85,"(9694, 9694)",3,"[29120, 29120]",-75,0.58261466
86,"(9737, 9737)",3,"[29249, 29249]",54,0.55766326
87,"(9741, 9742)",6,"[29261, 29264]",66,0.9291702
88,"(9758, 9763)",18,"[29312, 29327]",117,0.9315368
89,"(9776, 9777)",6,"[29366, 29369]",171,0.7902805
90,"(9779, 9779)",3,"[29375, 29375]",180,0.69775504
91,"(9866, 9867)",6,"[29636, 29639]",441,0.9154462999999999
92,"(10062, 10065)",12,"[30224, 30233]",-566,0.95089483
93,"(10527, 10527)",3,"[31619, 31619]",820,0.725681
94,"(10529, 10529)",3,"[31625, 31625]",826,0.5080988000000001
95,"(11048, 11048)",3,"[33182, 33182]",-856,0.5774755
96,"(11106, 11106)",3,"[33356, 33356]",-682,0.5201984000000001
97,"(11354, 11356)",9,"[34100, 34106]",62,0.97845227
98,"(11593, 11594)",6,"[34817, 34820]",36,0.92571825
99,"(12008, 12010)",9,"[36062, 36068]",-203,0.9219991
100,"(12035, 12035)",3,"[36143, 36143]",-128,0.50496024
101,"(12038, 12038)",3,"[36152, 36152]",-119,0.6637814999999999
102,"(12070, 12074)",15,"[36248, 36260]",-11,0.9423072
103,"(12091, 12091)",3,"[36311, 36311]",40,0.7217485
104,"(12234, 12235)",6,"[36740, 36743]",469,0.6878325
105,"(12307, 12307)",3,"[36959, 36959]",688,0.6728189
106,"(12342, 12343)",6,"[37064, 37067]",793,0.8070844
107,"(12409, 12409)",3,"[37265, 37265]",-633,0.5517357
108,"(12433, 12434)",6,"[37337, 37340]",-558,0.8624183000000001
109,"(12484, 12485)",6,"[37490, 37493]",-405,0.7577096999999999
110,"(12659, 12661)",9,"[38015, 38021]",117,0.93109196
111,"(12793, 12794)",6,"[38417, 38420]",519,0.6822906
112,"(13139, 13140)",6,"[39455, 39458]",211,0.7874809
113,"(13456, 13456)",3,"[40406, 40406]",-11,0.80059594
114,"(13519, 13519)",3,"[40595, 40595]",178,0.5939333000000001
115,"(13628, 13628)",3,"[40922, 40922]",505,0.5015269
116,"(13780, 13780)",3,"[41378, 41378]",961,0.64223343
117,"(13880, 13880)",3,"[41678, 41678]",1261,0.57104504
118,"(13950, 13956)",21,"[41888, 41906]",-1267,0.9809413
119,"(13975, 13977)",9,"[41963, 41969]",-1204,0.9505258
120,"(14022, 14023)",6,"[42104, 42107]",-1066,0.9555074
121,"(14079, 14079)",3,"[42275, 42275]",-898,0.5256764
122,"(14110, 14110)",3,"[42368, 42368]",-805,0.5854832
123,"(14295, 14297)",9,"[42923, 42929]",-244,0.97145635
124,"(14327, 14328)",6,"[43019, 43022]",-151,0.8994595
125,"(14919, 14919)",3,"[44795, 44795]",666,0.5031689
126,"(14934, 14935)",6,"[44840, 44843]",-623,0.76159245
127,"(14948, 14950)",9,"[44882, 44888]",-578,0.9707116
128,"(15136, 15136)",3,"[45446, 45446]",-20,0.5112859000000001
129,"(15229, 15229)",3,"[45725, 45725]",-25,0.58821476
130,"(15353, 15353)",3,"[46097, 46097]",347,0.61021024
131,"(15395, 15396)",6,"[46223, 46226]",473,0.5791420999999999
132,"(15415, 15416)",6,"[46283, 46286]",533,0.7331489999999999
133,"(15434, 15435)",6,"[46340, 46343]",590,0.5952086999999999
134,"(15494, 15494)",3,"[46520, 46520]",-618,0.54904306
135,"(15540, 15541)",6,"[46658, 46661]",-477,0.8767128000000001
136,"(15626, 15628)",9,"[46916, 46922]",-216,0.9451463999999999
137,"(15664, 15666)",9,"[47030, 47036]",-102,0.8112491999999999
138,"(15702, 15702)",3,"[47144, 47144]",6,0.67219126
139,"(15971, 15971)",3,"[47951, 47951]",175,0.5256826
140,"(16010, 16010)",3,"[48068, 48068]",292,0.5587856
141,"(16180, 16180)",3,"[48578, 48578]",802,0.7747003
142,"(16314, 16314)",3,"[48980, 48980]",-651,0.8724042
143,"(16539, 16542)",12,"[49655, 49664]",24,0.9248574
144,"(16765, 16768)",12,"[50333, 50342]",-22,0.8741145
145,"(16859, 16861)",9,"[50615, 50621]",235,0.7697455
146,"(16940, 16940)",3,"[50858, 50858]",-371,0.5443376
147,"(16943, 16943)",3,"[50867, 50867]",-362,0.5810116
148,"(16973, 16973)",3,"[50957, 50957]",-272,0.78660405
149,"(17057, 17058)",6,"[51209, 51212]",-17,0.8837239
150,"(17082, 17082)",3,"[51284, 51284]",55,0.6985705
151,"(17098, 17098)",3,"[51332, 51332]",103,0.76340383
152,"(17778, 17778)",3,"[53372, 53372]",-44,0.63824534
153,"(17900, 17900)",3,"[53738, 53738]",322,0.5596005999999999
154,"(17939, 17939)",3,"[53855, 53855]",439,0.61511254
155,"(18109, 18111)",9,"[54365, 54371]",-384,0.6509130999999999
156,"(18129, 18129)",3,"[54425, 54425]",-330,0.54101896
157,"(18215, 18215)",3,"[54683, 54683]",-72,0.76614046
158,"(18277, 18277)",3,"[54869, 54869]",114,0.5718566999999999
159,"(18417, 18418)",6,"[55289, 55292]",534,0.6952335999999999
160,"(18550, 18550)",3,"[55688, 55688]",933,0.6550468
161,"(18599, 18599)",3,"[55835, 55835]",1080,0.59128827
162,"(18634, 18637)",12,"[55940, 55949]",1185,0.8792189
163,"(18717, 18717)",3,"[56189, 56189]",1434,0.51248974
164,"(18719, 18721)",9,"[56195, 56201]",1440,0.9193256999999999
165,"(18826, 18827)",6,"[56516, 56519]",-1660,0.593525
