start,stop,center,length,max_score
290.0,299.0,295.0,10.0,0.99426275
1055.0,1055.0,1055.0,1.0,0.53422946
2240.0,2240.0,2240.0,1.0,0.61012137
2246.0,2246.0,2246.0,1.0,0.9267111
2348.0,2348.0,2348.0,1.0,0.76959836
2741.0,2741.0,2741.0,1.0,0.5349804
3674.0,3674.0,3674.0,1.0,0.67192125
3707.0,3707.0,3707.0,1.0,0.5809487
3908.0,3911.0,3910.0,4.0,0.8904868
4154.0,4154.0,4154.0,1.0,0.57083416
5042.0,5045.0,5044.0,4.0,0.7361866
8831.0,8843.0,8837.0,13.0,0.9886889
9911.0,9911.0,9911.0,1.0,0.5118105
11909.0,11909.0,11909.0,1.0,0.5390575
12551.0,12551.0,12551.0,1.0,0.56239426
12689.0,12689.0,12689.0,1.0,0.5247999
12743.0,12746.0,12745.0,4.0,0.5733939
13280.0,13280.0,13280.0,1.0,0.6477251
13664.0,13670.0,13667.0,7.0,0.67713374
13997.0,13997.0,13997.0,1.0,0.740863
17195.0,17195.0,17195.0,1.0,0.7929717
17525.0,17525.0,17525.0,1.0,0.6927442
17630.0,17633.0,17632.0,4.0,0.5521445
17684.0,17684.0,17684.0,1.0,0.53771424
17690.0,17693.0,17692.0,4.0,0.95142496
18098.0,18101.0,18100.0,4.0,0.80318415
18167.0,18170.0,18169.0,4.0,0.5601554
18179.0,18185.0,18182.0,7.0,0.72067297
18392.0,18392.0,18392.0,1.0,0.59675616
18491.0,18491.0,18491.0,1.0,0.6460361
18575.0,18575.0,18575.0,1.0,0.7258091
18680.0,18680.0,18680.0,1.0,0.5873299
18791.0,18797.0,18794.0,7.0,0.74687505
21452.0,21458.0,21455.0,7.0,0.553625
21551.0,21551.0,21551.0,1.0,0.83039707
23735.0,23735.0,23735.0,1.0,0.5083771
24086.0,24086.0,24086.0,1.0,0.5191002
25238.0,25238.0,25238.0,1.0,0.5874049
25247.0,25247.0,25247.0,1.0,0.50927365
25367.0,25367.0,25367.0,1.0,0.5012021
25400.0,25400.0,25400.0,1.0,0.5885173
25406.0,25409.0,25408.0,4.0,0.6699919
25718.0,25721.0,25720.0,4.0,0.7286558
25937.0,25940.0,25939.0,4.0,0.62655663
26297.0,26297.0,26297.0,1.0,0.71019113
26468.0,26468.0,26468.0,1.0,0.6176035
27071.0,27071.0,27071.0,1.0,0.6093623
27080.0,27080.0,27080.0,1.0,0.56629795
27248.0,27254.0,27251.0,7.0,0.67797524
27266.0,27266.0,27266.0,1.0,0.76538295
27350.0,27350.0,27350.0,1.0,0.6438411
27398.0,27398.0,27398.0,1.0,0.54775363
27596.0,27596.0,27596.0,1.0,0.8497982
28730.0,28730.0,28730.0,1.0,0.5126457
28736.0,28736.0,28736.0,1.0,0.74064285
29120.0,29120.0,29120.0,1.0,0.58261466
29249.0,29249.0,29249.0,1.0,0.55766326
29261.0,29264.0,29263.0,4.0,0.9291702
29312.0,29327.0,29320.0,16.0,0.9315368
29366.0,29369.0,29368.0,4.0,0.7902805
29375.0,29375.0,29375.0,1.0,0.69775504
29636.0,29639.0,29638.0,4.0,0.9154463
30224.0,30233.0,30229.0,10.0,0.95089483
31619.0,31619.0,31619.0,1.0,0.725681
31625.0,31625.0,31625.0,1.0,0.5080988
33182.0,33182.0,33182.0,1.0,0.5774755
33356.0,33356.0,33356.0,1.0,0.5201984
34100.0,34106.0,34103.0,7.0,0.97845227
34817.0,34820.0,34819.0,4.0,0.92571825
47144.0,47144.0,47144.0,1.0,0.67219126
47951.0,47951.0,47951.0,1.0,0.5256826
48068.0,48068.0,48068.0,1.0,0.5587856
48578.0,48578.0,48578.0,1.0,0.7747003
48980.0,48980.0,48980.0,1.0,0.8724042
49655.0,49664.0,49660.0,10.0,0.9248574
57092.0,57095.0,57094.0,4.0,0.64861745
57410.0,57410.0,57410.0,1.0,0.5944015
57509.0,57515.0,57512.0,7.0,0.93237025
57716.0,57725.0,57721.0,10.0,0.84118956
57776.0,57776.0,57776.0,1.0,0.5396058
57812.0,57812.0,57812.0,1.0,0.5573046
58226.0,58226.0,58226.0,1.0,0.561135
58292.0,58295.0,58294.0,4.0,0.96257234
67166.0,67166.0,67166.0,1.0,0.6625801
67241.0,67241.0,67241.0,1.0,0.658184
77324.0,77324.0,77324.0,1.0,0.7872445
77384.0,77390.0,77387.0,7.0,0.96602374
77570.0,77582.0,77576.0,13.0,0.94928193
84203.0,84209.0,84206.0,7.0,0.9107697
84695.0,84698.0,84697.0,4.0,0.68296313
85337.0,85352.0,85345.0,16.0,0.92308277
85451.0,85454.0,85453.0,4.0,0.65408695
85481.0,85496.0,85489.0,16.0,0.9656674
87884.0,87890.0,87887.0,7.0,0.9594674
87986.0,87995.0,87991.0,10.0,0.77951425
88184.0,88184.0,88184.0,1.0,0.6045074
88376.0,88376.0,88376.0,1.0,0.668884
88562.0,88568.0,88565.0,7.0,0.5472755
89078.0,89078.0,89078.0,1.0,0.5161184
89204.0,89207.0,89206.0,4.0,0.71229243
89213.0,89216.0,89215.0,4.0,0.72744286
102788.0,102788.0,102788.0,1.0,0.59422946
103736.0,103739.0,103738.0,4.0,0.73270136
105362.0,105365.0,105364.0,4.0,0.7976833
106595.0,106595.0,106595.0,1.0,0.76294667
107129.0,107129.0,107129.0,1.0,0.7266582
107288.0,107288.0,107288.0,1.0,0.6490555
107531.0,107543.0,107537.0,13.0,0.97826433
107582.0,107582.0,107582.0,1.0,0.65396446
107588.0,107588.0,107588.0,1.0,0.5962839
108254.0,108266.0,108260.0,13.0,0.91458094
109223.0,109223.0,109223.0,1.0,0.80277044
109625.0,109625.0,109625.0,1.0,0.54042256
109634.0,109634.0,109634.0,1.0,0.6420982
109910.0,109910.0,109910.0,1.0,0.7133076
110054.0,110057.0,110056.0,4.0,0.63987666
111011.0,111020.0,111016.0,10.0,0.9781015
111062.0,111062.0,111062.0,1.0,0.67941004
113630.0,113630.0,113630.0,1.0,0.7013916
114512.0,114512.0,114512.0,1.0,0.5881429
114647.0,114650.0,114649.0,4.0,0.77099955
119429.0,119429.0,119429.0,1.0,0.700613
