,index_range,frame_len,nt_ref,dist_CDS,prediction
0,"(8, 8)",3,"[62, 62]",-193,0.9446485000000001
1,"(27, 27)",3,"[119, 119]",-136,0.6748913000000001
2,"(65, 66)",6,"[233, 236]",-19,0.9622393
3,"(82, 85)",12,"[284, 293]",29,0.9950412000000001
4,"(133, 134)",6,"[437, 440]",182,0.94298375
5,"(145, 146)",6,"[473, 476]",218,0.9058790000000001
6,"(203, 203)",3,"[647, 647]",392,0.9755386999999999
7,"(435, 435)",3,"[1343, 1343]",1088,0.74515855
8,"(788, 788)",3,"[2402, 2402]",-397,0.5413768
9,"(831, 831)",3,"[2531, 2531]",-268,0.83425206
10,"(875, 876)",6,"[2663, 2666]",-133,0.9782828000000001
11,"(1012, 1012)",3,"[3074, 3074]",275,0.9131808000000001
12,"(1066, 1066)",3,"[3236, 3236]",437,0.5978302
13,"(1085, 1085)",3,"[3293, 3293]",-440,0.67129326
14,"(1197, 1197)",3,"[3629, 3629]",-104,0.92542136
15,"(1307, 1307)",3,"[3959, 3959]",226,0.5339893
16,"(1671, 1671)",3,"[5051, 5051]",31,0.76832813
17,"(1681, 1681)",3,"[5081, 5081]",61,0.8569634
18,"(1683, 1683)",3,"[5087, 5087]",67,0.5566521
19,"(1713, 1713)",3,"[5177, 5177]",157,0.555426
20,"(1737, 1737)",3,"[5249, 5249]",229,0.9238596
21,"(1835, 1835)",3,"[5543, 5543]",13,0.81853676
22,"(1912, 1912)",3,"[5774, 5774]",91,0.81403893
23,"(2004, 2004)",3,"[6050, 6050]",367,0.8716427999999999
24,"(2022, 2022)",3,"[6104, 6104]",421,0.6132426999999999
25,"(2064, 2064)",3,"[6230, 6230]",-299,0.63180065
26,"(2410, 2410)",3,"[7268, 7268]",739,0.7945384
27,"(2472, 2473)",6,"[7454, 7457]",925,0.8815801999999999
28,"(2639, 2641)",9,"[7955, 7961]",-1230,0.8985771999999999
29,"(2744, 2744)",3,"[8270, 8270]",-921,0.62600964
30,"(3288, 3291)",12,"[9902, 9911]",9,0.99462754
31,"(3383, 3383)",3,"[10187, 10187]",259,0.9472798000000001
32,"(3491, 3492)",6,"[10511, 10514]",-129,0.7908102
33,"(3502, 3502)",3,"[10544, 10544]",-99,0.9159010000000001
34,"(3529, 3529)",3,"[10625, 10625]",-18,0.8154961
35,"(3940, 3940)",3,"[11858, 11858]",476,0.76557463
36,"(3967, 3967)",3,"[11939, 11939]",557,0.6764888000000001
37,"(3991, 3991)",3,"[12011, 12011]",629,0.8567218000000001
38,"(4048, 4048)",3,"[12182, 12182]",800,0.60074615
39,"(4126, 4126)",3,"[12416, 12416]",1034,0.67113435
40,"(4169, 4170)",6,"[12545, 12548]",1163,0.7006078
41,"(4215, 4216)",6,"[12683, 12686]",1301,0.88831705
42,"(4291, 4291)",3,"[12911, 12911]",-1168,0.51441693
43,"(4682, 4682)",3,"[14084, 14084]",5,0.8264939
44,"(4684, 4684)",3,"[14090, 14090]",11,0.66209924
45,"(4694, 4694)",3,"[14120, 14120]",41,0.7575055
46,"(4701, 4701)",3,"[14141, 14141]",62,0.62345
47,"(4746, 4746)",3,"[14276, 14276]",197,0.6504674
48,"(5092, 5094)",9,"[15314, 15320]",16,0.9949333
49,"(5309, 5309)",3,"[15965, 15965]",-592,0.97893655
50,"(5374, 5376)",9,"[16160, 16166]",-391,0.99457633
51,"(5489, 5489)",3,"[16505, 16505]",-52,0.6773676
52,"(5517, 5517)",3,"[16589, 16589]",32,0.9719982
53,"(5715, 5715)",3,"[17183, 17183]",177,0.88388884
54,"(5745, 5745)",3,"[17273, 17273]",267,0.98142403
55,"(5812, 5812)",3,"[17474, 17474]",468,0.53407204
56,"(5818, 5819)",6,"[17492, 17495]",486,0.9777370999999999
57,"(6408, 6411)",12,"[19262, 19271]",-349,0.9905539000000001
58,"(6576, 6576)",3,"[19766, 19766]",-30,0.8843087
59,"(6586, 6586)",3,"[19796, 19796]",0,0.8057425
60,"(6703, 6703)",3,"[20147, 20147]",-86,0.7033848
61,"(6812, 6812)",3,"[20474, 20474]",241,0.5508881999999999
62,"(6838, 6838)",3,"[20552, 20552]",-263,0.6213922
63,"(6911, 6914)",12,"[20771, 20780]",-35,0.99359435
64,"(6924, 6924)",3,"[20810, 20810]",-5,0.72707164
65,"(7407, 7408)",6,"[22259, 22262]",-86,0.97325814
66,"(7461, 7461)",3,"[22421, 22421]",73,0.89691323
67,"(7501, 7503)",9,"[22541, 22547]",193,0.9865796999999998
68,"(7659, 7659)",3,"[23015, 23015]",667,0.5202967000000001
69,"(7679, 7679)",3,"[23075, 23075]",727,0.65516007
70,"(7752, 7752)",3,"[23294, 23294]",946,0.9827733000000001
71,"(8352, 8352)",3,"[25094, 25094]",-113,0.52074003
72,"(8421, 8421)",3,"[25301, 25301]",94,0.658225
73,"(8558, 8562)",15,"[25712, 25724]",11,0.9572223
74,"(8581, 8581)",3,"[25781, 25781]",18,0.69141716
75,"(8618, 8618)",3,"[25892, 25892]",129,0.6156545
76,"(8659, 8659)",3,"[26015, 26015]",252,0.52763057
77,"(8833, 8833)",3,"[26537, 26537]",262,0.87149537
78,"(8975, 8975)",3,"[26963, 26963]",-264,0.6994534
79,"(9074, 9076)",9,"[27260, 27266]",33,0.9857377
80,"(9445, 9445)",3,"[28373, 28373]",166,0.713288
81,"(9739, 9741)",9,"[29255, 29261]",60,0.99449414
82,"(9761, 9761)",3,"[29321, 29321]",126,0.9699994000000001
83,"(9775, 9776)",6,"[29363, 29366]",168,0.9517466999999998
84,"(9823, 9825)",9,"[29507, 29513]",312,0.9902716
85,"(9912, 9912)",3,"[29774, 29774]",579,0.70548683
86,"(9931, 9931)",3,"[29831, 29831]",636,0.7291635000000001
87,"(10060, 10061)",6,"[30218, 30221]",-578,0.9900040999999999
88,"(10270, 10272)",9,"[30848, 30854]",49,0.8759629000000001
89,"(10342, 10342)",3,"[31064, 31064]",265,0.7193828
90,"(10418, 10418)",3,"[31292, 31292]",493,0.71097165
91,"(10956, 10956)",3,"[32906, 32906]",-1132,0.658434
92,"(10969, 10969)",3,"[32945, 32945]",-1093,0.94878364
93,"(11045, 11045)",3,"[33173, 33173]",-865,0.67220426
94,"(11276, 11276)",3,"[33866, 33866]",-172,0.6928684
95,"(11337, 11337)",3,"[34049, 34049]",11,0.53493005
96,"(11353, 11354)",6,"[34097, 34100]",59,0.99241745
97,"(11363, 11363)",3,"[34127, 34127]",89,0.9768344999999999
98,"(11510, 11510)",3,"[34568, 34568]",-127,0.75623024
99,"(11596, 11596)",3,"[34826, 34826]",45,0.8712306000000001
100,"(11649, 11650)",6,"[34985, 34988]",204,0.87024987
101,"(11693, 11694)",6,"[35117, 35120]",-257,0.9806181999999999
102,"(11733, 11733)",3,"[35237, 35237]",-140,0.86953443
103,"(11963, 11963)",3,"[35927, 35927]",-344,0.5217729
104,"(11982, 11982)",3,"[35984, 35984]",-287,0.543291
105,"(12051, 12052)",6,"[36191, 36194]",-77,0.98442984
106,"(12058, 12058)",3,"[36212, 36212]",-59,0.5391324000000001
107,"(12088, 12088)",3,"[36302, 36302]",31,0.86326724
108,"(12090, 12090)",3,"[36308, 36308]",37,0.98760635
109,"(12111, 12111)",3,"[36371, 36371]",100,0.5831933000000001
