,index_range,frame_len,nt_ref,dist_CDS,prediction
0,"(84, 86)",9,"[290, 296]",35,0.9935548000000001
1,"(134, 134)",3,"[440, 440]",185,0.6142411999999999
2,"(145, 145)",3,"[473, 473]",218,0.97196656
3,"(206, 206)",3,"[656, 656]",401,0.6748609
4,"(697, 698)",6,"[2129, 2132]",-667,0.7883011
5,"(723, 723)",3,"[2207, 2207]",-592,0.67521507
6,"(768, 768)",3,"[2342, 2342]",-457,0.83978724
7,"(771, 772)",6,"[2351, 2354]",-445,0.9223763
8,"(1199, 1199)",3,"[3635, 3635]",-98,0.9704056000000001
9,"(1210, 1212)",9,"[3668, 3674]",-59,0.9744563
10,"(1251, 1251)",3,"[3791, 3791]",58,0.6101532
11,"(1257, 1257)",3,"[3809, 3809]",76,0.5279444999999999
12,"(1291, 1291)",3,"[3911, 3911]",178,0.80222785
13,"(1369, 1369)",3,"[4145, 4145]",412,0.51275337
14,"(1674, 1675)",6,"[5060, 5063]",40,0.9754200000000001
15,"(1682, 1682)",3,"[5084, 5084]",64,0.7164126000000001
16,"(1723, 1723)",3,"[5207, 5207]",187,0.6459085999999999
17,"(2006, 2006)",3,"[6056, 6056]",373,0.6116977
18,"(2587, 2587)",3,"[7799, 7799]",1270,0.5037649000000001
19,"(2630, 2630)",3,"[7928, 7928]",-1263,0.8469264000000001
20,"(2641, 2641)",3,"[7961, 7961]",-1230,0.7983941999999999
21,"(2780, 2780)",3,"[8378, 8378]",-813,0.61917776
22,"(2899, 2900)",6,"[8735, 8738]",-453,0.9713405999999999
23,"(2932, 2934)",9,"[8834, 8840]",-351,0.9737466999999999
24,"(3031, 3032)",6,"[9131, 9134]",-57,0.9666399999999999
25,"(3058, 3058)",3,"[9212, 9212]",21,0.8303898999999999
26,"(3084, 3084)",3,"[9290, 9290]",99,0.75531834
27,"(3291, 3291)",3,"[9911, 9911]",-17,0.88187206
28,"(3364, 3364)",3,"[10130, 10130]",202,0.65285033
29,"(3421, 3423)",9,"[10301, 10307]",-336,0.9525197
30,"(3493, 3493)",3,"[10517, 10517]",-126,0.5098334
31,"(3573, 3573)",3,"[10757, 10757]",114,0.51726806
32,"(3609, 3609)",3,"[10865, 10865]",222,0.8716075999999999
33,"(3611, 3611)",3,"[10871, 10871]",228,0.5013072000000001
34,"(3749, 3749)",3,"[11285, 11285]",-30,0.8419959
35,"(3918, 3918)",3,"[11792, 11792]",410,0.76671433
36,"(3920, 3921)",6,"[11798, 11801]",416,0.9586396999999999
37,"(3941, 3943)",9,"[11861, 11867]",479,0.9891833000000001
38,"(3979, 3981)",9,"[11975, 11981]",593,0.94096184
39,"(3984, 3984)",3,"[11990, 11990]",608,0.91138667
40,"(4156, 4156)",3,"[12506, 12506]",1124,0.6339689000000001
41,"(4234, 4234)",3,"[12740, 12740]",-1339,0.77574605
42,"(4267, 4267)",3,"[12839, 12839]",-1240,0.67139393
43,"(4443, 4443)",3,"[13367, 13367]",-712,0.76525545
44,"(4542, 4542)",3,"[13664, 13664]",-415,0.8297878000000001
45,"(4653, 4653)",3,"[13997, 13997]",-82,0.5951195
46,"(4697, 4697)",3,"[14129, 14129]",50,0.8872728000000001
47,"(5070, 5072)",9,"[15248, 15254]",-44,0.9379864
48,"(5093, 5095)",9,"[15317, 15323]",19,0.9768735999999999
49,"(5122, 5122)",3,"[15404, 15404]",106,0.5418980999999999
50,"(5186, 5186)",3,"[15596, 15596]",298,0.7424311
51,"(5520, 5520)",3,"[16598, 16598]",41,0.601174
52,"(5694, 5695)",6,"[17120, 17123]",114,0.9406374
53,"(5885, 5885)",3,"[17693, 17693]",687,0.96042246
54,"(5916, 5916)",3,"[17786, 17786]",780,0.69069713
