,index_range,frame_len,nt_ref,dist_CDS,prediction
0,"(83, 87)",15,"[287, 299]",32,0.99744546
1,"(627, 628)",6,"[1919, 1922]",-877,0.76637363
2,"(633, 633)",3,"[1937, 1937]",-862,0.9487909999999999
3,"(730, 730)",3,"[2228, 2228]",-571,0.7499343
4,"(735, 736)",6,"[2243, 2246]",-553,0.8736173
5,"(1211, 1212)",6,"[3671, 3674]",-59,0.98721385
6,"(1256, 1258)",9,"[3806, 3812]",73,0.9911559999999999
7,"(1306, 1306)",3,"[3956, 3956]",223,0.71397275
8,"(1667, 1670)",12,"[5039, 5048]",19,0.95166004
9,"(1673, 1675)",9,"[5057, 5063]",37,0.93142736
10,"(1846, 1846)",3,"[5576, 5576]",-25,0.84031427
11,"(1848, 1848)",3,"[5582, 5582]",-19,0.5000192
12,"(1928, 1929)",6,"[5822, 5825]",139,0.9824331000000001
13,"(2392, 2392)",3,"[7214, 7214]",685,0.9515640999999999
14,"(2587, 2590)",12,"[7799, 7808]",1270,0.9860681
15,"(2931, 2931)",3,"[8831, 8831]",-360,0.6277501999999999
16,"(2933, 2933)",3,"[8837, 8837]",-354,0.60065895
17,"(3070, 3070)",3,"[9248, 9248]",57,0.5904179
18,"(3072, 3072)",3,"[9254, 9254]",63,0.5239765000000001
19,"(3420, 3424)",15,"[10298, 10310]",-333,0.98306894
20,"(3735, 3735)",3,"[11243, 11243]",-72,0.66160214
21,"(3769, 3770)",6,"[11345, 11348]",30,0.89986354
22,"(3806, 3807)",6,"[11456, 11459]",74,0.75565314
23,"(3822, 3823)",6,"[11504, 11507]",122,0.9670011999999999
24,"(3938, 3944)",21,"[11852, 11870]",470,0.9963103999999999
25,"(4020, 4020)",3,"[12098, 12098]",716,0.617684
26,"(4171, 4171)",3,"[12551, 12551]",1169,0.6509939
27,"(4542, 4543)",6,"[13664, 13667]",-412,0.8594523000000001
28,"(4836, 4836)",3,"[14546, 14546]",467,0.6923020000000001
29,"(5094, 5094)",3,"[15320, 15320]",22,0.9395674
30,"(5651, 5651)",3,"[16991, 16991]",-15,0.62882847
31,"(5674, 5674)",3,"[17060, 17060]",54,0.5809257
32,"(5676, 5676)",3,"[17066, 17066]",60,0.6180179
33,"(5694, 5696)",9,"[17120, 17126]",114,0.95837957
34,"(5737, 5737)",3,"[17249, 17249]",243,0.7330208
35,"(5820, 5820)",3,"[17498, 17498]",492,0.6238788000000001
36,"(5828, 5830)",9,"[17522, 17528]",516,0.9855474
